Data-zigilua,Zein Gelako Aldratakoa zara?,LHn zein herritan ikasi duzu? ,LHn zein urtetan amaitu duzu? ,Zein eskolatan ikasi duzu,LHn zein eredutan hasi zinen ikasten?,Batxilergoan zein eredutan amaitu zenuen  ikasten?,"Eredua aldatu baduzu, noiz eta zergatik",Hizkuntzen ezagutza zertifikatua [Euskara],Hizkuntzen ezagutza zertifikatua [Gaztelania],Hizkuntzen ezagutza zertifikatua [Ingelesa],Hizkuntzen ezagutza zertifikatua [Beste],"Besteren bat markatu baduzu, zein eta zein mailatan",Hizkuntzak non erabiltzen dituzun [Euskara],Hizkuntzak non erabiltzen dituzun [Gaztelania],Hizkuntzak non erabiltzen dituzun [Ingelesa],Hizkuntzak non erabiltzen dituzun [Beste],Zertarako gai naizen [Euskara],Zertarako gai naizen [Gaztelania],Zertarako gai naizen [Ingelesa],Zertarako gai naizen [Beste],"Besteren bat markatu baduzu, zein hizkuntzatan zertarako zara gai?",Jakin beharreko besterik?
2018/09/18 4:40:52 PM CET,1 GA,Getxo,,Ander deuna ikastola eta erromoko ikastetxean,D,Ez daukat,,B1,A1,A1,A1,,Familian;Herriko / auzoko lagunekin;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan,Familian,Familian,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi,Irakurri,,
2018/09/19 11:19:17 AM CET,2 GA,Loiun,,Lauro Ikastolan,D,D,,Ez dut,Ez dut,Ez dut,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,Ez dagokio,,
2018/09/20 3:47:08 PM CET,2 GA,Ermua,,San Lorenzo,B,B,,B2,Ez dut,B2,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/11/09 9:10:23 AM CET,LH,Trapagaran,,Itxaropena Ikastola ,D,D,,Ez dut,Ez dut,B2,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/11/09 9:11:41 AM CET,LH,Portugaleten,,Asti Leku ikastolan,D,D,,B2,Ez dut,B2,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/11/09 9:11:58 AM CET,LH,Usansolon,,Unkinan,D,D,,B2,Ez dut,B1;Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/11/09 9:12:23 AM CET,LH,Izarra,,Izarra Herri Eskola,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/11/09 9:12:27 AM CET,LH,Ondarroan,,Txomin Agirre Ikastolan,D,D,,C1,Ez dut,A2,B1,Frantsesa,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ikasketetan,Ikasketetan,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,"Frantsesez irakurtzeko, idazteko, aurkezpenak egiteko eta eztabaidatzeko gai naiz.",
2018/11/09 9:12:32 AM CET,LH,Portugalete,,Asti-leku ikastola,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/11/09 9:13:26 AM CET,LH,Algorta (Getxo),,Zubileta eskola,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/11/09 9:13:31 AM CET,LH,Basauri,,José Etxegarai LHI,D,D,,Ez dut,Ez dut,C1,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/11/09 9:13:32 AM CET,LH,Algorta,,San Nikolas ikastola,D,D,,Ez dut,Ez dut,B2,Ez dut,,Familian;Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/11/09 9:13:44 AM CET,LH,Portugaleten,,Maestro Zubeldia eskolan,D,D,,Ez dut,Ez dut,Ez dut,A1;A2,Zeinu hizkuntza,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ikasketetako lagunekin,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Aurkezpena egin;Eztabaidatu,Zeinu hizkuntza,
2018/11/09 9:13:46 AM CET,LH,Barakaldon,,Gurutzetako salestarretan,B,A,Unibertsitatera ailegatzean. ,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/11/09 9:13:50 AM CET,LH,Amorebieta-Euba,,Lauaxeta Ikastolan,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan;Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/11/09 9:13:55 AM CET,LH,Trapagaran,,Itxaropena Ikastola ,D,D,,Ez dut,Ez dut,B2,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
