Data-zigilua,Zein Gelako Aldratakoa zara?,LHn zein herritan ikasi duzu? ,LHn zein urtetan amaitu duzu? ,Zein eskolatan ikasi duzu,LHn zein eredutan hasi zinen ikasten?,Batxilergoan zein eredutan amaitu zenuen  ikasten?,"Eredua aldatu baduzu, noiz eta zergatik",Hizkuntzen ezagutza zertifikatua [Euskara],Hizkuntzen ezagutza zertifikatua [Gaztelania],Hizkuntzen ezagutza zertifikatua [Ingelesa],Hizkuntzen ezagutza zertifikatua [Beste],"Besteren bat markatu baduzu, zein eta zein mailatan",Hizkuntzak non erabiltzen dituzun [Euskara],Hizkuntzak non erabiltzen dituzun [Gaztelania],Hizkuntzak non erabiltzen dituzun [Ingelesa],Hizkuntzak non erabiltzen dituzun [Beste],Zertarako gai naizen [Euskara],Zertarako gai naizen [Gaztelania],Zertarako gai naizen [Ingelesa],Zertarako gai naizen [Beste],"Besteren bat markatu baduzu, zein hizkuntzatan zertarako zara gai?",Jakin beharreko besterik?
2019/09/09 8:44:29 AM CET,LH 3,Karrantza Harana,2011,Kontxa Eskola,D,A,Batxilergoan euskaraz ez zutelako irakasten.,Ez dut,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan;Ikasketetako lagunekin,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/09/09 10:40:50 AM CET,LH 3,Ortuella,2011,San Felix Ikastetxea,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/09 2:26:18 PM CET,LH 3,Mungian,2011,Larramendi Ikastolan,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Negoziatu,,
2019/09/09 2:30:02 PM CET,LH 3,Eibar,2006,La Salle ,B,A,"Batxilergoan, matematikak gazteleraz egin ahal izateko.",B2,B2,B2,A1,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Familian;Herriko / auzoko lagunekin,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Aurkezpena egin;Eztabaidatu;Negoziatu,Arabiera ,
2019/09/09 7:11:08 PM CET,LH 3,Durango,2011,Kurutziaga Ikastola,D,D,,B1,B1,B1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2019/09/09 7:31:58 PM CET,LH 3,Mungian,2011,Bentades Ikastetxean,D,D,,Ez dut,Ez dut,Ez dut,Ez dut,,Familian;Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/09 7:53:09 PM CET,LH 3,Laudio,2006,Lamuza Eskolan,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/09 8:49:48 PM CET,LH 3,Mungian,2011,CEIP Legarda HLHI,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/09 9:00:09 PM CET,LH 3,Zamudion,2011,Zamudioko eskolan,D,D,,B2,B2,C1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetan;Ikasketetako lagunekin,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Irakurri;Idatzi,Frantzezean irakurri eta ulertzeko gaitasuna dut. Idazten gutxi gora behera. ,
2019/09/10 10:55:34 PM CET,LH 3,Bermeo,2011,Eleizalde Ikastola,D,D,,C1,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan,Ikasketetako lagunekin,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/09/11 8:29:41 AM CET,LH 3,Gernika-Lumo,2010,Saber Altube Ikastola,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,Ez dagokio,Ez dagokio,,
2019/09/11 10:09:41 AM CET,LH 3,Zumarragan,2011n,Urretxu-Zumarraga ikastolan,D,D,,C1,Ez dut,B1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetako lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,EZ
2019/09/11 10:17:00 AM CET,LH 3,Leioa,2010,Askartza Claret,D,D,,B2,Ez dut,B2,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/09/11 11:46:22 AM CET,LH 3,Portugalete,2011,Santa Maria ikastetxea,B,D,,B1,B1,A2,A2,Ezer ez,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan,Ikasketetan,Herriko / auzoko lagunekin,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi;Aurkezpena egin,Idatzi,,
2019/09/11 11:51:07 AM CET,LH 3,Gallarta,2011,Etorkizuna ikastola,D,D,,B1,B1,B1,A2,,Ikasketetan,Familian;Herriko / auzoko lagunekin,Ikasketetan,Herriko / auzoko lagunekin,Irakurri;Idatzi,Irakurri;Idatzi;Aurkezpena egin,Irakurri,Irakurri,,
2019/09/11 11:58:16 AM CET,LH 3,Amorebieta-Etxano,2011,Karmengo Ama ikastetxea,D,D,,B2,B2,B2,A2,Aleman,Familian;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Negoziatu,Ez dagokio,,
2019/09/11 12:06:02 PM CET,LH 3,Leioa,2011,Askartza,D,D,,B2,Ez dut,B1,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Ez dagokio,,
2019/09/11 12:09:44 PM CET,LH 3,Algorta,2011,Andra Mari,D,D,,C1,Ez dut,C1,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Lanean,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/09/11 12:19:29 PM CET,LH 3,Elorrion,2011,Elorrio Herri Ikastetxe,D,D,,Ez dut,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Aurkezpena egin,Irakurri;Aurkezpena egin,Ez dagokio,,Ez
2019/09/11 4:58:30 PM CET,LH 3,Getxo,2011,Andra Mari ikastetxea,B,D,"DBHn aldatu nintzen, LH D ereduan egiteko aukerarik izan ez nuelako.",B2;C1,Ez dut,B2;C1,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/09/12 9:39:31 AM CET,LH 3,Leioan,2012-2013,Claret Askartzan,D,D,,C1,C1,B2,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2019/09/12 9:40:28 AM CET,LH 3,Laudio ,2012-2013,Lateorroko ikastetxean  ,B,D,DHB pasatzerakoan instituto berria zelako ,A2,C1,A1,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/12 9:41:04 AM CET,LH 3,Trapagaran,2010-2011,Ikastola Itxaropena,D,Hirueleduna,Batxilergoan aukera eman zidatelo eta ingelesa gustuko dudalako.,B2,C1,B2,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan;Ikasketetako lagunekin,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2019/09/12 9:43:50 AM CET,LH 3,Gernika-Lumo,2009/2010,San Fidel Ikastola,D,D,,C1,C1,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Lanean,Ikasketetako lagunekin,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2019/09/12 9:47:05 AM CET,LH 3,Areta (Laudio),2010-2011,Fabian Legorburu,D,D,,C1,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/13 8:55:06 AM CET,LH 3,Barakaldo,2009,Alkartu ikastola,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Lanean;Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/09/13 9:00:31 AM CET,LH 3,Barakaldo,2011,Mukusuluba Ikastola,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/13 9:00:31 AM CET,LH 3,Barakaldo,2009,Alkartu Ikastola,D,D,,C1,Ez dut,C2,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/09/13 9:06:37 AM CET,LH 3,Bilbon,2010,Zurbaranbarri eskola,D,D,,B2,Ez dut,B2,Ez dut,,Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2019/09/13 9:32:03 AM CET,LH 3,Sondika,2010,Gorondagane,D,D,Ez,B2,C2,B1,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/13 9:32:36 AM CET,LH 3,Leioa,2010,Artatza pinueta,D,D,,C1,Ez dut,B2,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/13 9:32:51 AM CET,LH 3,Lekeitio,2010,Lekeitioko Eskola Publiko,D,D,,C1,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Lanean,Lanean,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2019/09/13 9:33:40 AM CET,LH 3,Bilbon,2010,Lauro Ikastola,D,D,,C1,Ez dut,C1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,"Italiera urte batez ikasi dut eta irakurtzeko gai naizen harren, zailtasunak ditut idazteko eta ulertzeko.",
2019/09/13 9:38:23 AM CET,Minorrekoa (HH zein LH),Muskizen,2009,San Juan Bautistan,A,D,Euskaraz ikasteko. ,C1,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2019/09/13 9:48:48 AM CET,Minorrekoa (HH zein LH),Sestaon,2005,Begoñako Andra Mari La Salle,B,A,Hizkuntzagatik,Ez dut,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2019/09/13 9:50:23 AM CET,Minorrekoa (HH zein LH),Basauri,2006,San Jose ,B,B,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,Ez dagokio,,Ez
2019/09/14 2:26:23 PM CET,LH 3,Lekeitio,2010,Lekeitioko Eskola Publiko,D,D,,C1,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Lanean,Lanean,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2019/09/16 7:51:09 AM CET,LH 3,Portugaleten,2011,Santa Maria eskolan,B,A,"Batxilergoan, bakarrik D edo A eredua zegoelako eta beldurra neukan matematikak ematerako orduan ",Ez dut,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Ez dagokio,Ez dagokio,,
2019/09/16 1:35:43 PM CET,Minorrekoa (HH zein LH),Barakaldon,2008,San Vicente de Paul eta San Paulino de Nola,B,B,Ez,C1,Ez dut,C1,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2019/09/16 4:01:37 PM CET,LH 3,Markina-Xemeinen,2010,Bekobentan,D,D,,C1,Ez dut,A2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2019/09/16 4:52:21 PM CET,LH 3,Beasain,2009,Alkartasuna Lizeoa Ikastetxea,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan,Ikasketetako lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2019/09/19 2:43:24 PM CET,Minorrekoa (HH zein LH),Leioan,2006,Askartza Claret ikastetxean,D,D,,C1,Ez dut,B2,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/10/11 11:04:21 AM CET,Minorrekoa (HH zein LH),Getxo,2010,Zubileta Ikastetxea,D,D,,B2,Ez dut,Ez dut,Ez dut,,Familian;Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Herriko / auzoko lagunekin;Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/10/11 11:04:35 AM CET,Minorrekoa (HH zein LH),Mallabian ,2010,Learreta Markina HLHI,D,D,,Ez dut,Ez dut,Ez dut,Ez dut,,Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,Irakurri;Idatzi,Portugesa,
2019/10/11 11:08:04 AM CET,Minorrekoa (HH zein LH),Bilbon,2010,Amaren Jaun Ikastetxea,B,D,,C1,C1,B2,Ez dut,,Familian;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan,Herriko / auzoko lagunekin,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2019/10/11 11:09:07 AM CET,Minorrekoa (HH zein LH),Ugao,2008-2009,Ugaoko eskolan,D,D,,B1,Ez dut,Ez dut,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2019/10/11 11:12:45 AM CET,Minorrekoa (HH zein LH),Santurtzi,2010,Itsasoko Ama,D,D,,Ez dut,Ez dut,Ez dut,Ez dut,,Familian;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/10/11 11:12:47 AM CET,Minorrekoa (HH zein LH),Barakaldo,2010,Gurutzeta eskolan,D,D,,B1;B2,Ez dut,B1,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2019/10/11 11:15:08 AM CET,Minorrekoa (HH zein LH),Usansolon,2007,"Unkina, Usansolon ",D,D,,B2,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,Ez dagokio,,
2019/10/11 11:15:24 AM CET,Minorrekoa (HH zein LH),"Zuatza, Aiara",2008,Etxaurren Ikastola,D,D,,C1,Ez dut,B2,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2019/10/11 11:18:02 AM CET,Minorrekoa (HH zein LH),Usansolon,2008,Unkinan,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,Ez dagokio,,
