"","Herria","Lema","Erantzuna","Erantzuna..fon.","galdera"
"140","Zeanuri","ama","áma","áma","2480"
"141","Zeberio","ama","áma","áma","2480"
"142","Zegama","ama","amá","amá","2480"
"143","Zilbeti","ama","áma","áma","2480"
"144","Zollo (Arrankudiaga)","ama","áma","áma","2480"
"145","Zornotza","ama","áma","áma","2480"
"146","Zugarramurdi","ama","áma","áma","2480"
"147","Abaurregaina  / Abaurrea Alta","aita","áita","ái̯ta","2481"
"148","Ahetze","aita","aitá","ai̯tá","2481"
"149","Aia","atta","attá","attá","2481"
"150","Aldude","aita","áita","ái̯ta","2481"
"151","Alkotz","aite","áite","ái̯te","2481"
"152","Altzai","aita","áita","ái̯ta","2481"
"153","Altzürükü","aita","áita","ái̯ta","2481"
"154","Amezketa","aitte","áitté","ái̯tté","2481"
"155","Andoain","aita","áitá","ái̯tá","2481"
"156","Aniz","aite","áite","ái̯te","2481"
"157","Aramaio","aitte","áitte","ái̯tte","2481"
"158","Araotz (Oñati)","aita","áita","ái̯ta","2481"
"159","Arbizu","aitta","áitta","ái̯tta","2481"
"160","Arboti","aita","áita","ái̯ta","2481"
"161","Armendaritze","aita","áita","ái̯ta","2481"
"162","Arnegi","aita","áita","ái̯ta","2481"
"163","Arrangoitze","aita","áita","ái̯ta","2481"
"164","Arrasate","aitte","áitte","ái̯tte","2481"
"165","Arrazola (Atxondo)","aitte","áitte","áitte","2481"
"166","Arrieta","aitte","áitte","ái̯tte","2481"
"167","Arroa (Zestoa)","atta","átta","átta","2481"
"168","Arrueta","aita","áita","ái̯ta","2481"
"169","Asteasu","atta","attá","attá","2481"
"170","Ataun","aitte","aitté","ai̯tté","2481"
"171","Azkaine","aita","áita","ái̯ta","2481"
"172","Azkaine","aitatto","aitattó","ai̯tattó","2481"
"173","Azkoitia","aitte","áitte","ái̯tte","2481"
"174","Azpeitia","aitte","aitté","ai̯tté","2481"
"175","Baigorri","aita","aita","ai̯ta","2481"
"176","Bakio","aitxe","áitxe","ái̯tʃe","2481"
"177","Bardoze","aita","áita","ái̯ta","2481"
"178","Barkoxe","aita","áita","ái̯ta","2481"
"179","Bastida","aita","aita","ai̯ta","2481"
"180","Beasain","atte","atte","atte","2481"
"181","Behorlegi","aita","aitá","ai̯tá","2481"
"182","Beizama","aitta","áitta","ái̯tta","2481"
"183","Bergara","aitta","áitta","ái̯tta","2481"
"184","Bermeo","aitxe","aitxé","ai̯tʃé","2481"
"185","Berriz","aitte","áitte","ái̯tte","2481"
"186","Beruete","atte","átté","átté","2481"
"187","Beskoitze","aita","áita","ái̯ta","2481"
"188","Bidarrai","aita","áita","ái̯ta","2481"
"189","Bolibar","aitte","áitte","ái̯tte","2481"
"190","Busturia","aitxe","aitxé","ai̯tʃé","2481"
"191","Deba","aitxa","áitxa","ái̯tʃa","2481"
"192","Dima","aite","áite","ái̯te","2481"
"193","Domintxaine","aita","áita","ái̯ta","2481"
"194","Donamaria","atta","átta","átta","2481"
"195","Donibane Lohizune","aita","aitá","ai̯tá","2481"
"196","Donostia","atta","atta","atta","2481"
"197","Dorrao / Torrano","eitta","éitta","éi̯tta","2481"
"198","Eibar","aitta","áitta","ái̯tta","2481"
"199","Elantxobe","aitxe","áitxe","ái̯tʃe","2481"
"200","Elduain","atte","atté","atté","2481"
"201","Elgoibar","aitta","aittá","ai̯ttá","2481"
"202","Elgoibar","aitxai","aitxái","ai̯tʃái̯","2481"
"203","Elorrio","aitta","áitta","ái̯tta","2481"
"204","Erratzu","aite","áite","ái̯te","2481"
"205","Errezil","aitta","aittá","ai̯ttá","2481"
"206","Errigoiti","aitte","aitté","ai̯tté","2481"
"207","Eskiula","aita","áita","ái̯ta","2481"
"208","Etxalar","atta","attá","attá","2481"
"209","Etxaleku","atte","atté","atté","2481"
"210","Etxarri (Larraun)","atte","atté","atté","2481"
"211","Etxebarri","aita","áita","ái̯ta","2481"
"212","Etxebarria","aita","áitá","ái̯tá","2481"
"213","Eugi","aite","áite","ái̯te","2481"
"214","Eugi","aita","áita","ái̯ta","2481"
"215","Ezkio-Itsaso","aitte","aitté","ai̯tté","2481"
"216","Ezkurra","atte","átté","átté","2481"
"217","Ezterenzubi","aita","áita","ái̯ta","2481"
"218","Gaintza","atte","atté","atté","2481"
"219","Gamarte","aita","aitá","ai̯tá","2481"
"220","Gamiz-Fika","aitte","áitte","ái̯tte","2481"
"221","Garrüze","aita","áita","ái̯ta","2481"
"222","Getaria","aita","áitá","ái̯tá","2481"
"223","Getxo","aite","áite","ái̯te","2481"
"224","Gizaburuaga","aitte","áitte","ái̯tte","2481"
"225","Goizueta","atta","áttá","áttá","2481"
"226","Hazparne","aita","áita","ái̯ta","2481"
"227","Hendaia","aita","aitá","ai̯tá","2481"
"228","Hernani","atta","attá","attá","2481"
"229","Hondarribia","atta","atta","atta","2481"
"230","Ibarruri (Muxika)","aitte","áitte","ái̯tte","2481"
"231","Igoa","atte","atté","atté","2481"
"232","Ikaztegieta","aita","aita","ai̯ta","2481"
"233","Irisarri","aita","áita","ái̯ta","2481"
"234","Itsasu","aita","aitá","ai̯tá","2481"
"235","Izturitze","aita","áita","ái̯ta","2481"
"236","Jaurrieta","aita","áita","ái̯ta","2481"
"237","Jutsi","aita","aita","ai̯ta","2481"
"238","Kortezubi","aitxe","áitxe","ái̯tʃe","2481"
"239","Landibarre","aita","áita","ái̯ta","2481"
"240","Larrabetzu","aite","áite","ái̯te","2481"
"241","Larraine","aita","aita","ai̯ta","2481"
"242","Larzabale","aita","áita","ái̯ta","2481"
"243","Lasarte-Oria","atta","attá","attá","2481"
"244","Lasarte-Oria","aita","aitá","aitá","2481"
"245","Laukiz","aite","áite","ái̯te","2481"
"246","Legazpi","atte","atte","atte","2481"
"247","Leintz Gatzaga","aitta","áitta","ái̯tta","2481"
"248","Leioa","aite","áite","ái̯te","2481"
"249","Leitza","atte","atté","atté","2481"
"250","Lekaroz","aite","áite","ái̯te","2481"
"251","Lekeitio","aitta","áitta","ái̯tta","2481"
"252","Lemoa","aite","áite","ái̯te","2481"
"253","Lemoiz","aitxe","aitxé","ai̯tʃé","2481"
"254","Luzaide / Valcarlos","aita","áita","ái̯ta","2481"
"255","Makea","aita","áita","ái̯ta","2481"
"256","Mañaria","aitte","aitte","ai̯tte","2481"
"257","Mendaro","aitxa","aitxá","ai̯tʃá","2481"
"258","Mendata","aitte","áitte","ái̯tte","2481"
"259","Mezkiritz","aita","áita","ái̯ta","2481"
"260","Montori","aita","áita","ái̯ta","2481"
"261","Mugerre","aita","aita","ai̯ta","2481"
"262","Mungia","aitte","aitté","ai̯tté","2481"
"263","Oderitz","atte","atté","atté","2481"
"264","Oiartzun","atta","áttá","áttá","2481"
"265","Oñati","aitta","áitta","ái̯tta","2481"
"266","Ondarroa","aitxe","áitxe","ái̯tʃe","2481"
"267","Orexa","atte","átte","átte","2481"
"268","Orio","aita","aitá","ai̯tá","2481"
"269","Orozko","aita","áita","ái̯ta","2481"
"270","Otxandio","aitte","áitte","ái̯tte","2481"
"271","Pagola","aita","áita","ái̯ta","2481"
"272","Pasaia","aita","aitá","ai̯tá","2481"
"273","Santa Grazi","aita","áita","ái̯ta","2481"
"274","Sara","aita","áita","ái̯ta","2481"
"275","Senpere","aita","áita","ái̯ta","2481"
"276","Sohüta","aita","áita","ái̯ta","2481"
"277","Sondika","aite","aité","ai̯té","2481"
"278","Suarbe","aite","áite","ái̯te","2481"
"279","Suarbe","aitte","áitte","ái̯tte","2481"
"280","Sunbilla","atta","attá","attá","2481"
"281","Tolosa","aita","aitá","ai̯tá","2481"
"282","Uharte Garazi","aita","áita","ái̯ta","2481"
"283","Urdiain","aita","aitá","ai̯tá","2481"
"284","Urdiñarbe","aita","áita","ái̯ta","2481"
"285","Urketa","aita","aita","ai̯ta","2481"
"286","Urretxu","aitta","áitta","ái̯tta","2481"
"287","Ürrüstoi","aita","áita","ái̯ta","2481"
"288","Uztaritze","aita","aitá","ai̯tá","2481"
"289","Zaratamo","aita","áita","ái̯ta","2481"
"290","Zeanuri","aite","áite","ái̯te","2481"
"291","Zeberio","aite","áite","ái̯te","2481"
"292","Zegama","aitte","aitté","ai̯tté","2481"
"293","Zilbeti","aita","áita","ái̯ta","2481"
"294","Zollo (Arrankudiaga)","aite","áite","ái̯te","2481"
"295","Zornotza","aitte","aitte","ai̯tte","2481"
"296","Zugarramurdi","aita","áita","ái̯ta","2481"
"297","Abaurregaina  / Abaurrea Alta","aurra ina du","áurraina dú","áu̯r̄ai̯na ðú","2482"
"298","Alkotz","umine","umíñe","umíɲe","2482"
"299","Alkotz","umia in du","umíain dú","umíai̯n dú","2482"
"300","Alkotz","umia ine da","úmía íñe dá","úmía íɲe ðá","2482"
"301","Altzai","haurdun","haurrd´ün","hau̯r̄ðýn","2482"
"302","Altzai","haurregin","háurregín","háu̯r̄eɣín","2482"
"303","Altzürükü","haurregin","háurrégin","háu̯r̄éɣin","2482"
"304","Aramaio","uretan pasau","urétampasau","urétampaśau̯","2482"
"305","Aramaio","amasoltera","amásoltera","amáśoltera","2482"
"306","Araotz (Oñati)","amasoltera","amásoltera","amáśoltera","2482"
"307","Arbizu","umejana","úmejaná","úmexaná","2482"
"308","Arboti","haur inik","háurr inik","háu̯r̄ inik","2482"
"309","Arnegi","baxtartile","baxtárrtíle","βaʃtár̄tíle","2482"
"310","Arnegi","bazko in du erramu beno lehen","bázko in du errámu beno léhen","básko in du er̄ámu βeno léhen","2482"
"311","Arrangoitze","erramu aintzinian pazkoa in","errámu aintzíniam pazkoa ín","er̄ámu ai̯ntsíniam paskoa ín","2482"
"312","Arrasate","soltera","soltéra","śoltéra","2482"
"313","Arrazola (Atxondo)","soltera","soltéra","śoltéra","2482"
"314","Arrieta","yasoneko","yasónéko","ǰaśónéko","2482"
"315","Arroa (Zestoa)","amasoltera","ámasolterá","ámaśɔlterá","2482"
"316","Arrueta","haurrin","haurrín","hau̯r̄ín","2482"
"317","Arrueta","bastarta badik","bastárrta badík","baśtár̄ta βaðík","2482"
"318","Azkoitia","neskatan izen du","neskátan izen dú","neśkátan isɛn dú","2482"
"319","Azpeitia","fameliye izendakue","fámeliyeizéndakué","fámeliǰei̯séndakué","2482"
"320","Azpeitia","izendakue","izéndakue","iséndakwe","2482"
"321","Baigorri","basterta egin","basterrta egin","baśter̄ta eɣin","2482"
