"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","neskato","neskáto","neśkáto"
"2","Ahetze","neskatxa","neskátxa","neśkátʃa"
"3","Aia","neskatx","neskátx","neśkátʃ"
"4","Aia","neskagazte","neskágazté","neśkáɣasté"
"5","Aldude","nexkagazte","nexkágazté","neʃkáɣasté"
"6","Alkotz","neskatxa","neskátxa","neśkátʃa"
"7","Alkotz","neska iñek","néska íñek","néśka íɲek"
"8","Altzai","nexkatila","nexkatíla","neʃkatíla"
"9","Altzürükü","nexkatila","néxkatíla","néʃkatíla"
"10","Amezketa","neskagazte","neskágazté","neśkáɣastɛ́"
"11","Amezketa","mirabe","mirábe","miráβe"
"12","Andoain","neska","neská","neśká"
"13","Aniz","neska","néska","nɛ́śka"
"14","Aniz","neskatx","neskátx","neśkátʃ"
"15","Aramaio","neskagaste","néskagaste","néśkaɣaśte"
"16","Aramaio","neskato","néskato","néśkato"
"17","Araotz (Oñati)","neskagaste","neskágaste","neśkáɣaśte"
"18","Arbizu","nexkixa","nexkíxa","neʃkíʃa"
"19","Arboti","nexkato","nexkáto","neʃkáto"
"20","Armendaritze","neska","néska","nɛ́śka"
"21","Armendaritze","neskagazte","néskagaztiá","néśkaɣastiá"
"22","Armendaritze","neska","neska","neśka"
"23","Arnegi","nexkatogazte","nexkátogázte","neʃkátoɣáste"
"24","Arnegi","nexkatxa","nexkátxa","neʃkátʃa"
"25","Arrangoitze","neskatxa","neskátxa","neśkátʃa"
"26","Arrasate","neska","néska","néśka"
"27","Arrazola (Atxondo)","neskatilla","neskátilla","neśkátiʎa"
"28","Arrieta","neskatille","neskátíllé","neśkátíʎé"
"29","Arrieta","neskato","neskáto","neśkáto"
"30","Arrieta","neska","neská","neśká"
"31","Arroa (Zestoa)","neskagazte","neskágazté","neśkáɣasté"
"32","Arrueta","nexkato","nexkáto","neʃkáto"
"33","Arrueta","nexkatogazte","néxkatogázte","néʃkatoɣáste"
"34","Asteasu","neskagazte","neskágazté","neśkáɣasté"
"35","Ataun","neskagazte","neskágazté","neśkáɣasté"
"36","Azkaine","nexka","nexká","neʃká"
"37","Azkaine","neskatxa","neskátxa","neśkátʃa"
"38","Azkoitia","neska","néska","néśka"
"39","Azkoitia","neskagazte","neskagázte","neśkaɣáste"
"40","Azpeitia","neskagazte","neskágazté","neśkáɣasté"
"41","Baigorri","neskatil","neskatil","neśkatil"
"42","Baigorri","neskatilla","neskatilla","neśkatiʎa"
"43","Bakio","neskatoeldu","neskátoeldu","neśkátoelðu"
"44","Bardoze","nexkato","nexkatua","neʃkatwa"
"45","Barkoxe","nexkatila","nexkatíla","neʃkatíla"
"46","Bastida","neskatoko","neskatoko","neśkatoko"
"47","Bastida","neska","neska","neśka"
"48","Bastida","neskatokogazte","néskatokogazté","néśkatokoɣasté"
"49","Beasain","neska","neska","neśka"
"50","Beasain","neskatxa","neskátxa","neśkátʃa"
"51","Beasain","dontzella","dóntzella","dóntseʎa"
"52","Behorlegi","nexkatogazte","nexkatógazté","neʃkatóɣasté"
"53","Behorlegi","nexkatxa","nexkatxá","neʃkatʃá"
"54","Beizama","neskagazte","néskagazté","néśkaɣasté"
"55","Bergara","neskagazte","neskagázte","neśkaɣáste"
"56","Bergara","neska","néska","néśka"
"57","Bermeo","neskagaste","neskagáste","neśkaɣáśte"
