"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","tia","tía","tía"
"2","Ahetze","mattantta","mattántta","mattántta"
"3","Ahetze","izeba","izebá","iseβá"
"4","Aia","izeba","izéba","iséβa"
"5","Aldude","izeba","izéba","iséβa"
"6","Aldude","ttantta","ttanttá","ttanttá"
"7","Alkotz","tia","tía","tía"
"8","Alkotz","izeba","izéba","iséβa"
"9","Altzai","tanta","tánta","tánta"
"10","Altzürükü","tanta","tánta","tánta"
"11","Amezketa","iziba","izíbá","isíβá"
"12","Andoain","izeba","ízebá","íseβá"
"13","Aniz","izoba","izóba","isóβa"
"14","Aramaio","ixeko","ixéko","iʃéko"
"15","Araotz (Oñati)","tia","tía","tía"
"16","Arbizu","izeba","izebá","iseβá"
"17","Arboti","tanta","tánta","tánta"
"18","Armendaritze","ttañtta","ttáñtta","ttáɲtta"
"19","Arnegi","izeba","izebá","iseβá"
"20","Arnegi","ttantta","ttántta","ttántta"
"21","Arrangoitze","matanta","matánta","matánta"
"22","Arrasate","tia","tía","tía"
"23","Arrazola (Atxondo)","ixeko","ixéko","iʃéko"
"24","Arrieta","ixeko","ixékó","iʃékó"
"25","Arroa (Zestoa)","izeko","izéko","iséko"
"26","Arrueta","tanta","tánta","tánta"
"27","Asteasu","izeba","izebá","iseβá"
"28","Ataun","izeba","izebá","iseβá"
"29","Azkaine","matanta","matánta","matánta"
"30","Azkaine","izeba","izéba","iséβa"
"31","Azkoitia","tia","tiá","tiá"
"32","Azkoitia","iziko","izíko","isíko"
"33","Azpeitia","iseko","iséko","iśéko"
"34","Azpeitia","izeko","izéko","iséko"
"35","Baigorri","tanta","tanta","tanta"
"36","Baigorri","ttantta","ttantta","ttantta"
"37","Baigorri","izoba","izóba","isóβa"
"38","Baigorri","izea","izéa","iséa"
"39","Bakio","ixeko","ixéko","iʃéko"
"40","Bakio","tia","tía","tía"
"41","Bardoze","ttantta","ttántta","ttántta"
"42","Barkoxe","tanta","tánta","tánta"
"43","Bastida","ttantta","ttanttá","ttanttá"
"44","Beasain","izua","izúa","isúa"
"45","Behorlegi","ttañtta","ttañttá","ttaɲttá"
"46","Beizama","izeba","ízebá","íseβá"
