"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"47","Bergara","izeba","izéba","iséβa"
"48","Bergara","tia","tía","tía"
"49","Bermeo","ixeko","ixéko","iʃéko"
"50","Bermeo","tie","tíe","tíe"
"51","Berriz","ixeko","ixéko","iʃéko"
"52","Beruete","izoa","ízoá","ísoá"
"53","Beskoitze","ttantta","ttántta","ttántta"
"54","Bidarrai","izeba","izéba","iséβa"
"55","Bidarrai","ttañtta","ttáñtta","ttáɲtta"
"56","Bolibar","iseko","iséko","iśéko"
"57","Busturia","ixeko","ixéko","iʃéko"
"58","Deba","tia","tía","tía"
"59","Deba","iseko","iséko","iśéko"
"60","Dima","ixiko","ixíko","iʃíko"
"61","Domintxaine","tanta","tánta","tánta"
"62","Donamaria","izeba","izéba","iséβa"
"63","Donibane Lohizune","matanta","matánta","matánta"
"64","Donostia","izeba","izéba","iséβa"
"65","Dorrao / Torrano","izo","ízo","íso"
"66","Eibar","tia","tía","tía"
"67","Elantxobe","ixeko","ixéko","iʃéko"
"68","Elduain","izeba","izébá","iséβá"
"69","Elgoibar","tia","tía","tía"
"70","Elorrio","iseko","iséko","iśéko"
"71","Erratzu","izo","ízo","íso"
"72","Erratzu","izoba","izóba","isóβa"
"73","Errezil","izeba","izebá","iseβá"
"74","Errigoiti","tia","tía","tía"
"75","Errigoiti","ixeko","ixéko","iʃéko"
"76","Eskiula","tanta","tánta","tánta"
"77","Etxalar","izeba","izéba","iséβa"
"78","Etxaleku","izua","izuá","isuá"
"79","Etxarri (Larraun)","izoa","ízoá","ísoá"
"80","Etxebarri","ixiko","ixíko","iʃíko"
"81","Etxebarria","iseko","iséko","iśéko"
"82","Eugi","tie","tíe","tíe"
"83","Eugi","izeba","izéba","iséβa"
"84","Ezkio-Itsaso","izeba","izéba","iséβa"
"85","Ezkurra","izoba","izobá","isoβá"
"86","Ezterenzubi","izeba","izéba","iséβa"
"87","Ezterenzubi","tanta","tánta","tánta"
"88","Gaintza","izoa","izoá","isoá"
"89","Gamarte","ttañtta","ttañttá","ttaɲttá"
"90","Gamiz-Fika","ixiko","ixíkó","iʃíkó"
"91","Garrüze","tanta","tánta","tánta"
"92","Getaria","iseko","isékó","iśékó"
"93","Getxo","ixeko","ixekó","iʃekó"
"94","Gizaburuaga","ixeko","ixéko","iʃéko"
"95","Gizaburuaga","tia","tía","tía"
"96","Goizueta","izeba","izéba","iséβa"
"97","Hazparne","tanta","tánta","tánta"
"98","Hendaia","matanta","matánta","matánta"
"99","Hendaia","ttañtta","ttañtta","ttaɲtta"
"100","Hernani","izeba","izebá","iseβá"
"101","Hondarribia","iseba","iséba","iśéβa"
"102","Ibarruri (Muxika)","tia","tía","tía"
"103","Ibarruri (Muxika)","ixeko","ixéko","iʃéko"
"104","Igoa","izo","izó","isó"
"105","Igoa","izoa","ízoá","ísoá"
"106","Ikaztegieta","izeba","izéba","iséβa"
"107","Irisarri","ttañtta","ttáñtta","ttáɲtta"
"108","Irisarri","izaba","izába","isáβa"
"109","Itsasu","tañtta","táñtta","táɲtta"
"110","Izturitze","izeba","izeba","iseβa"
"111","Izturitze","ttantta","ttantta","ttantta"
"112","Jaurrieta","tia","tía","tía"
"113","Jutsi","ttantta","ttantta","ttantta"
"114","Kortezubi","tia","tía","tía"
"115","Landibarre","ttañtta","ttáñtta","ttáɲtta"
"116","Larrabetzu","ixeko","ixéko","iʃéko"
"117","Larraine","tanta","tánta","tánta"
"118","Larzabale","ttantta","ttántta","ttántta"
"119","Lasarte-Oria","izeba","izebá","iseβá"
"120","Laukiz","ixeko","ixéko","iʃéko"
"121","Legazpi","izeko","izeko","iseko"
"122","Leintz Gatzaga","ixeko","ixéko","iʃéko"
"123","Leioa","ixeko","ixekó","iʃekó"
"124","Leitza","izoa","izoá","isoá"
"125","Lekaroz","izoa","ízoa","ísoa"
"126","Lekeitio","ixeko","ixéko","iʃéko"
"127","Lemoa","ixiko","ixíko","iʃíko"
"128","Lemoiz","tia","tía","tía"
"129","Luzaide / Valcarlos","izeba","izéba","iséβa"
"130","Luzaide / Valcarlos","ttañtta","ttáñtta","ttáɲtta"
"131","Makea","izeba","ízebá","íseβá"
"132","Makea","ttantta","ttántta","ttántta"
"133","Mañaria","ixiko","ixíko","iʃíko"
"134","Mendaro","tia","tíá","tíá"
"135","Mendaro","iseko","iséko","iśéko"
"136","Mendata","ixeko","ixéko","iʃéko"
"137","Mezkiritz","izeba","izéba","iséβa"
"138","Montori","tanta","tánta","tánta"
"139","Mugerre","ttantta","ttantta","ttantta"
"140","Mugerre","izaba","izaba","isaβa"
"141","Mungia","ixeko","ixéko","iʃéko"
"142","Oderitz","izoa","ízoá","ísoá"
"143","Oderitz","izo","ízó","ísó"
"144","Oiartzun","izeba","izebá","iseβá"
"145","Oñati","tia","tía","tía"
"146","Ondarroa","ixeko","ixéko","iʃéko"
"147","Ondarroa","tia","tía","tía"
"148","Orexa","izoa","ízoa","ísoa"
"149","Orexa","izeba","izéba","iséβa"
"150","Orio","izeba","izébá","iséβá"
"151","Orozko","isiko","isíko","iśíko"
"152","Otxandio","ixiko","ixíko","iʃíko"
"153","Pagola","tanta","tánta","tánta"
"154","Pasaia","iseba","isébá","iśéβá"
"155","Santa Grazi","tanta","tánta","tánta"
"156","Sara","matanta","matánta","matánta"
"157","Senpere","matanta","matánta","matánta"
"158","Sohüta","izeba","izéba","iséβa"
"159","Sondika","ixeko","ixekó","iʃekó"
"160","Suarbe","tia","tía","tía"
"161","Sunbilla","izeba","izéba","iséβa"
"162","Tolosa","izeba","izébá","iséβá"
"163","Uharte Garazi","ttantta","ttántta","ttántta"
"164","Urdiain","izko","ízko","ísko"
"165","Urdiñarbe","tanta","tánta","tánta"
"166","Urketa","izaba","izába","isáβa"
"167","Urketa","ttantta","ttántta","ttántta"
"168","Urretxu","iziko","izíko","isíko"
"169","Ürrüstoi","tanta","tánta","tánta"
"170","Uztaritze","ttantta","ttántta","ttántta"
"171","Uztaritze","izeba","izéba","iséβa"
"172","Uztaritze","matante","matánte","matánte"
"173","Zaratamo","isiko","isíko","iśíko"
"174","Zeanuri","isiko","ísíko","íśíko"
"175","Zeberio","ixiko","ixíko","iʃíko"
"176","Zegama","iziko","izikó","isikó"
"177","Zilbeti","izeba","izéba","iséβa"
"178","Zollo (Arrankudiaga)","ixiko","íxiko","íʃiko"
"179","Zornotza","ixeko","ixéko","iʃéko"
"180","Zugarramurdi","izo","izó","isó"
