"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","mutiko","mutíko","mutíko"
"2","Ahetze","mutiko","mutíko","mutíko"
"3","Aia","mutikozkor","mutíkozkórr","mutíkoskɔ́r̄"
"4","Aia","muttiko","muttíko","muttíko"
"5","Aia","mutikoxkor","mutíkoxkorrá","mutíkoʃkor̄á"
"6","Aldude","mutiko","mutíko","mutíko"
"7","Alkotz","muttiko","muttíkoa","muttíkoa"
"8","Altzai","puttiko","puttikó","puttikó"
"9","Altzai","pottiko","pottíko","pottíko"
"10","Altzürükü","puttiko","puttíko","puttíko"
"11","Altzürükü","pothiko","pothikó","pothikó"
"12","Amezketa","mutikozkor","mutíkozkórr","mutíkɔskɔ́r̄"
"13","Andoain","mutill","mutíll","mutíʎ"
"14","Andoain","mutikoskor","mutíkoskórr","mutíkośkór̄"
"15","Andoain","mutiko","mútikó","mútikó"
"16","Aniz","mutiko","mutíko","mutíko"
"17","Aramaio","mutiko","mútiko","mútiko"
"18","Araotz (Oñati)","mutiko","mutíko","mutíko"
"19","Arbizu","muttiko","muttíko","muttíko"
"20","Arbizu","muttikokozkor","muttíkokozkórr","muttíkokoskór̄"
"21","Arboti","muttiko","muttíko","muttíko"
"22","Arboti","muthiko","muthíko","muthíko"
"23","Arboti","puthikua","púthikua","púthikwa"
"24","Arboti","puttiko","púttiko","púttiko"
"25","Armendaritze","mutiko","mutíko","mutíko"
"26","Armendaritze","mutiko","mutikó","mutikó"
"27","Arnegi","mutiko","mutíko","mutíko"
"28","Arrangoitze","mutiko","mutíko","mutíko"
"29","Arrasate","mutiko","mútiko","mútiko"
"30","Arrazola (Atxondo)","mutiko","mutíko","mutíko"
"31","Arrieta","mutiko","mutíko","mutíko"
"32","Arrieta","mutilbardingo","mutílbarrdíngó","mutílβar̄ðíŋgó"
"33","Arroa (Zestoa)","mutikoskor","mutíkoskórr","mutíkośkɔ́r̄"
"34","Arroa (Zestoa)","mutilkoskorr","mutílkoskórr","mutílkośkɔ́r̄"
"35","Arroa (Zestoa)","mutill","mutíll","mutíʎ"
"36","Arrueta","muttiko","múttikua","múttikwa"
"37","Arrueta","guiatot","gúiatot","gújatot"
"38","Asteasu","mutilkoskorr","mutílkoskórr","mutílkośkɔ́r̄"
"39","Ataun","motiko","motikó","motikó"
"40","Azkaine","mutikokoskor","mutíkokoskorrá","mutíkokośkor̄á"
"41","Azkoitia","mutikoskor","mutíkoskorr","mutíkɔśkɔr̄"
"42","Azpeitia","mutikozkor","mutíkozkórr","mutíkoskɔ́r̄"
"43","Baigorri","mutiko","mutiko","mutiko"
"44","Bakio","mutiko","mutíko","mutíko"
"45","Bakio","mutilbardingo","mutilbarrdíngo","mutilβar̄ðíŋgo"
"46","Bardoze","muthiko","muthíko","muthíko"
"47","Bardoze","muttiko","muttíko","muttíko"
"48","Barkoxe","haurttipi","haurttípi","hau̯rttípi"
"49","Barkoxe","puthiko","puthíko","puthíko"
"50","Bastida","muttiko","muttiko","muttiko"
"51","Beasain","motiko","mótiko","mótiko"
"52","Beasain","motigoskor","motígoskor","motíɣośkor"
"53","Behorlegi","muttiko","muttikó","muttikó"
"54","Beizama","mutikoskor","mutíkoskórr","mutíkośkɔ́r̄"
"55","Bergara","mutikoskor","mutikóskor","mutikóśkor"
"56","Bergara","mutiko","mútiko","mútiko"
"57","Bermeo","mutil","mutíl","mutíl"
"58","Berriz","mutiko","mutíko","mutíko"
"59","Beruete","mutilkozkor","mutílkozkórr","mutílkɔskɔ́r̄"
"60","Beruete","mutiko","mutikó","mutikó"
"61","Beskoitze","muttiko","múttiko","múttiko"
"62","Bidarrai","mutiko","mutíko","mutíko"
"63","Bolibar","mutikoxkor","mutikóxkorr","mutikóʃkor̄"
"64","Busturia","mutiltxu","mutíltxu","mutíltʃu"
"65","Deba","mutill","mútill","mútiʎ"
"66","Deba","mutikoskor","mutíkoskórr","mutíkośkɔ́r̄"
"67","Deba","mutilkoskorr","mutílkoskórr","mutílkośkɔ́r̄"
"68","Dima","mutiko","mutíko","mutíko"
"69","Domintxaine","muttikottipi","muttikottipia","muttikottipia"
"70","Domintxaine","muttikua","muttikua","muttikua"
"71","Donamaria","mutiko","mutíko","mutíko"
"72","Donibane Lohizune","mutiko","mutíko","mutíko"
"73","Donostia","mutill","mutill","mutiʎ"
"74","Dorrao / Torrano","mutiko","mutíko","mutíko"
"75","Eibar","granuja","granúja","granúxa"
"76","Eibar","mutikoxkor","mutikóxkor","mutikóʃkɔr"
"77","Elantxobe","mutiko","mútiko","mútiko"
"78","Elantxobe","mutil","mútil","mútil"
"79","Elduain","mutikoskor","mutíkoskórr","mutíkośkór̄"
"80","Elgoibar","mutigoskor","mutígoskor","mutíɣośkɔr"
"81","Elorrio","mutiko","mutíko","mutíko"
"82","Erratzu","mutigokozkor","mutígokozkorr","mutíɣokoskɔr̄"
"83","Errezil","mutilkoskorr","mutílkoskórr","mutílkośkɔ́r̄"
"84","Errigoiti","mutilkoxkor","mutílkoxkórr","mutílkoʃkór̄"
"85","Errigoiti","mutilbardingo","mutílbarrdíngo","mutílβar̄ðíŋgo"
"86","Eskiula","pothiko","pothíko","pothíko"
"87","Etxalar","mutigozkor","mutígozkórr","mutíɣoskɔ́r̄"
"88","Etxaleku","mutiko","mutikó","mutikó"
"89","Etxarri (Larraun)","mutiko","mútikó","mútikó"
"90","Etxebarri","mutiko","mutíko","mutíko"
"91","Etxebarria","mutikoxkor","mutíkoxkórr","mutíkoʃkór̄"
"92","Eugi","mutiko","mutikó","mutikó"
"93","Ezkio-Itsaso","motiko","mótikó","mótikó"
"94","Ezkio-Itsaso","mutiko","mutíko","mutíko"
"95","Ezkurra","mutikokozkor","mutikókozkorr","mutikókoskɔr̄"
"96","Ezkurra","mutikokozkor","mutikókozkorr","mutikókoskor̄"
"97","Ezterenzubi","muthiko","múthiko","múthiko"
"98","Ezterenzubi","putiko","pútiko","pútiko"
"99","Gaintza","motiko","mótikó","mótikó"
"100","Gaintza","motikozkor","motíkozkórr","motíkɔskór̄"
"101","Gamarte","mutiko","mutikó","mutikó"
"102","Gamiz-Fika","mutiko","mútikó","mú:tikó"
"103","Garrüze","muttiko","muttíko","muttíkɔ"
"104","Getaria","mutikoskor","mutíkoskórr","mutíkośkór̄"
"105","Getaria","mutilkoskorr","mutílkoskorrák","mutílkośkor̄ák"
"106","Getxo","mutiko","mutíko","mutíko"
"107","Gizaburuaga","mutiko","mútiko","mútiko"
"108","Gizaburuaga","mutikoxkor","mutíkoxkorr","mutíkoʃkor̄"
"109","Goizueta","mutikoxkor","mutíkoxkórr","mutíkoʃkór̄"
"110","Goizueta","motiko","motíkó","motí:kó"
"111","Hazparne","mutiko","mutikó","mutikó"
"112","Hendaia","mutiko","mutikó","mutikó"
"113","Hernani","mutilkozkor","mútilkozkórr","mútilkoskɔ́r̄"
"114","Hondarribia","mutikoskor","mutíkoskorr","mutíkośkor̄"
"115","Ibarruri (Muxika)","mutiko","mutíko","mutíko"
"116","Igoa","muttikoa","múttikoá","múttikoá"
"117","Igoa","mutiko","mútikó","mútikó"
"118","Igoa","mutikokozkor","mútikokózkorr","mútikokóskɔr̄"
"119","Igoa","mutille","mútillé","mútiʎé"
"120","Ikaztegieta","mutiko","mutíko","mutíko"
"121","Ikaztegieta","mutilkoskorr","mutílkoskorr","mutílkośkor̄"
"122","Irisarri","mutiko","mútiko","mútiko"
"123","Itsasu","mutilttiki","mutílttikia","mutílttikia"
"124","Itsasu","mutikottipi","mutíkottipi","mutíkottipi"
"125","Itsasu","hauskila","hauskíla","hau̯śkíla"
"126","Itsasu","mutilkoska","mutilkóska","mutilkóśka"
"127","Izturitze","muthiko","muthíko","muthíko"
"128","Izturitze","puthiko","puthiko","puthiko"
"129","Izturitze","mottiko","mottiko","mottiko"
"130","Jaurrieta","mutiko","mutíko","mutíko"
"131","Jutsi","muthiko","muthiko","muthiko"
"132","Kortezubi","mutilgastetxu","mutílgastetxu","mutílɣaśtetʃu"
"133","Kortezubi","mutil","mutíl","mutíl"
"134","Landibarre","mutiko","mutíko","mutíko"
"135","Larrabetzu","mutiko","mútiko","mútiko"
"136","Larraine","puttiko","puttíko","puttíko"
"137","Larraine","muttikotxipi","muttíkotxipi","muttíkotʃipi"
"138","Larzabale","puthiko","puthíko","puthíko"
"139","Larzabale","muttiko","muttíko","muttíko"
"140","Lasarte-Oria","mutilkoxkor","mutilkoxkórr","mutilkoʃkór̄"
"141","Lasarte-Oria","mutiko","mutikó","mutikó"
"142","Laukiz","ume","umé","umé"
"143","Laukiz","mutiko","mutíko","mutíko"
"144","Legazpi","mutikoskor","mutikoskorr","mutikośkor̄"
"145","Leintz Gatzaga","mutiko","mutíko","mutíko"
"146","Leioa","mutil","mutíl","mutíl"
"147","Leioa","mutiko","mutíko","mutíko"
"148","Leitza","mutilkozkor","mutílkozkórr","mutílkoskɔ́r̄"
"149","Leitza","mutiko","mutikó","mutikó"
"150","Lekaroz","mutiko","mutíko","mutíko"
