"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","aitautxia","aitaútxia","ai̯taútʃja"
"2","Abaurregaina  / Abaurrea Alta","apitxi","apítxi","apítʃi"
"3","Abaurregaina  / Abaurrea Alta","abuelo","abuélo","aβwélo"
"4","Ahetze","aitatxi","aitátxi","ai̯tátʃi"
"5","Ahetze","aittona","áittona","ái̯ttona"
"6","Aia","atton","attón","attón"
"7","Aia","attajaun","attájáun","attáxáu̯n"
"8","Aldude","aitatxi","áitatxí","ái̯tatʃí"
"9","Alkotz","aitutxi","aitútxi","ai̯tútʃi"
"10","Alkotz","abuelo","abuélo","aβwélo"
"11","Altzai","aitañi","áitañí","ái̯taɲí:"
"12","Altzai","axaita","axáita","aʃái̯ta"
"13","Altzai","attettea","attéttea","attéttea"
"14","Altzürükü","attatta","attátta","attátta"
"15","Altzürükü","axaita","axáita","aʃái̯ta"
"16","Amezketa","aittona","aittoná","ai̯ttoná"
"17","Andoain","aiton","aitón","ai̯tón"
"18","Aniz","aitetxi","aitétxi","ai̯tétʃi"
"19","Aramaio","aittejaune","áittejaune","ái̯ttexau̯ne"
"20","Aramaio","aitteitte","áitteitte","ái̯ttei̯tte"
"21","Araotz (Oñati)","aittajauna","aittájauna","ai̯ttáxau̯na"
"22","Arbizu","aitun","aitún","ai̯tún"
"23","Arboti","attatta","áttattá","áttattá"
"24","Arboti","aitañi","aitañí","ai̯taɲí"
"25","Arboti","atti","attí","attí:"
"26","Arboti","aitti","aittí","ai̯ttí"
"27","Armendaritze","aitatxi","aitatxí","ai̯tatʃí"
"28","Arnegi","aitatxi","aitátxi","ai̯tátʃi"
"29","Arnegi","aitaxo","áitaxo","ái̯taʃo"
"30","Arrangoitze","aitatxi","aitátxi","ai̯tátʃi"
"31","Arrasate","aitejaun","aitejáun","ai̯texáu̯n"
"32","Arrasate","aititte","aitítte","ai̯títte"
"33","Arrazola (Atxondo)","aitteitte","áitteitte","ái̯tteitte"
"34","Arrieta","aittitte","áittitté","ái̯ttitté"
"35","Arroa (Zestoa)","aittitta","aittittá","ai̯ttittá"
"36","Arroa (Zestoa)","attona","attóna","attóna"
"37","Arrueta","oxaita","oxaita","oʃai̯ta"
"38","Arrueta","ottatta","ottátta","ottátta"
"39","Asteasu","attona","attóná","attóná"
"40","Asteasu","atton","attón","attón"
"41","Ataun","aittejaun","aittejáun","ai̯ttexáu̯n"
"42","Azkaine","aitatxi","aitátxí","ai̯tátʃí"
"43","Azkoitia","aittitte","aittítte","ai̯ttítte"
"44","Azpeitia","attitte","attítte","attítte"
"45","Baigorri","aitatxi","aitatxi","ai̯tatʃi"
"46","Bakio","aitxitxe","áitxitxe","ái̯tʃitʃe"
"47","Bardoze","aitatxi","áitatxi","ái̯tatʃi"
"48","Barkoxe","aitañi","aitañí","ai̯taɲí"
"49","Bastida","aitatxi","aitátxi","ai̯tátʃi"
"50","Bastida","attitti","attítti","attítti"
"51","Beasain","attona","attóna","attóna"
"52","Behorlegi","aitatxi","aitatxí","ai̯tatʃí"
"53","Beizama","aittajaun","aittájáun","ai̯ttáxáu̯n"
"54","Beizama","aittona","aittóna","ai̯ttóna"
"55","Bergara","aittajauna","aittájauná","ai̯ttáxau̯ná"
"56","Bergara","aittitta","áittitta","ái̯ttitta"
"57","Bermeo","aitxitxe","áitxitxe","ái̯tʃitʃe"
"58","Berriz","aittaitta","áittaitta","ái̯ttai̯tta"
"59","Beruete","attun","attún","attún"
"60","Beruete","abuelo","abueló","aβweló"
"61","Beskoitze","aitetxi","aitétxi","ai̯tétʃi"
"62","Bidarrai","aitatxi","aitátxi","ai̯tátʃi"
