"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Ahetze","sui","súi","śúi"
"2","Aia","sui","suí","śwí"
"3","Aldude","sui","suí","śuí"
"4","Alkotz","suye","súye","śúǰe"
"5","Altzai","suhi","suhí","śũhí"
"6","Altzürükü","sühi","sühi","śyhi"
"7","Altzürükü","sühia","sühía","śyhía"
"8","Altzürükü","¡andra","¡andra","ʒandra"
"9","Altzürükü","alhabaen senharra","alhabáen senhárra","alhaβáen śenhár̄a"
"10","Amezketa","sui","súi","śú:i"
"11","Amezketa","sui¡e","suíié","śwíjé"
"12","Andoain","sui","súi","śúi̯"
"13","Aniz","suie","súie","śúi̯e"
"14","Aramaio","suñ","súñ","śúɲ"
"15","Araotz (Oñati)","suin","suín","śwín"
"16","Arbizu","sui","suí","śwí"
"17","Arboti","bofiza","bofíza","bofísa"
"18","Armendaritze","suhi","súhi","śúhi"
"19","Arnegi","suhi","súhi","śúhi"
"20","Arrangoitze","sugi","sugí","śuɣí"
"21","Arrasate","suin","suín","śwín"
"22","Arrazola (Atxondo)","suin","súin","śúin"
"23","Arrieta","suñ","suñ","śuɲ"
"24","Arroa (Zestoa)","sui","suí","śwí"
"25","Arrueta","suhi","súhi","śúhi"
"26","Arrueta","bofiza","bofíza","bofísa"
"27","Asteasu","sui","suí","śwí"
"28","Ataun","sui","suí","śuí:"
"29","Azkaine","sui","súi","śúi̯"
"30","Azkoitia","xui","xuí","ʃwí"
"31","Azpeitia","sui","suí","śwí"
"32","Baigorri","suhi","suhi","śuhi"
"33","Bakio","suin","suín","śuín"
"34","Bardoze","suhi","suhí","śuhí"
"35","Bardoze","sühia","sühia","śyhia"
"36","Bastida","bofiz","bofiz","bofis"
"37","Bastida","suhi","suhi","śuhi"
"38","Beasain","sui","súi","śúi"
"39","Behorlegi","suhi","suhí","śuhí"
"40","Beizama","sui","suí","śuí"
"41","Bergara","suiñ","suiñ","śui̯ɲ"
"42","Bermeo","sugin","sugín","śuɣín"
"43","Berriz","suiñ","suiñ","śui̯ɲ"
"44","Beruete","sui","suí","śwí"
"45","Beskoitze","suhi","súhi","śúhi"
"46","Bidarrai","suhi","súhi","śúhi"
"47","Bolibar","suiñ","súiñ","śúiɲ"
"48","Busturia","suin","suín","śwín"
"49","Deba","suñ","súñ","śúɲ"
"50","Deba","suiña","suiña","śuiɲa"
"51","Dima","suiñ","suiñ","śui̯ɲ"
"52","Domintxaine","sühia","s´ühia","śýhia"
"53","Donamaria","suya","súyAE","śúǰạ"
"54","Donibane Lohizune","sui","suí","śuí"
"55","Donostia","suya","suya","śuǰa"
"56","Dorrao / Torrano","sui","suí","śwí"
"57","Eibar","suiñ","súiñ","śúi̯ɲ"
"58","Elantxobe","suin","suín","śwín"
"59","Elduain","suie","súié","śújé"
"60","Elduain","sui","sui","świ"
"61","Elgoibar","suiñ","súiñ","śúiɲ"
"62","Elorrio","suin","súin","śúin"
"63","Erratzu","suie","súie","śúi̯e"
"64","Errezil","sui","suí","śwí"
"65","Errigoiti","suiñ","suiñ","śui̯ɲ"
"66","Etxalar","suya","suya","śuǰa"
"67","Etxaleku","suye","suyé","śuǰé"
"68","Etxarri (Larraun)","suye","suyé","śuǰé"
"69","Etxarri (Larraun)","sui","suí","śwí"
"70","Etxebarri","suin","suín","śwín"
"71","Etxebarria","suiñ","súiñ","śúiɲ"
"72","Eugi","suye","súye","śúǰe"
"73","Ezkio-Itsaso","sui","suí","śuí:"
"74","Ezkurra","sui","súí","śúí"
"75","Ezterenzubi","suhi","suhí","śuhí"
"76","Gaintza","sui","suí","śuí"
"77","Gamarte","suhi","suhí","śuhí"
"78","Gamiz-Fika","suñ","suñ","śuɲ"
"79","Garrüze","süi","süí","śyí"
"80","Getaria","sui","suí","śuí"
"81","Getxo","suñe","suñé","śuɲé"
"82","Gizaburuaga","suin","suín","śwín"
"83","Goizueta","suia","súiá","śú:já"
"84","Hazparne","suhi","súhi","śúhi"
"85","Hendaia","suya","súya","śúǰa"
"86","Hernani","zui","zui","sui̯"
"87","Hondarribia","suya","suya","śuǰa"
"88","Ibarruri (Muxika)","suin","suín","śwín"
"89","Igoa","sui","suí","śwí"
"90","Ikaztegieta","sui","sui","świ"
"91","Irisarri","suhi","súhi","śúhi"
"92","Itsasu","suhi","súhi","śúhi"
"93","Izturitze","suhi","súhi","śúhi"
"94","Jaurrieta","suya","súya","śúǰa"
"95","Jutsi","suhi","suhi","śuhi"
"96","Kortezubi","suin","suín","śwín"
"97","Landibarre","suhi","suhí","śuhí"
"98","Larrabetzu","suiñ","suiñ","śui̯ɲ"
"99","Larraine","sühi","s´ühi","śýhi"
"100","Larzabale","suhi","súhi","śúhi"
"101","Lasarte-Oria","sui","suí","śwí"
"102","Laukiz","suin","suín","śwín"
"103","Legazpi","sui","sui","świ"
"104","Leintz Gatzaga","suin","suín","śwín"
"105","Leioa","suñe","suñé","śuɲé"
"106","Leitza","sui","suí","śwí"
"107","Lekaroz","suie","súie","śúje"
"108","Lekaroz","suie","súie","śúi̯e"
"109","Lekeitio","suin","súin","śúin"
"110","Lemoa","suiñ","suiñ","śui̯ɲ"
"111","Lemoiz","sun","sún","śún"
"112","Luzaide / Valcarlos","suhi","súhi","śúhi"
"113","Makea","suhi","súhi","śúhi"
"114","Mañaria","suiñ","suiñ","śui̯ɲ"
"115","Mendaro","suiñ","suíñ","śwíɲ"
"116","Mendata","suin","suín","śwín"
"117","Mezkiritz","suiye","suíye","śwíǰe"
"118","Mezkiritz","suye","súye","śúǰe"
"119","Mugerre","suhi","suhi","śuhi"
"120","Mungia","suñ","suñ","śuɲ"
"121","Oderitz","sui","suí","śwí"
"122","Oderitz","sui","súí","śúí"
"123","Oiartzun","sui","suí","śwí"
"124","Oñati","suin","suín","śwín"
"125","Ondarroa","sugin","súgin","śúɣin"
"126","Orexa","sui","suí","śwí"
"127","Orio","sui","suí","śuí"
"128","Orio","sui","suí","śwí"
"129","Orozko","semeordeko","semeórrdeko","śemeór̄ðeko"
"130","Orozko","suñe","súñe","śúɲe"
"131","Otxandio","suin","suín","śwín"
"132","Pagola","sühü","süh´ü","śyhý"
"133","Pagola","sühi","sühí","śyhí"
"134","Pasaia","zui","zuí","swí"
"135","Santa Grazi","¡andre","¡andre","ʒandre"
"136","Sara","sui","súi","śúi"
