"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","ama","áma","áma"
"2","Ahetze","ama","amá","amá"
"3","Aia","ama","amá","amá"
"4","Aldude","ama","áma","áma"
"5","Alkotz","ama","ámá","ámá"
"6","Altzai","ama","áma","áma"
"7","Altzürükü","ama","áma","áma"
"8","Amezketa","ama","ámá","ámá"
"9","Andoain","ama","amá","amá"
"10","Aniz","ama","ama","ama"
"11","Aramaio","ama","áma","áma"
"12","Araotz (Oñati)","ama","áma","áma"
"13","Arbizu","ama","áma","áma"
"14","Arboti","ama","áma","áma"
"15","Armendaritze","ama","áma","áma"
"16","Arnegi","ama","amá","amá"
"17","Arrangoitze","ama","áma","áma"
"18","Arrasate","ama","áma","áma"
"19","Arrazola (Atxondo)","ama","áma","áma"
"20","Arrieta","ama","ámá","ámá"
"21","Arroa (Zestoa)","ama","áma","áma"
"22","Arrueta","ama","áma","áma"
"23","Asteasu","ama","amá","amá"
"24","Ataun","ama","amá","amá"
"25","Azkaine","ama","áma","áma"
"26","Azkoitia","ama","áma","áma"
"27","Azpeitia","ama","áma","áma"
"28","Baigorri","ama","ama","ama"
"29","Bakio","ama","amá","amá"
"30","Bardoze","ama","áma","áma"
"31","Barkoxe","ama","áma","áma"
"32","Bastida","ama","ama","ama"
"33","Beasain","ama","áma","áma"
"34","Behorlegi","ama","amá","amá"
"35","Beizama","ama","ámá","ámá"
"36","Bergara","ama","ama","ama"
"37","Bermeo","ama","amá","amá"
"38","Berriz","ama","áma","áma"
"39","Beruete","ama","ámá","ámá"
"40","Beskoitze","ama","áma","áma"
"41","Bidarrai","ama","áma","áma"
"42","Bolibar","ama","áma","áma"
"43","Busturia","ama","amá","amá"
"44","Deba","ama","áma","áma"
"45","Dima","ama","áma","áma"
"46","Domintxaine","ama","amá","amá"
"47","Domintxaine","ama","áma","áma"
"48","Donamaria","ama","áma","áma"
"49","Donibane Lohizune","ama","amá","amá"
"50","Donostia","ama","ama","ama"
"51","Dorrao / Torrano","ama","amá","amá"
"52","Eibar","ama","áma","áma"
"53","Elantxobe","ama","áma","áma"
"54","Elduain","ama","ámá","ámá"
"55","Elgoibar","ama","áma","áma"
"56","Elorrio","ama","áma","áma"
"57","Erratzu","ama","áma","áma"
"58","Errezil","ama","amá","amá"
"59","Errigoiti","ama","amá","amá"
"60","Eskiula","ama","áma","áma"
"61","Etxalar","ama","amá","amá"
"62","Etxaleku","ama","amá","amá"
"63","Etxarri (Larraun)","ama","amá","amá"
"64","Etxebarri","ama","áma","áma"
"65","Etxebarria","ama","ámá","ámá"
"66","Eugi","ama","áma","áma"
"67","Ezkio-Itsaso","ama","áma","áma"
"68","Ezkurra","ama","ámá","ámá"
"69","Ezterenzubi","ama","áma","áma"
"70","Gaintza","ama","amá","amá"
"71","Gamarte","ama","áma","áma"
"72","Gamiz-Fika","ama","áma","áma"
"73","Garrüze","ama","áma","áma"
"74","Getaria","ama","ámá","ámá"
"75","Getxo","ama","áma","áma"
"76","Gizaburuaga","ama","áma","áma"
"77","Goizueta","ama","áma","áma"
"78","Hazparne","ama","áma","áma"
"79","Hendaia","ama","amá","amá"
"80","Hernani","ama","amá","amá"
"81","Hondarribia","ama","ama","ama"
"82","Ibarruri (Muxika)","ama","áma","áma"
"83","Igoa","ama","amá","amá"
"84","Ikaztegieta","ama","áma","áma"
"85","Irisarri","ama","áma","áma"
"86","Itsasu","ama","áma","áma"
"87","Izturitze","ama","áma","áma"
"88","Jaurrieta","ama","áma","áma"
"89","Jutsi","ama","ama","ama"
"90","Kortezubi","ama","áma","áma"
"91","Landibarre","ama","amá","amá"
"92","Larrabetzu","ama","áma","áma"
"93","Larraine","ama","áma","áma"
"94","Larzabale","ama","ama","ama"
"95","Lasarte-Oria","ama","amá","amá"
"96","Laukiz","ama","áma","áma"
"97","Legazpi","ama","ama","ama"
"98","Leintz Gatzaga","ama","áma","áma"
"99","Leioa","ama","áma","áma"
"100","Leitza","ama","amá","amá"
"101","Lekaroz","ama","ama","ama"
"102","Lekeitio","ama","áma","áma"
"103","Lemoa","ama","áma","áma"
"104","Lemoiz","ama","áma","áma"
"105","Luzaide / Valcarlos","ama","áma","áma"
"106","Makea","ama","amá","amá"
"107","Mañaria","ama","áma","áma"
"108","Mendaro","ama","amá","amá"
"109","Mendata","ama","áma","áma"
"110","Mezkiritz","ama","áma","áma"
"111","Montori","ama","áma","áma"
"112","Mugerre","ama","ama","ama"
"113","Mungia","ama","amá","amá"
"114","Oderitz","ama","ámá","ámá"
"115","Oiartzun","ama","amá","amá"
"116","Oñati","ama","áma","áma"
"117","Ondarroa","ama","áma","áma"
"118","Orexa","ama","áma","áma"
"119","Orio","ama","amá","amá"
"120","Orozko","ama","áma","áma"
"121","Otxandio","ama","áma","áma"
"122","Pagola","ama","áma","áma"
"123","Pasaia","ama","ámá","ámá"
"124","Santa Grazi","ama","áma","áma"
"125","Sara","ama","áma","áma"
"126","Senpere","ama","áma","áma"
"127","Sohüta","ama","áma","áma"
"128","Sondika","ama","amá","amá"
"129","Suarbe","ama","áma","áma"
"130","Sunbilla","ama","amá","amá"
"131","Tolosa","ama","amá","amá"
"132","Uharte Garazi","ama","amá","amá"
"133","Urdiain","ama","amá","amá"
"134","Urdiñarbe","ama","áma","áma"
"135","Urketa","ama","áma","áma"
"136","Urretxu","ama","áma","áma"
"137","Ürrüstoi","ama","áma","áma"
"138","Uztaritze","ama","amá","amá"
"139","Zaratamo","ama","áma","áma"
"140","Zeanuri","ama","áma","áma"
"141","Zeberio","ama","áma","áma"
"142","Zegama","ama","amá","amá"
"143","Zilbeti","ama","áma","áma"
"144","Zollo (Arrankudiaga)","ama","áma","áma"
"145","Zornotza","ama","áma","áma"
"146","Zugarramurdi","ama","áma","áma"
