"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","mutil","mútil","mútil"
"2","Ahetze","mutiko","mutíko","mutíko"
"3","Aia","mutill","mutíll","mutíʎ"
"4","Aldude","mutikogazte","mutíkogazté","mutíkoɣasté"
"5","Alkotz","mutill","mútillé","mútiʎé"
"6","Alkotz","mutill iñe","mutíll iñé","mutíʎ iɲé"
"7","Altzai","pothiko","póthikó","póthikó"
"8","Altzai","mothiko","móthiko","móthiko"
"9","Altzai","pottiko","pottíko","pottíko"
"10","Altzürükü","muthiko","muthíko","muthíko"
"11","Amezketa","mutillgazte","mutíllgazté","mutíʎɣastɛ́"
"12","Andoain","mutill","mutíll","mutíʎ"
"13","Aniz","mutilgazte","mútilgazte","mútilɣaste"
"14","Aniz","mutil","mutíl","mutíl"
"15","Aramaio","mutilgaste","mutílgaste","mutílɣaśte"
"16","Araotz (Oñati)","mutillgaste","mutíllgaste","mutíʎɣaśte"
"17","Arbizu","mutill","mútillá","mútiʎá"
"18","Arboti","muthiko","muthíko","muthíko"
"19","Armendaritze","mutikogazte","mútikogaztiá","mútikoɣastiá"
"20","Arnegi","mutikogazte","mutíkogazté","mutíkoɣasté"
"21","Arrangoitze","mutilgazte","mutílgazté","mutílɣasté"
"22","Arrasate","mutil","mútil","mútil"
"23","Arrazola (Atxondo)","mutil","mútil","mútil"
"24","Arrazola (Atxondo)","mutilgaste","mutílgaste","mutílɣaśte"
"25","Arrieta","artasibitarteko","arrtásibitárrteko","ar̄táśiβitár̄teko"
"26","Arrieta","morrosko","morrósko","mor̄óśko"
"27","Arrieta","mutil","mutíl","mutíl"
"28","Arroa (Zestoa)","mutilgazte","mutílgazté","mutílɣasté"
"29","Arrueta","muthiko","muthíko","muthíko"
"30","Arrueta","muttiko","muttíko","muttíko"
"31","Asteasu","mutillgazte","mutíllgazté","mutíʎɣasté"
"32","Ataun","motilgazte","motílgazté","motílɣasté"
"33","Azkaine","mutikogazte","mutíkogaztia","mutíkoɣastia"
"34","Azkoitia","mutil","mútil","mútil"
"35","Azkoitia","mutilgazte","mutilgázte","mutilɣáste"
"36","Azkoitia","mutill","mútill","mútiʎ"
"37","Azpeitia","mutilgazte","mutílgazté","mutílɣasté"
"38","Baigorri","gizongazte","gizongazte","gisoŋgaste"
"39","Baigorri","mutilgazte","mutilgazte","mutilgaste"
"40","Bakio","mutilleldu","mutilléldu","mutiʎélðu"
"41","Bardoze","muthiko","múthiko","múthiko"
"42","Barkoxe","puthiko","puthíko","puthíko"
"43","Bastida","muthiko","muthiko","muthiko"
"44","Beasain","motill","mótill","mótiʎ"
"45","Behorlegi","mutikogazte","mutikógazté","mutikóɣasté"
"46","Beizama","mutilgazte","mutílgazté","mutílɣasté"
"47","Bergara","mutilgazte","mutilgázte","mutilɣáste"
"48","Bergara","mutill","mútill","mútiʎ"
"49","Bermeo","mutilgaste","mutilgáste","mutilɣáśte"
"50","Berriz","mutil","mútil","mútil"
"51","Beruete","mutill","mutíll","mutíʎ"
"52","Beskoitze","mutikogazte","mútikogazté","mútikoɣasté"
"53","Bidarrai","mutiko","mutíko","mutíko"
"54","Bidarrai","mutikogazte","mutíkogázte","mutíkoɣáste"
"55","Bolibar","mutil","mútil","mútil"
"56","Busturia","artasibitxarteko","arrtásibitxárrteko","ar̄táśiβitʃár̄teko"
"57","Deba","mutilgaste","mutílgasté","mutílɣaśté"
"58","Dima","mutil","mútil","mútil"
"59","Domintxaine","muthiko","múthiko","múthiko"
"60","Donamaria","mutill","mutíll","mutíʎ"
"61","Donostia","mutilgazte","mutilgazte","mutilgaste"
"62","Donostia","mutill","mutílla","mutíʎa"
"63","Donostia","gazte","gaztía","gastía"
"64","Dorrao / Torrano","mutill","mutíll","mutíʎ"
"65","Dorrao / Torrano","mutilgazte","mútilgázte","mútilɣáste"
"66","Eibar","mutillgazte","mutillgáSZte","mutiʎɣás̟te"
"67","Elantxobe","mutilgaste","mutilgáste","mutilgáśte"
"68","Elduain","mutillgazte","mutíllgazté","mutíʎɣasté"
"69","Elduain","mutillgazte","mutíllgazte","mutíʎɣaste"
"70","Elgoibar","mutil","mutíl","mutíl"
"71","Elorrio","mutilkoskor","mutílkoskorr","mutílkośkor̄"
"72","Elorrio","mutilgaste","mutílgaste","mutílɣaśte"
"73","Erratzu","mutil in","mutíl ine","mutíl ine"
"74","Errezil","mutilgazte","mutílgazté","mutílɣasté"
"75","Errigoiti","mutilleldu","mutílleldú","mutíʎeldú"
"76","Errigoiti","morrosko","morrósko","mor̄óśko"
"77","Eskiula","pothiko","póthiko","póthiko"
"78","Eskiula","gizongazte","gízongázte","gísoŋgáste"
"79","Eskiula","mothiko","mothíko","mothíko"
"80","Etxalar","mutill","mutíll","mutíʎ"
"81","Etxaleku","mutilgazte","mútilgáztea","mútilɣástea"
"82","Etxarri (Larraun)","mutill","mutíll","mutíʎ"
"83","Etxebarri","mutilgaste","mutílgaste","mutílgaśte"
"84","Etxebarria","mutilgaste","mutílgasté","mutílgaśté"
"85","Etxebarria","mutil","mútil","mútil"
"86","Eugi","mutiko","mutíkoa","mutíkoa"
"87","Eugi","mutile","mutilé","mutilé"
"88","Ezkio-Itsaso","motill","motíll","motíʎ"
"89","Ezkio-Itsaso","motilgazte","motílgazté","motílɣasté"
"90","Ezkio-Itsaso","mutill","mutíll","mutíʎ"
"91","Ezkio-Itsaso","mutilgazte","mutílgazté","mutílɣasté"
"92","Ezkurra","mutill","mutíll","mutíʎ"
"93","Ezterenzubi","mutikogazte","mútikogázte","mútikoɣáste"
"94","Ezterenzubi","mutiko in","mútiko im","mútiko im"
"95","Gaintza","motilgazte","motílgazté","motílɣasté"
"96","Gaintza","motill","motíll","motíʎ"
"97","Gamarte","mutikoazte","mutíkoazté","mutíkɔasté"
"98","Gamiz-Fika","mutill","mutíll","mutíʎ"
"99","Garrüze","mutiko","mutíko","mutíko"
"100","Garrüze","puttiko","puttíko","puttíkɔ"
"101","Getaria","mutilgazte","mutílgaSZte","mutílɣas̟te"
"102","Getxo","mutil","mutíl","mutíl"
"103","Getxo","mutilgaste","mutílgaste","mutílɣaśte"
"104","Getxo","morrosko","morrósko","mor̄óśko"
"105","Getxo","morroi","morrói","mor̄ói̯"
"106","Gizaburuaga","mutilgaste","mutilgáste","mutilɣáśte"
"107","Goizueta","motill","mOUtíll","mọtíʎ"
"108","Goizueta","motill","motíll","motíʎ"
"109","Goizueta","motillgazte","motíllgazté","motíʎɣasté"
"110","Hazparne","mutikogazte","mutíkogazté","mutíkoɣasté"
"111","Hendaia","mutilgazte","mutilgazté","mutilgasté"
"112","Hernani","mutilgazte","mutílgazté","mutílɣasté"
"113","Hernani","mutil","mutíl","mutíl"
"114","Hondarribia","gazte","gazte","ɣaste"
"115","Hondarribia","mutill","mutill","mutiʎ"
"116","Ibarruri (Muxika)","mutil","mutíl","mutíl"
"117","Ibarruri (Muxika)","morrosko","mórrosko","mór̄ośko"
"118","Igoa","mutill","mutíll","mutíʎ"
"119","Igoa","mutilgazte","mútilgazté","mútilɣasté"
"120","Ikaztegieta","mutil","mutil","mutil"
"121","Ikaztegieta","gazte","gaztéa","gastéa"
"122","Ikaztegieta","mutilgazte","mutilgaztéa","mutilgastéa"
"123","Irisarri","mutikogazte","mutíkogazté","mutíkoɣasté"
"124","Irisarri","mutilgazte","mutílgázte","mutílɣáste"
"125","Itsasu","mutikogazte","mutíkogazté","mutíkoɣasté:"
"126","Itsasu","mutilkoska","mutilkóska","mutilkóśka"
"127","Izturitze","muthilgazte","muthilgazte","muthilgaste"
"128","Jaurrieta","mutil","mutíla","mutíla"
"129","Jutsi","gazte","gazte","gaste"
"130","Kortezubi","ollaskotxu","olláskotxu","oʎáśkotʃu"
"131","Kortezubi","madarierdiko","madárierrdiko","maðárjer̄ðiko"
"132","Landibarre","mutikogazte","mutikogazté","mutikɔɣasté"
"133","Larrabetzu","mutil","mútil","mútil"
