"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","eiloba","eilóba","ei̯lóβa"
"2","Abaurregaina  / Abaurrea Alta","eiloa","eilóa","ei̯lóa"
"3","Ahetze","semeetxi","semeetxí","śemeetʃí"
"4","Ahetze","umeetxi","umeétxi","umeétʃi"
"5","Ahetze","ilobattiki","ilobattíki","iloβattíki"
"6","Aia","billoba","billobá","βiʎoβá"
"7","Aldude","ilobatxo","ílobatxó","íloβatʃó"
"8","Aldude","ilobatxipi","ilóbatxípi","ilóβatʃípi"
"9","Alkotz","illeba","illéba","iʎéβa"
"10","Altzai","arrahaur","arraháurr","ar̄aháu̯r̄"
"11","Altzai","arraseme","árraseme","ár̄aśeme"
"12","Altzürükü","arraseme","árrAEséme","ár̄ạśéme"
"13","Altzürükü","arraseme","árraséme","ár̄aśéme"
"14","Altzürükü","arrahaur","árraháur","ár̄aháu̯r"
"15","Amezketa","illoba","íllobá","íʎoβá"
"16","Amezketa","billoba","bíllobá","bíʎoβá"
"17","Andoain","illoba","íllobá","íʎoβá"
"18","Aniz","illoba","ílloba","íʎoβa"
"19","Aramaio","iloba","íloba","íloβa"
"20","Aramaio","illoba","ílloba","íʎoβa"
"21","Araotz (Oñati)","billoba","billóba","biʎóβa"
"22","Arbizu","illeba","illéba","iʎéβa"
"23","Arbizu","illoba","illóba","iʎóβa"
"24","Arboti","arraseme","arráseme","ar̄áśeme"
"25","Armendaritze","semettipi","seméttipí","śeméttipí"
"26","Arnegi","illoba","ílloba","íʎoβa"
"27","Arrangoitze","aurttipi","aurrttipí","au̯r̄ttipí"
"28","Arrangoitze","semeetxi","semeetxí","śemeetʃí"
"29","Arrasate","loba","lóba","lóβa"
"30","Arrazola (Atxondo)","loba","lóba","lóβa"
"31","Arrazola (Atxondo)","birloba","birrlóba","βir̄lóβa"
"32","Arrieta","loba","lobá","loβá"
"33","Arroa (Zestoa)","illoba","illóba","iʎóβa"
"34","Arrueta","arraseme","arrásemé","ar̄áśemé"
