"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"109","Landibarre","ahizpaerdi","ahízpaérrdi","ahíspaér̄di"
"110","Landibarre","arrebaerdi","arrébaérrdi","ar̄ébaér̄ði"
"111","Larrabetzu","arrebaorde","arrebáorrde","ar̄eβáor̄ðe"
"112","Larraine","arrebaerdi","arrébaérdi","ar̄éβaérdi"
"113","Larzabale","arrebaerdi","arrebaerrdi","ar̄eβaer̄ði"
"114","Larzabale","haurriderdi","haurriderrdi","hau̯r̄iðer̄ði"
"115","Lasarte-Oria","arrebaordeko","arrébaorrdekó","ar̄éβaor̄ðekó"
"116","Laukiz","arrabaorde","arrábaorrde","ar̄áβaor̄ðe"
"117","Leintz Gatzaga","arrebaorde","arrébaorrde","ar̄éβaor̄ðe"
"118","Leioa","arrebaordeko","arrébaorrdeko","ar̄éβaor̄ðeko"
"119","Leitza","senideerdi","sénideerrdí","śéniðeɛr̄ðí"
"120","Lekaroz","aurrideerdi","aurrideérrdi","au̯r̄iðeér̄ði"
"121","Lekeitio","arrebaorde","arrebáorrde","ar̄eβáor̄ðe"
"122","Lemoa","arraboorde","arrabóorrde","ar̄aβóor̄ðe"
"123","Lemoiz","arrabeorde","arrabéorrde","ar̄aβéor̄ðe"
"124","Luzaide / Valcarlos","arrebaerdi","arrébaérrdi","ar̄éβaér̄ði"
"125","Makea","arrebaerdi","arrébaérrdi","ar̄éβaér̄ði"
"126","Mañaria","arrebaorde","arrébaorrdé","ar̄éβaor̄ðé"
"127","Mendaro","arrebaerdi","arrébaerrdí","ar̄ɛ́βaɛr̄ðí"
"128","Mendaro","arrebatzako","arrébatzakó","ar̄ɛ́βatsakó"
"129","Mendata","arrebaorda","arrébaorrda","ar̄éβaor̄ða"
"130","Montori","arreberdi","arréberdi","aRéβerði"
"131","Mugerre","arrebaerdi","arrebaerrdi","ar̄eβaer̄ði"
"132","Mungia","arrabaorde","arrabáorrdé","ar̄aβáor̄ðé"
"133","Oderitz","goazarreba","goázarréba","ɣoásar̄ɛ́βa"
"134","Oiartzun","uazarreba","uázarréba","uásar̄ɛ́βa"
"135","Oñati","arrebaerdi","arrebaerrdi","ar̄eβaer̄ði"
"136","Ondarroa","arrebaorde","arrebáorrde","ar̄eβáor̄ðe"
"137","Ondarroa","arrebaerdi","arrebáerrdi","ar̄eβáer̄ði"
"138","Orozko","arrabaerdi","arrabaérrdi","ar̄aβaér̄ði"
"139","Orozko","arrabaorde","arrabaórrde","ar̄aβaór̄ðe"
"140","Orozko","birrarreba","birrarréba","βir̄ar̄éβa"
"141","Otxandio","arrebaorde","arrebaórrde","ar̄eβaór̄ðe"
"142","Pagola","ahizpaerdi","ahízpaerdí","ahíspaerdí"
"143","Pasaia","arrebaordeko","arrébaorrdekó","ar̄éβaor̄ðekó"
"144","Santa Grazi","haurrhiderdi","haurrhidérrdi","hau̯r̄hiðér̄ði"
"145","Sara","arrebaerdi","arrébaerrdí","ar̄éβaer̄ðí"
"146","Senpere","arrebaerdi","arrébaérrdi","ar̄éβaér̄ði"
"147","Sohüta","arreberdi","arréberdí","ar̄éβerdí"
"148","Sondika","arrebaorde","arrebáorrde","ar̄eβáor̄ðe"
"149","Suarbe","ermanastra","errmanástra","ɛr̄manáśtra"
"150","Sunbilla","senideerdi","senídeerdí","śeníðeerðí"
"151","Sunbilla","arreberdi","arréberdí","ar̄éβɛrðí"
"152","Tolosa","uasarreba","uásarrebá","uáśar̄ɛβá"
"153","Urdiain","ubazarreba","úbazarrebák","úβasar̄eβák"
"154","Urdiñarbe","arrebaerdi","arrebaérdi","ar̄eβaérdi"
"155","Urretxu","uezarreba","uézarrebá","uésar̄ɛβá"
"156","Ürrüstoi","arreberdi","arrebérrdi","ar̄eβér̄ði"
"157","Uztaritze","arrebaerdi","arrebaérrdi","ar̄eβaér̄ði"
"158","Zaratamo","aisteordesko","aistéorrdésko","ai̯śtéor̄ðéśko"
"159","Zeanuri","arrabaorde","arrabaórrde","ar̄aβaór̄ðe"
"160","Zeberio","arrabaordeko","arrabáorrdeko","ar̄aβáor̄ðeko"
"161","Zeberio","arrabaorde","arrabáorrde","ar̄aβáor̄ðe"
"162","Zegama","arrebaordeko","arrébaorrdekó","ar̄ɛ́βaor̄ðekó"
"163","Zilbeti","arrebaerdi","árrebaerrdiék","ár̄eβaer̄ðiék"
"164","Zollo (Arrankudiaga)","arrabaerdi","árrabaerrdi","ár̄aβaer̄ði"
"165","Zornotza","arrabaorde","arrábaorrde","ar̄áβaor̄ðe"
"166","Zugarramurdi","arrebaerdi","arrébaerrdíak","ar̄éβaer̄ðíak"
