"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","ugazume","úgazúmeak","úɣasúmeak"
"2","Ahetze","arrebaerdi","arrébaerrdí","ar̄éβaer̄ðí"
"3","Aia","arrebatzako","arrébatzakó","ar̄ɛ́βatsakó"
"4","Aia","aizpatzako","aizpátzakó","ai̯spátsakó"
"5","Aldude","arrebaerdi","arrébaerrdí","ar̄éβaer̄ðí"
"6","Alkotz","uezak","uézak","uésak"
"7","Alkotz","uezarreba","uézarréba","uésar̄éβa"
"8","Altzai","arrebaerdi","arrébaérrdi","ar̄éβaér̄ði"
"9","Altzürükü","arreberdi","arrebérrdi","ar̄eβér̄ði"
"10","Amezketa","arrebaordeko","arrébaorrdekó","ar̄éβaɔr̄ðekɔ́"
"11","Andoain","siñedeordeko","síñedeorrdekó","śíɲeðeor̄ðekó"
"12","Andoain","arrebaordeko","árrebaorrdekó","ár̄ɛβaor̄ðekó"
"13","Aniz","arreberdi","arréberdi","ar̄éβɛrði"
"14","Aramaio","arrebaerdi","arrébaerrdi","ar̄éβaer̄ði"
"15","Aramaio","arrebaorde","arrébaorrde","ar̄éβaor̄ðe"
"16","Araotz (Oñati)","arrebaordeko","arrébaorrdeko","ar̄éβaor̄ðeko"
"17","Arbizu","ubezarreba","ubézarrebá","ubésar̄eβá"
"18","Armendaritze","aizpaerdi","aizpaerrdí","ai̯spaer̄ðí"
"19","Arnegi","arrebaerdi","arrébaerrdí","ar̄éβaer̄ðí"
"20","Arrangoitze","arrebaerdi","arrébaerrdí","ar̄éβaer̄ðí"
"21","Arrasate","arrebaorde","arrébaorrde","ar̄éβaor̄ðe"
"22","Arrazola (Atxondo)","arrebaorde","arrébaorrde","ar̄éβaor̄ðe"
"23","Arrazola (Atxondo)","arrebaerdi","arrébaerrdi","ar̄éβaer̄ði"
"24","Arrieta","arrebaorde","arrebáorrdé","ar̄eβáor̄ðé"
"25","Arroa (Zestoa)","arrebatzako","arrébatzakó","ar̄ɛ́βatsakó"
"26","Arrueta","arrebaerdi","árrebaérrdi","ár̄eβaér̄ði"
"27","Asteasu","uazarreba","uázarrebá","wásar̄ɛβá"
"28","Ataun","uazarreba","uázarrebá","uásar̄ɛβá"
"29","Azkaine","arrebaerdi","arrébaerrdía","ar̄éβaer̄ðía"
"30","Azkoitia","uezarreba","uézarréba","uésar̄ɛ́βa"
"31","Azkoitia","arrebatzako","arrébatzáko","ar̄ɛ́βatsáko"
"32","Azpeitia","arrebaerdi","arrébaerrdí","ar̄ɛ́βaer̄ðí"
"33","Azpeitia","aizperdi","aizpérrdi","ai̯spɛ́r̄ði"
"34","Baigorri","arrebaerdi","arrebaerrdi","ar̄eβaer̄ði"
"35","Bakio","arrabaorde","arrabáorrde","ar̄aβáor̄ðe"
"36","Bardoze","arreba","arréba","ar̄éβa"
"37","Barkoxe","arreberdi","arrebérrdi","ar̄eβér̄ði"
"38","Bastida","arrebaerdi","arrebaerrdi","ar̄eβaer̄ði"
"39","Beasain","arrebaordeko","arrébaorrdéko","ar̄éβaor̄ðéko"
"40","Behorlegi","arrebaerdi","arrebaérrdi","ar̄eβaér̄ði"
"41","Beizama","arrebatzako","arrébatzakó","ar̄ɛ́βatsakó"
"42","Bergara","arrebaerdi","arrébaérrdi","ar̄éβaér̄ði"
"43","Bergara","aiztaerdi","aiztaérrdi","ai̯staér̄ði"
"44","Bermeo","usarreba","usarréba","uśar̄éβa"
"45","Berriz","arrebaerdi","arrébaerrdí","ar̄éβaer̄ðí"
"46","Beruete","uazarreba","úazarréba","úasar̄ɛ́βa"
"47","Beruete","arrebaordeko","arrébaorrdekó","ar̄ɛ́βaor̄ðekó"
"48","Beruete","uazaizpe","uázaizpé","uásai̯spé"
"49","Beruete","aizpordeko","áizporrdekó","ái̯spɔr̄ðekó"
"50","Beskoitze","arrebaerdi","arrebaérrdi","ar̄eβaér̄ði"
"51","Bidarrai","arrebaerdi","arrébaérrdi","ar̄éβaér̄ði"
"52","Bolibar","arrebaorde","arrébaorrdé","ar̄éβaor̄ðé"
"53","Busturia","arrebaorde","arrebáorrde","ar̄eβáor̄ðe"
"54","Deba","arrebaerdi","arrébaerrdí","ar̄ɛ́βaer̄ðí"
"55","Dima","arraborde","arrabórrde","ar̄aβór̄ðe"
"56","Dima","aistorde","aistórrde","ai̯śtór̄ðe"
"57","Domintxaine","arrebaerdi","arrébaerdí","ar̄éβaerdí"
"58","Donamaria","arrebaerdika","arrébaerrdíkAE","ar̄éβaɛr̄ðíkạ"
"59","Donibane Lohizune","aurriderdi","aurrídeerrdí","au̯RíðeeRðí"
"60","Dorrao / Torrano","ubezarreba","úbezarréba","úβesar̄ɛ́βa"
"61","Eibar","arrebaerdi","arrébaerrdi","ar̄éβaer̄ði"
"62","Elantxobe","arrebaorde","arrébaorrde","ar̄éβaor̄ðe"
"63","Elduain","arrebaordeko","arrébaorrdekó","ar̄ɛ́βaor̄ðekó"
"64","Elduain","uazarreba","uázarrebá","uásar̄ɛβá"
"65","Elgoibar","arrebaerdi","arrébaerrdi","ar̄éβaer̄ði"
"66","Elorrio","arrebaorda","arrébaorrda","ar̄éβaor̄ða"
"67","Erratzu","arreberdi","arréberrdi","ar̄ɛ́βɛr̄ði"
"68","Errezil","arrebatzako","arrébatzakó","ar̄ɛ́βatsakó"
"69","Errigoiti","arrebaorde","arrebáorrde","ar̄eβáor̄ðe"
"70","Etxalar","seniderdi","seníderrdí","śeníðɛr̄ðí"
"71","Etxaleku","uazarreba","uézárrebá","uésár̄eβá"
"72","Etxarri (Larraun)","uazarreba","úazarréba","úasar̄éβa"
"73","Etxarri (Larraun)","uazaizpe","úazaizpé","úasai̯spé"
"74","Etxebarri","arrebaordeko","arrébaorrdéko","ar̄éβaor̄ðéko"
"75","Etxebarria","arrebaerdi","arrébaérrdi","ar̄ɛ́βaɛ́r̄ði"
"76","Etxebarria","aistaerdi","áistaérrdi","ái̯śtaɛ́r̄ði"
"77","Eugi","uezarreba","uézarrebák","uésar̄eβák"
"78","Ezkio-Itsaso","arrebaordeko","arrébaorrdekó","ar̄ɛ́βaɔr̄ðekó"
"79","Ezkurra","arrebaerdi","árrebaerrdí","ár̄eβaer̄ðí"
"80","Ezterenzubi","haurrideerdi","haurrídeerrdi","hau̯r̄íðeer̄ði"
"81","Gaintza","arrebaordeko","arrébaorrdekó","ar̄ɛ́βaor̄ðekó"
"82","Gaintza","aizpeordeko","aizpéorrdekó","ai̯spéɔr̄ðekó"
"83","Gamarte","aizpaerdi","áizpaerrdí","ái̯spaer̄ðí"
"84","Gamiz-Fika","arrabaorde","arrábaorrdé","ar̄áβaor̄ðé"
"85","Garrüze","arrebaerdi","arrébaerdí","ar̄éβaerðí"
"86","Garrüze","aizpaerdi","aizpaérdi","ai̯spaérði"
"87","Getaria","arrebaordeko","arrébaorrdekó","ar̄ɛ́βaɔr̄ðekó"
"88","Getaria","arrebatzako","arrébatzakó","ar̄ɛ́βatsakó"
"89","Getxo","arrabaordeko","arrabaórrdeko","ar̄aβaór̄ðeko"
"90","Getxo","aistaordeko","aistáorrdeko","ai̯śtáor̄ðeko"
"91","Gizaburuaga","arrebaerdi","arrebáerrdi","ar̄eβáer̄ði"
"92","Goizueta","arrebaordeko","arrébaorrdékó","ar̄ɛ́βaor̄ðé:kó"
"93","Hazparne","arrebaerdi","arrébaerrdí","ar̄éβaer̄ðí"
"94","Hendaia","aurriderdi","aurridéerrdi","au̯RiðéeRði"
"95","Hernani","arrebaordego","arrébaorrdegó","ar̄ɛ́βaor̄ðegɔ́"
"96","Hernani","oizpaordego","óizpaorrdegó","ɔ́i̯spaor̄ðeɣɔ́"
"97","Hondarribia","arrebaerdi","arrebaerrdi","ar̄eβaer̄ði"
"98","Ibarruri (Muxika)","arrebaorde","arrebáorrde","ar̄eβáor̄ðe"
"99","Igoa","arrebaordeko","arrébaorrdekó","ar̄ɛ́βaor̄ðekó"
"100","Ikaztegieta","ugazarreba","ugázarreba","uɣásar̄eβa"
"101","Irisarri","arrebaerdi","arrébaerrdí","ar̄éβaer̄ðí"
"102","Itsasu","arrebaerdi","arrébaérrdi","ar̄éβaér̄ði"
"103","Izturitze","ahizpaerdi","ahizpaerrdi","ahispaer̄ði"
"104","Izturitze","haurrideerdi","haurrideerrdi","hau̯r̄iðeer̄ði"
"105","Jaurrieta","ugazarreba","ugázarrebá","uɣásar̄eβá"
"106","Jutsi","haurrideerdi","haurrideerrdi","hau̯r̄iðeer̄ði"
"107","Jutsi","arrebaerdi","arrebaerrdi","ar̄eβaer̄ði"
"108","Kortezubi","arrebaorde","arrebáorrde","ar̄eβáor̄ðe"
