"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","nesako","nesáko","neśáko"
"2","Ahetze","neska","néská","néśká"
"3","Aia","neskakoskor","neskákoskórr","neśkákośkɔ́r̄"
"4","Aia","neskatill","neskatíll","neśkatíʎ"
"5","Aldude","neska","neská","neśká"
"6","Alkotz","neska ttikitto","néska ttikittoá","néśka ttikittoá"
"7","Alkotz","neskako","néskakoá","néśkakoá"
"8","Alkotz","nesako","nesákoa","neśákoa"
"9","Altzai","nexkatxun","nexkatxúna","neʃkatʃṹna"
"10","Altzürükü","nexkatxun","nexkatxun","neʃkatʃun"
"11","Amezketa","nexka","nexká","neʃká"
"12","Amezketa","nexkakoxkor","nexkákoxkórr","neʃkákoʃkɔ́r̄"
"13","Amezketa","nexkakozkor","nexkákozkórr","neʃkákoskɔ́r̄"
"14","Amezketa","neskakoxkor","neskákoxkorrá","neśkákoʃkor̄á"
"15","Andoain","neska","neská","neśká"
"16","Andoain","neskakoskor","néskakoskórr","néśkakośkór̄"
"17","Andoain","neskato","néskató","néśkató"
"18","Aniz","neskatiko","neskátiko","neśkátiko"
"19","Aramaio","neskatilla","néskatilla","néśkatiʎa"
"20","Araotz (Oñati)","neskatille","neskátille","neśkátiʎe"
"21","Arbizu","nexka","néxka","néʃka"
"22","Arbizu","nexkakoxkor","néxkakoxkórr","néʃkakoʃkór̄"
"23","Arboti","nexkato","nexkáto","neʃkáto"
"24","Arboti","nekatto","nekátto","nekátto"
"25","Armendaritze","nexka","néxka","néʃka"
"26","Armendaritze","nekato","nékato","nékato"
"27","Armendaritze","neska","neská","neśká"
"28","Arnegi","nexka","néxka","néʃka"
"29","Arrangoitze","nexka","néxka","néʃka"
"30","Arrasate","neskatilla","neskatílla","neśkatíʎa"
"31","Arrazola (Atxondo)","neskato","neskáto","neśkáto"
"32","Arrieta","neskatille","neskatille","neśkatiʎe"
"33","Arrieta","neskato","neskáto","neśkáto"
"34","Arrieta","neskabardingo","neskábarrdíngó","neśkáβar̄ðíŋgó"
