"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","tio","tío","tío"
"2","Ahetze","osaba","osába","ośáβa"
"3","Ahetze","otto","ótto","ótto"
"4","Aia","osaba","osába","ośáβa"
"5","Aldude","oseba","oséba","ośéβa"
"6","Aldude","otto","ottó","ottó"
"7","Alkotz","osaba","osába","ośáβa"
"8","Altzai","osaba","osába","ośáβa"
"9","Altzai","ttotto","ttotto","ttõttõ"
"10","Altzürükü","osaba","osába","ośáβa"
"11","Amezketa","osaba","osábá","ośáβá"
"12","Andoain","osoba","osobá","ośoβá"
"13","Aniz","osaba","osabá","ośaβá"
"14","Aramaio","osaba","osába","ośáβa"
"15","Araotz (Oñati)","tio","tío","tío"
"16","Arbizu","osaba","osába","ośáβa"
"17","Arboti","otto","ottó","ottó"
"18","Arboti","oseba","oseba","ośeβa"
"19","Armendaritze","osaba","ósaba","óśaβa"
"20","Armendaritze","otto","ottó","ottó"
"21","Arnegi","oseba","oséba","ośéβa"
"22","Arnegi","otto","ótto","ótto"
"23","Arrangoitze","osaba","osabá","ośaβá"
"24","Arrasate","tio","tío","tío"
"25","Arrazola (Atxondo)","osaba","osába","ośáβa"
"26","Arrieta","osaba","osábá","ośáβá"
"27","Arroa (Zestoa)","osaba","osábá","ośáβá"
"28","Arrueta","oso","oso","ośo"
"29","Arrueta","otto","ótto","ótto"
"30","Asteasu","osoba","osóbá","ośóβá"
"31","Ataun","osaba","osabá","ośaβá"
"32","Azkaine","osaba","osába","ośáβa"
"33","Azkoitia","tio","tió","tió"
"34","Azpeitia","osaba","osába","ośáβa"
"35","Baigorri","oseba","oseba","ośeβa"
"36","Baigorri","osaba","osaba","ośaβa"
"37","Baigorri","otto","otto","otto"
"38","Bakio","osaba","osába","ośáβa"
"39","Bakio","tio","tío","tío"
"40","Bardoze","osaba","osába","ośáβa"
"41","Bardoze","otto","ottó","ottó"
"42","Barkoxe","osaba","osába","ośáβa"
"43","Bastida","otto","ottó","ottó"
"44","Beasain","osaba","osába","ośáβa"
"45","Behorlegi","oseba","oséba","ośéβa"
"46","Behorlegi","otto","ottó","ottó"
"47","Beizama","osaba","ósabá","óśaβá"
"48","Bergara","osaba","osába","ośáβa"
