"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","seme","séme","śéme"
"2","Ahetze","seme","semé","śemé"
"3","Aia","seme","séme","śéme"
"4","Aldude","seme","séme","śéme"
"5","Alkotz","seme","semé","śemé"
"6","Altzai","seme","séme","śéme"
"7","Altzürükü","seme","séme","śéme"
"8","Amezketa","seme","sémé","śémé"
"9","Andoain","seme","semé","śemé"
"10","Aniz","seme","semé","śemé"
"11","Aramaio","seme","séme","śéme"
"12","Araotz (Oñati)","seme","séme","śéme"
"13","Arbizu","seme","séme","śéme"
"14","Arboti","seme","seme","śeme"
"15","Armendaritze","seme","semé","śemé"
"16","Arnegi","seme","séme","śéme"
"17","Arrangoitze","seme","semé","śemé"
"18","Arrasate","seme","séme","śéme"
"19","Arrazola (Atxondo)","seme","séme","śéme"
"20","Arrieta","seme","sémé","śémé"
"21","Arroa (Zestoa)","seme","séme","śéme"
"22","Arrueta","seme","séme","śéme"
"23","Asteasu","seme","semé","śemé"
"24","Ataun","seme","semé","śemé"
"25","Azkaine","xemia","xémiá","ʃémiá"
"26","Azkaine","ondoko","ondóko","ondóko"
"27","Azkoitia","seme","séme","śéme"
"28","Azpeitia","seme","séme","śéme"
"29","Baigorri","seme","seme","śeme"
"30","Bakio","seme","séme","śéme"
"31","Bardoze","seme","seme","śeme"
"32","Barkoxe","seme","séme","śéme"
"33","Bastida","seme","séme","śéme"
"34","Beasain","seme","semé","śemé"
"35","Behorlegi","seme","semé","śemé"
"36","Beizama","seme","semé","śemé"
"37","Bergara","seme","séme","śéme"
"38","Bermeo","seme","semé","śemé"
"39","Berriz","seme","séme","śéme"
"40","Beruete","seme","semé","śemé"
"41","Beskoitze","seme","séme","śéme"
"42","Bidarrai","seme","séme","śéme"
"43","Bolibar","seme","séme","śéme"
"44","Busturia","seme","semé","śemé"
"45","Deba","seme","séme","śéme"
"46","Dima","seme","séme","śéme"
"47","Domintxaine","seme","séme","śéme"
"48","Donamaria","seme","semé","śemé"
"49","Donibane Lohizune","seme","séme","śéme"
"50","Donostia","seme","séme","śéme"
"51","Dorrao / Torrano","seme","semé","śemé"
"52","Eibar","seme","semé","śemé"
"53","Elantxobe","seme","séme","śéme"
"54","Elduain","seme","semé","śemé"
"55","Elgoibar","seme","semé","śemé"
"56","Elorrio","seme","séme","śéme"
"57","Erratzu","seme","séme","śémɛ"
"58","Errezil","seme","séme","śéme"
"59","Errigoiti","seme","semé","śemé"
"60","Eskiula","seme","séme","śéme"
"61","Etxalar","seme","semé","śemé"
"62","Etxaleku","seme","semé","śemé"
"63","Etxarri (Larraun)","seme","semé","śemé"
"64","Etxebarri","seme","séme","śéme"
"65","Etxebarria","seme","séme","śéme"
"66","Eugi","seme","séme","śéme"
"67","Ezkio-Itsaso","seme","semé","śemé"
"68","Ezkurra","seme","semé","śemé"
"69","Ezterenzubi","seme","séme","śéme"
"70","Gaintza","seme","semé","śemé"
"71","Gamarte","seme","séme","śéme"
"72","Gamiz-Fika","seme","sémé","śémé"
"73","Garrüze","seme","semé","śemé"
"74","Getaria","seme","sémé","śémé"
"75","Getxo","seme","séme","śéme"
"76","Gizaburuaga","seme","séme","śéme"
"77","Goizueta","seme","sémé","śémé"
"78","Hazparne","seme","séme","śéme"
"79","Hendaia","seme","semé","śemé"
"80","Hernani","seme","semé","śemé"
"81","Hondarribia","seme","séme","śéme"
"82","Ibarruri (Muxika)","seme","séme","śéme"
"83","Igoa","seme","semé","śemé"
"84","Ikaztegieta","seme","séme","śéme"
"85","Irisarri","seme","séme","śéme"
"86","Itsasu","seme","semé","śemé"
"87","Izturitze","seme","seme","śeme"
"88","Jaurrieta","seme","séme","śéme"
"89","Jutsi","seme","seme","śeme"
"90","Kortezubi","seme","séme","śéme"
"91","Landibarre","seme","séme","śéme"
"92","Larrabetzu","seme","séme","śéme"
"93","Larraine","seme","séme","śéme"
"94","Larzabale","seme","séme","śéme"
"95","Lasarte-Oria","seme","semé","śemé"
"96","Laukiz","seme","séme","śéme"
"97","Legazpi","seme","seme","śeme"
"98","Leintz Gatzaga","seme","séme","śéme"
"99","Leioa","seme","séme","śéme"
"100","Leitza","seme","semé","śemé"
"101","Lekaroz","seme","séme","śéme"
"102","Lekeitio","seme","séme","śéme"
"103","Lemoa","seme","séme","śéme"
"104","Lemoiz","seme","séme","śéme"
"105","Luzaide / Valcarlos","seme","séme","śéme"
"106","Makea","seme","séme","śéme"
"107","Mañaria","seme","séme","śéme"
"108","Mendaro","seme","séme","śéme"
"109","Mendata","seme","séme","śéme"
"110","Mezkiritz","seme","séme","śéme"
"111","Montori","seme","seme","śeme"
"112","Mugerre","seme","seme","śeme"
"113","Mungia","seme","séme","śéme"
"114","Oderitz","seme","semé","śemé"
"115","Oiartzun","seme","sémé","śémé"
"116","Oñati","seme","séme","śéme"
"117","Ondarroa","seme","séme","śéme"
"118","Orexa","seme","séme","śɛ́me"
"119","Orio","seme","semé","śemé"
"120","Orozko","seme","séme","śéme"
"121","Otxandio","seme","séme","śéme"
"122","Pagola","seme","séme","śéme"
"123","Pasaia","seme","SZémé","s̟émé"
"124","Santa Grazi","seme","séme","śéme"
"125","Sara","seme","séme","śéme"
"126","Senpere","seme","séme","śéme"
"127","Sohüta","seme","séme","śéme"
"128","Sondika","seme","semé","śemé"
"129","Suarbe","seme","séme","śéme"
"130","Sunbilla","seme","séme","śéme"
"131","Tolosa","seme","semé","śemé"
"132","Uharte Garazi","seme","séme","śéme"
"133","Urdiain","seme","séme","śéme"
"134","Urdiñarbe","seme","séme","śéme"
"135","Urketa","seme","séme","śéme"
"136","Urretxu","seme","semé","śemé"
"137","Ürrüstoi","seme","seme","śeme"
"138","Uztaritze","seme","semé","śemé"
"139","Zaratamo","seme","séme","śéme"
"140","Zeanuri","seme","séme","śéme"
"141","Zeberio","seme","séme","śéme"
"142","Zegama","seme","semé","śemé"
"143","Zilbeti","seme","séme","śéme"
"144","Zollo (Arrankudiaga)","seme","séme","śéme"
"145","Zornotza","seme","séme","śéme"
"146","Zugarramurdi","seme","séme","śéme"
"147","Zugarramurdi","muttiko","muttikó","muttikó"
