"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Ahetze","arreba","arréba","ar̄éβa"
"2","Aia","arreba","arréba","ar̄ɛ́βa"
"3","Aldude","arreba","arréba","ar̄éβa"
"4","Alkotz","arreba","arréba","ar̄éβa"
"5","Altzai","arreba","arreba","ar̄eβa"
"6","Altzürükü","arreba","arréba","ar̄éβa"
"7","Amezketa","arreba","árrebá","ár̄ɛβá"
"8","Andoain","arreba","árrébá","ár̄ɛ́βá"
"9","Aniz","arreba","arrebá","ar̄eβá"
"10","Aramaio","arreba","árreba","ár̄eβa"
"11","Araotz (Oñati)","arreba","arréba","ar̄éβa"
"12","Arbizu","arreba","arrebá","ar̄eβá"
"13","Arboti","arreba","arréba","ar̄éβa"
"14","Armendaritze","arreba","arréba","ar̄éβa"
"15","Arnegi","arreba","árreba","ár̄eβa"
"16","Arrangoitze","arreba","arréba","ar̄éβa"
"17","Arrasate","arreba","arréba","ar̄éβa"
"18","Arrazola (Atxondo)","arreba","arréba","ar̄éβa"
"19","Arrieta","arraba","arrabá","ar̄aβá"
"20","Arroa (Zestoa)","arreba","arréba","ar̄ɛ́βa"
"21","Arrueta","arreba","arréba","ar̄éβa"
"22","Asteasu","arreba","arrébá","ar̄ɛ́βá"
"23","Ataun","arreba","arrebá","ar̄ɛβá"
"24","Azkaine","arreba","arréba","ar̄éβa"
"25","Azkoitia","arreba","arréba","ar̄ɛ́βa"
"26","Azpeitia","arreba","arréba","ar̄ɛ́βa"
"27","Baigorri","arreba","arreba","ar̄eβa"
"28","Bakio","arraba","arrába","ar̄áβa"
"29","Bardoze","arreba","árrebá","ár̄eβá"
"30","Barkoxe","arreba","arréba","ar̄éβa"
"31","Bastida","arreba","arreba","ar̄eβa"
"32","Beasain","arreba","arréba","ar̄éβa"
"33","Behorlegi","arreba","arrebá","ar̄eβá"
"34","Beizama","arreba","arrébá","ar̄ɛ́βá"
"35","Bergara","arreba","arréba","ar̄éβa"
"36","Bermeo","arreba","arrebá","ar̄eβá"
"37","Berriz","arreba","arréba","ar̄éβa"
"38","Beruete","arreba","arrebá","ar̄ɛβá"
"39","Beskoitze","arreba","arréba","ar̄éβa"
"40","Bidarrai","arreba","arréba","ar̄éβa"
"41","Bolibar","arreba","arréba","ar̄éβa"
"42","Busturia","arreba","arréba","ar̄éβa"
"43","Deba","arreba","arréba","ar̄ɛ́βa"
"44","Dima","arraba","arrába","ar̄áβa"
"45","Domintxaine","arreba","arréba","ar̄éβa"
"46","Donamaria","arreba","arréba","ar̄éβa"
"47","Donibane Lohizune","arreba","arréba","aRéβa"
"48","Donostia","arreba","arréba","ar̄éβa"
"49","Dorrao / Torrano","arreba","arréba","ar̄ɛ́βa"
"50","Eibar","arreba","arréba","ar̄éβa"
"51","Elantxobe","arreba","arréba","ar̄éβa"
"52","Elduain","arreba","arrébá","ar̄ɛ́βá"
"53","Elgoibar","arreba","arréba","ar̄ɛ́βa"
"54","Elorrio","arreba","arréba","ar̄éβa"
"55","Erratzu","arreba","arrebá","ar̄eβá"
"56","Errezil","arreba","arrebá","ar̄ɛβá"
"57","Errigoiti","arreba","arréba","ar̄éβa"
"58","Eskiula","arreba","arrebá","ar̄eβá"
"59","Etxalar","arreba","arréba","ar̄éβa"
"60","Etxaleku","arreba","arrebá","ar̄eβá"
"61","Etxarri (Larraun)","arreba","árrebá","ár̄eβá"
"62","Etxebarri","arreba","arréba","ar̄éβa"
"63","Etxebarria","arreba","arréba","ar̄ɛ́βa"
"64","Eugi","arreba","arréba","ar̄éβa"
"65","Ezkio-Itsaso","arreba","arrébá","ar̄ɛ́βá"
"66","Ezkurra","arreba","árrebá","ár̄eβá"
"67","Ezterenzubi","arreba","arreba","ar̄eβa"
"68","Gaintza","arreba","arrebá","ar̄ɛβá"
"69","Gamarte","arreba","arrebá","ar̄eβá"
"70","Gamiz-Fika","arraba","arrabá","ar̄aβá"
"71","Garrüze","arreba","arréba","ar̄éβa"
"72","Getaria","arreba","arrébá","ar̄ɛ́βá"
"73","Getxo","arraba","arrabá","ar̄aβá"
"74","Gizaburuaga","arreba","arréba","ar̄éβa"
"75","Goizueta","arreba","arrébá","ar̄ɛ́βá"
"76","Hazparne","arreba","arréba","ar̄éβa"
"77","Hendaia","arreba","arréba","aRéβa"
"78","Hernani","arreba","arrébá","ar̄éβá"
"79","Hondarribia","arreba","arréba","ar̄éβa"
"80","Ibarruri (Muxika)","arreba","arréba","ar̄éβa"
"81","Igoa","arreba","árrebá","ár̄ɛβá"
"82","Ikaztegieta","arreba","arreba","ar̄eβa"
"83","Irisarri","arreba","arréba","ar̄éβa"
"84","Itsasu","arreba","arréba","ar̄éβa"
"85","Izturitze","arreba","arréba","ar̄éβa"
"86","Jaurrieta","arreba","arréba","ar̄éβa"
"87","Jutsi","arreba","arréba","ar̄éβa"
"88","Kortezubi","arreba","arréba","ar̄éβa"
"89","Landibarre","arreba","arrebá","ar̄eβá"
"90","Larrabetzu","arreba","arréba","ar̄éβa"
"91","Larraine","arreba","arréba","ar̄éβa"
"92","Larzabale","arreba","arreba","ar̄eβa"
"93","Lasarte-Oria","arreba","arrébá","ar̄éβá"
"94","Laukiz","arraba","arrába","ar̄áβa"
"95","Legazpi","arreba","arreba","ar̄eβa"
"96","Leintz Gatzaga","arreba","arréba","ar̄éβa"
"97","Leioa","arreba","arréba","ar̄éβa"
"98","Leitza","arreba","arrebá","ar̄ɛβá"
"99","Lekaroz","arreba","arréba","ar̄éβa"
"100","Lekeitio","arreba","árreba","ár̄eβa"
"101","Lemoa","arraba","arrába","ar̄áβa"
"102","Lemoiz","arraba","arrabá","ar̄aβá"
"103","Luzaide / Valcarlos","arreba","arréba","ar̄éβa"
"104","Makea","arreba","arréba","ar̄éβa"
"105","Mañaria","arreba","arréba","ar̄éβa"
"106","Mendaro","arreba","arréba","ar̄ɛ́βa"
"107","Mendata","arreba","arréba","ar̄éβa"
"108","Mezkiritz","arreba","arréba","ar̄éβa"
"109","Mugerre","arreba","arreba","ar̄eβa"
"110","Mungia","arreba","arréba","ar̄éβa"
"111","Oderitz","arreba","árrebá","ár̄ɛβá"
"112","Oiartzun","arreba","arrébá","ar̄ɛ́βá"
"113","Oñati","arreba","arréba","ar̄éβa"
"114","Ondarroa","arreba","arréba","ar̄éβa"
"115","Orexa","arreba","arréba","ar̄ɛ́βa"
"116","Orio","arreba","arrébá","ar̄ɛ́βá"
"117","Orozko","arraba","arrába","ar̄áβa"
"118","Otxandio","arreba","árreba","ár̄eβa"
"119","Pagola","arreba","arréba","ar̄éβa"
"120","Pasaia","arreba","árrébá","ár̄éβá"
"121","Santa Grazi","arreba","arréba","ar̄éβa"
"122","Sara","arreba","arréba","ar̄éβa"
"123","Senpere","arreba","arréba","ar̄éβa"
"124","Sohüta","arreba","arréba","ar̄éβa"
"125","Sondika","arreba","arréba","ar̄éβa"
"126","Suarbe","arreba","arréba","ar̄ɛ́βa"
"127","Sunbilla","arreba","arréba","ar̄éβa"
"128","Tolosa","arreba","arrébá","ar̄ɛ́βá"
"129","Uharte Garazi","arreba","árreba","ár̄eβa"
"130","Urdiain","arreba","arréba","ar̄éβa"
"131","Urdiñarbe","arreba","arréba","ar̄éβa"
"132","Urketa","arreba","arréba","ar̄éβa"
"133","Urretxu","arreba","arréba","ar̄ɛ́βa"
"134","Ürrüstoi","arreba","arréba","ar̄éβa"
"135","Uztaritze","arreba","árreba","ár̄eβa"
"136","Zaratamo","arreba","arréba","ar̄éβa"
"137","Zeanuri","arraba","árraba","ár̄aβa"
"138","Zeberio","arraba","arrába","ar̄áβa"
"139","Zegama","arreba","arrebá","ar̄ɛβá"
"140","Zilbeti","arreba","arréba","ar̄éβa"
"141","Zollo (Arrankudiaga)","arreba","árreba","ár̄eβa"
"142","Zornotza","arraba","arrába","ar̄áβa"
"143","Zugarramurdi","arreba","arréba","ar̄éβa"
