"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","aitearreba","áitearréba","ái̯tear̄éβa"
"2","Ahetze","aitinarreba","aitínarréba","ai̯tínar̄éβa"
"3","Aia","attagiyarreba","attágiyarrebá","attáɣiǰar̄ɛβá"
"4","Aldude","aitaiarre","aitaiárre","ai̯tai̯ár̄e"
"5","Alkotz","aitearreba","aitéarréba","ai̯téar̄éβa"
"6","Altzai","atagiharreba","áitagiharrebá","ái̯taɣihar̄eβá:"
"7","Altzürükü","atagiharreba","aitágiharréba","ai̯táɣihar̄éβa"
"8","Amezketa","attaiarreba","attáiarrebá","attái̯ar̄ɛβá"
"9","Andoain","attayarreba","attáyarrebá","attáǰar̄eβá"
"10","Aniz","aitarreba","aitárreba","ai̯tár̄eβa"
"11","Aramaio","aitteiñarreba","aittéiñarreba","ai̯ttéi̯ɲar̄eβa"
"12","Araotz (Oñati)","aittaiñarreba","aittáiñarreba","ai̯ttái̯ɲar̄eβa"
"13","Arbizu","attaiddarreba","attáiddarrebá","attáiddar̄eβá"
"14","Arboti","bopera","bopéra","bopéra"
"15","Armendaritze","aitinarreba","aitínarreba","ai̯tínar̄eβa"
"16","Armendaritze","aitinarreba","áitinarreba","ái̯tinar̄eβa"
"17","Arnegi","aitaiarreba","áitaiarréba","ái̯tai̯ar̄éβa"
"18","Arrangoitze","aitinarreba","aitínarréba","ai̯tínar̄éβa"
"19","Arrasate","aite","áite","ái̯te"
"20","Arrazola (Atxondo)","aitteiñarreba","aittéiñarreba","ai̯ttéi̯ɲar̄eβa"
"21","Arrieta","suegro","suégro","śwéɣro"
"22","Arrieta","aitegiñarreba","aitégiñarreba","ai̯téɣiɲar̄eβa"
"23","Arroa (Zestoa)","atta","átta","átta"
"24","Arrueta","aita","aita","ai̯ta"
"25","Arrueta","bopera","bópera","bópera"
"26","Asteasu","attaiarreba","attáiarrebá","attájar̄ɛβá"
"27","Ataun","aittearreba","aitteárrebá","ai̯tteár̄ɛβá"
"28","Azkaine","aitaiñarreba","aitáiñarréba","ai̯tái̯ɲar̄éβa"
"29","Azkoitia","aittegiarreba","aittégiarréba","ai̯ttéɣiar̄ɛ́βa"
"30","Azpeitia","attegiyarreba","attégiyarrebá","attéɣiǰar̄ɛβá"
"31","Baigorri","aitinarreba","aitinarreba","ai̯tinar̄eβa"
"32","Bakio","aitxegiñarreba","aitxegiñárreba","ai̯tʃeɣiɲár̄eβa"
"33","Bardoze","aitenarreba","aitenarréba","ai̯tenar̄éβa"
"34","Barkoxe","aita","áita","ái̯ta"
"35","Bastida","bopera","bopera","bopera"
"36","Beasain","atteiarreba","attéiarrebá","attéjar̄eβá"
"37","Behorlegi","aitaiarreba","aitáiarrebá","ai̯tái̯ar̄eβá"
"38","Beizama","aittaiarreba","aittáiarrebá","ai̯ttái̯ar̄ɛβá"
"39","Bergara","aitteiñarreba","aittéiñarréba","ai̯ttéi̯ɲar̄éβa"
"40","Bermeo","aitxeiñarraba","aitxeiñárraba","ai̯tʃei̯ɲár̄aβa"
"41","Berriz","aitagiñarreba","aitágiñarréba","ai̯táɣiɲar̄éβa"
"42","Beruete","attearreba","áttearréba","áttear̄ɛ́βa"
"43","Beskoitze","bopera","bopéra","bopéra"
"44","Beskoitze","aitaizun","aitaízun","ai̯taísun"
"45","Bidarrai","aitainarreba","aitáinarréba","ai̯tái̯nar̄éβa"
"46","Bolibar","aittegiñaraba","aittegiñáraba","ai̯tteɣiɲáraβa"
"47","Busturia","aitxegiñarreba","aitxegiñárreba","ai̯tʃeɣiɲár̄eβa"
"48","Deba","atxaiñarreba","atxáiñarrebá","atʃái̯ɲar̄ɛβá"
"49","Dima","suegro","suégro","śwéɣro"
"50","Dima","aitegiñerraba","aitegíñerraba","ai̯teɣíɲer̄aβa"
"51","Dima","aitexe","aitéxe","ai̯téʃe"
"52","Domintxaine","aita","áita","ái̯ta"
"53","Donibane Lohizune","aitaiñarreba","aitáiñarreba","ai̯tái̯ɲaReβa"
"54","Donostia","attagiyarreba","attagiyarreba","attaɣiǰar̄eβa"
"55","Dorrao / Torrano","eitteiyarreba","éitteiyarréba","éi̯ttei̯ǰar̄ɛ́βa"
"56","Eibar","aitaiñarreba","aitáiñarreba","ai̯tái̯ɲar̄eβa"
"57","Elantxobe","aitxegiñarraba","aitxegíñarraba","ai̯tʃeɣíɲar̄aβa"
"58","Elduain","attaiarreba","attáiarrebá","attájar̄ɛβá"
"59","Elorrio","aitegiñarreba","aitégiñarreba","ai̯téɣiɲar̄eβa"
"60","Erratzu","aitenaiarreba","aiténaiarrebá","ai̯ténai̯ar̄eβá"
"61","Errezil","aittagiarreba","aittágiarréba","ai̯ttáɣjar̄ɛ́βa"
"62","Errigoiti","aittegiñarraba","aittégiñarrába","ai̯ttéɣiɲar̄áβa"
"63","Errigoiti","suegro","suégro","śwéɣro"
"64","Eskiula","aita","áita","ái̯ta"
"65","Eskiula","aitaxüna","aitax´üna","ai̯taʃýna"
"66","Etxalar","attagarro","attagarró","attaɣar̄ó"
"67","Etxaleku","aittarreba","áittarrebá","ái̯ttar̄eβá"
"68","Etxarri (Larraun)","attearreba","áttearréba","áttear̄éβa"
"69","Etxebarri","suegro","suégrro","śwéɣr̄o"
"70","Etxebarri","aittegiñarreba","aittégiñarreba","ai̯ttéɣiɲar̄eβa"
"71","Etxebarria","aitagiñarreba","aitágiñarrebá","ai̯táɣiɲar̄ɛβá"
"72","Eugi","aitarreba","áitarrebá","ái̯tar̄eβá"
"73","Ezkio-Itsaso","atteiarreba","attéiarrebá","attéi̯ar̄ɛβá"
"74","Ezkurra","atteiarreba","átteiarrebá","áttei̯ar̄eβá"
"75","Ezterenzubi","aitaiarreba","aitáiarrebá","ai̯tái̯ar̄eβá"
"76","Gaintza","atteiarreba","attéiarrebá","attéi̯ar̄ɛβá"
"77","Gamarte","bopera","bopéra","bopéra"
"78","Gamarte","aita","aita","ai̯ta"
"79","Gamiz-Fika","giñerraba","giñérraba","giɲér̄aβa"
"80","Garrüze","aita","aita","ai̯ta"
"81","Getaria","attagiyarra","attágiyarrá","attáɣiǰar̄á"
"82","Getxo","giñerrabe","giñérrabe","giɲér̄aβe"
"83","Gizaburuaga","aittegiñarraba","aittegiñárraba","ai̯tteɣiɲár̄aβa"
"84","Goizueta","attaiabarro","attáiabarró","attájaβar̄ó"
"85","Hazparne","aita","aita","ai̯ta"
"86","Hendaia","aitañarreba","aitañarréba","ai̯taɲaRéβa"
"87","Hernani","attaiarreba","attáiarrebá","attái̯ar̄ɛβá"
"88","Hondarribia","attasuresko","attasuresko","attaśureśko"
