"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","aita","áita","ái̯ta"
"2","Ahetze","aita","aitá","ai̯tá"
"3","Aia","atta","attá","attá"
"4","Aldude","aita","áita","ái̯ta"
"5","Alkotz","aite","áite","ái̯te"
"6","Altzai","aita","áita","ái̯ta"
"7","Altzürükü","aita","áita","ái̯ta"
"8","Amezketa","aitte","áitté","ái̯tté"
"9","Andoain","aita","áitá","ái̯tá"
"10","Aniz","aite","áite","ái̯te"
"11","Aramaio","aitte","áitte","ái̯tte"
"12","Araotz (Oñati)","aita","áita","ái̯ta"
"13","Arbizu","aitta","áitta","ái̯tta"
"14","Arboti","aita","áita","ái̯ta"
"15","Armendaritze","aita","áita","ái̯ta"
"16","Arnegi","aita","áita","ái̯ta"
"17","Arrangoitze","aita","áita","ái̯ta"
"18","Arrasate","aitte","áitte","ái̯tte"
"19","Arrazola (Atxondo)","aitte","áitte","áitte"
"20","Arrieta","aitte","áitte","ái̯tte"
"21","Arroa (Zestoa)","atta","átta","átta"
"22","Arrueta","aita","áita","ái̯ta"
"23","Asteasu","atta","attá","attá"
"24","Ataun","aitte","aitté","ai̯tté"
"25","Azkaine","aita","áita","ái̯ta"
"26","Azkaine","aitatto","aitattó","ai̯tattó"
"27","Azkoitia","aitte","áitte","ái̯tte"
"28","Azpeitia","aitte","aitté","ai̯tté"
"29","Baigorri","aita","aita","ai̯ta"
"30","Bakio","aitxe","áitxe","ái̯tʃe"
"31","Bardoze","aita","áita","ái̯ta"
"32","Barkoxe","aita","áita","ái̯ta"
"33","Bastida","aita","aita","ai̯ta"
"34","Beasain","atte","atte","atte"
"35","Behorlegi","aita","aitá","ai̯tá"
"36","Beizama","aitta","áitta","ái̯tta"
"37","Bergara","aitta","áitta","ái̯tta"
"38","Bermeo","aitxe","aitxé","ai̯tʃé"
"39","Berriz","aitte","áitte","ái̯tte"
"40","Beruete","atte","átté","átté"
"41","Beskoitze","aita","áita","ái̯ta"
"42","Bidarrai","aita","áita","ái̯ta"
"43","Bolibar","aitte","áitte","ái̯tte"
"44","Busturia","aitxe","aitxé","ai̯tʃé"
"45","Deba","aitxa","áitxa","ái̯tʃa"
"46","Dima","aite","áite","ái̯te"
"47","Domintxaine","aita","áita","ái̯ta"
"48","Donamaria","atta","átta","átta"
"49","Donibane Lohizune","aita","aitá","ai̯tá"
"50","Donostia","atta","atta","atta"
"51","Dorrao / Torrano","eitta","éitta","éi̯tta"
"52","Eibar","aitta","áitta","ái̯tta"
"53","Elantxobe","aitxe","áitxe","ái̯tʃe"
"54","Elduain","atte","atté","atté"
"55","Elgoibar","aitta","aittá","ai̯ttá"
"56","Elgoibar","aitxai","aitxái","ai̯tʃái̯"
"57","Elorrio","aitta","áitta","ái̯tta"
"58","Erratzu","aite","áite","ái̯te"
"59","Errezil","aitta","aittá","ai̯ttá"
"60","Errigoiti","aitte","aitté","ai̯tté"
"61","Eskiula","aita","áita","ái̯ta"
"62","Etxalar","atta","attá","attá"
"63","Etxaleku","atte","atté","atté"
"64","Etxarri (Larraun)","atte","atté","atté"
"65","Etxebarri","aita","áita","ái̯ta"
"66","Etxebarria","aita","áitá","ái̯tá"
"67","Eugi","aite","áite","ái̯te"
"68","Eugi","aita","áita","ái̯ta"
"69","Ezkio-Itsaso","aitte","aitté","ai̯tté"
"70","Ezkurra","atte","átté","átté"
"71","Ezterenzubi","aita","áita","ái̯ta"
