"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","aizpa","áizpa","ái̯spa"
"2","Ahetze","aizpa","áizpa","ái̯spa"
"3","Aia","aizpa","áizpa","ái̯spa"
"4","Aldude","aizpa","aizpá","ai̯spá"
"5","Alkotz","aizpe","áizpe","ái̯spe"
"6","Altzai","ahizpa","ahízpa","ahíspa"
"7","Altzürükü","ahizpa","ahízpa","ahíspa"
"8","Amezketa","aizpe","aizpé","ai̯spé"
"9","Andoain","aizpa","áizpá","ái̯spá"
"10","Aniz","aizpe","áizpe","ái̯spe"
"11","Aramaio","aista","áista","ái̯śta"
"12","Araotz (Oñati)","aispa","áispa","ái̯śpa"
"13","Arbizu","aizpa","áizpa","ái̯spa"
"14","Arboti","ahizpa","ahízpa","ahíspa"
"15","Armendaritze","ahizpa","ahizpá","ahispá"
"16","Arnegi","aizpa","aízpa","aíspa"
"17","Arrangoitze","aizpa","aizpá","ai̯spá"
"18","Arrasate","aista","áista","ái̯śta"
"19","Arrazola (Atxondo)","aista","áista","ái̯śta"
"20","Arrieta","aiste","áisté","ái̯śté"
"21","Arroa (Zestoa)","aizpa","áizpá","ái̯spá"
"22","Arrueta","ahizpa","ahízpa","ahíspa"
"23","Asteasu","aizpa","aizpá","ai̯spá"
"24","Ataun","aizpa","aizpá","ai̯spá"
"25","Azkaine","aizpa","aizpá","ai̯spá"
"26","Azkoitia","aizpe","aizpé","ai̯spé"
"27","Azpeitia","aizpe","aizpé","ai̯spé"
"28","Baigorri","ahizpa","ahizpa","ahispa"
"29","Bakio","aista","áista","ái̯śta"
"30","Bardoze","ahizpa","áhizpá","áhispá"
"31","Barkoxe","ahizpa","ahízpa","ahíspa"
"32","Bastida","ahizpa","ahizpa","ahispa"
"33","Beasain","aizpa","aizpá","ai̯spá"
"34","Behorlegi","aizpa","aizpá","ai̯spá"
"35","Beizama","aizpa","áizpa","ái̯spa"
"36","Bergara","aizta","áizta","ái̯sta"
"37","Bermeo","aiste","aisté","ai̯śté"
"38","Berriz","aista","áista","ái̯śta"
"39","Beruete","aizpe","aizpé","ai̯spé"
"40","Beskoitze","ahizpa","ahízpa","ahíspa"
"41","Bidarrai","aizpa","aízpa","aíspa"
"42","Bolibar","aista","aísta","aíśta"
"43","Busturia","aiste","aisté","ai̯śté"
"44","Deba","aista","áista","ái̯śta"
"45","Dima","aiste","áiste","ái̯śte"
"46","Domintxaine","ahizpa","ahízpa","ahíspa"
"47","Donamaria","aizpa","áizpa","ái̯spa"
"48","Donibane Lohizune","aizpa","aizpá","ai̯spá"
"49","Donostia","aizpa","áizpa","ái̯spa"
"50","Dorrao / Torrano","aizpa","áizpa","ái̯spa"
"51","Eibar","aizta","áizta","á:i̯sta"
"52","Elantxobe","aista","áista","ái̯śta"
"53","Elduain","aizpe","aizpé","ai̯spé"
"54","Elgoibar","aista","áista","ái̯śta"
"55","Elorrio","aista","áista","áiśta"
"56","Erratzu","aizpe","áizpe","ái̯spe"
"57","Errezil","aizpa","aizpá","ai̯spá"
"58","Errigoiti","aiste","aisté","ai̯śté"
"59","Eskiula","ahizpa","ahízpa","ahíspa"
"60","Etxalar","aizpa","aizpá","ai̯spá"
"61","Etxaleku","aizpe","aizpé","ai̯spé"
"62","Etxarri (Larraun)","aizpe","aizpé","ai̯spé"
"63","Etxebarri","aista","áista","ái̯śta"
"64","Etxebarria","aista","aísta","aíśta"
"65","Eugi","aizpe","áizpe","ái̯spe"
"66","Ezkio-Itsaso","aizpa","aízpa","aíspa"
"67","Ezkio-Itsaso","aizpa","áizpá","ái̯spá"
