"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","ugazumeak","úgazúmeak","úɣasúmeak"
"2","Ahetze","anaierdi","anáierrdí","anái̯er̄ðí"
"3","Aia","anaitzako","anáitzakó","anái̯tsakó"
"4","Aldude","aurriderdi","aurríderrdi","au̯r̄íðer̄ði"
"5","Aldude","anaierdi","anaiérrdi","anai̯ér̄ði"
"6","Alkotz","uezak","úezák","úesák"
"7","Alkotz","uezanayek","uézanáyek","uésanáǰek"
"8","Altzai","aneierdi","áneiérrdi","ánei̯ér̄ði"
"9","Altzürükü","anaierdi","anaiérdi","anai̯érdi"
"10","Altzürükü","anaierdi","anáierdi","anájerdi"
"11","Altzürükü","aurhideerdik","aurhídeerdík","au̯rhíðeerdík"
"12","Amezketa","anaiordeko","anáiorrdekó","anái̯ɔr̄ðekɔ́"
"13","Andoain","siñedeordeko","síñedeorrdekó","śíɲeðeor̄ðekó"
"14","Andoain","anaiordeko","anáiorrdekó","anái̯or̄ðekó"
"15","Aniz","anaierdi","anáierdi","anái̯ɛrði"
"16","Aramaio","anaierdi","anáierrdi","anái̯er̄ði"
"17","Aramaio","anaiorde","anáiorrde","anái̯or̄ðe"
"18","Araotz (Oñati)","anaordeko","anáorrdeko","anáor̄ðeko"
"19","Arbizu","ubezanedda","ubézaneddá","ubésaneddá"
"20","Arboti","erdianaia","érrdianáia","ér̄ðianája"
"21","Armendaritze","haurrideerdi","haurrideerrdí","hau̯r̄iðeer̄ðí"
"22","Arnegi","anaiaerdi","anáiaérrdi","anái̯aér̄ði"
"23","Arrangoitze","anaiaerdi","anáiaerrdí","anái̯aer̄ðí"
"24","Arrasate","anaiorde","anáiorrde","anái̯or̄ðe"
"25","Arrazola (Atxondo)","anaierdi","anáierrdi","anái̯er̄ði"
"26","Arrazola (Atxondo)","anaiorde","anáiorrde","anái̯or̄ðe"
"27","Arrieta","anai¡orde","anái¡orrdé","anái̯ʒor̄ðé"
"28","Arroa (Zestoa)","anaitzako","anáitzakó","anái̯tsakó"
"29","Arroa (Zestoa)","anaiordeko","anáiorrdekó","anái̯ɔr̄ðekó"
"30","Arrueta","aneiaerdi","áneiaérrdi","ánejaér̄ði"
"31","Asteasu","uazanai","uazanái","uasanái̯"
"32","Ataun","uazanai","uazanái","uasanái̯"
"33","Azkaine","aurrideerdi","aurrídeerrdí","au̯r̄íðeer̄ðí"
"34","Azkoitia","anaietzako","aná¡etzakó","anáʒɛtsakó"
"35","Azkoitia","uezanai","úezanái","úesanái̯"
"36","Azkoitia","anaitzako","anáitzakó","anái̯tsakó"
"37","Azkoitia","amanaittuk","amanaittúk","amãnai̯ttúk"
"38","Azkoitia","aittenaittuk","aitténaittúk","ai̯tténai̯ttúk"
"39","Azpeitia","anaitzeko","anáitzekó","anái̯tsekó"
"40","Azpeitia","anaierdi","anáierrdí","anái̯ɛr̄ðí"
"41","Baigorri","anaiaerdi","anaiaerrdi","anajaer̄ði"
"42","Bakio","anai¡eorde","anai¡éorrde","anai̯ʒéor̄ðe"
"43","Bardoze","anea","ánea","ánea"
"44","Barkoxe","aneierdi","aneiérdi","anei̯érdi"
"45","Bastida","aneaerdi","aneaerrdi","aneaer̄ði"
"46","Beasain","anaiordeko","anáiorrdekó","anái̯or̄ðekó"
"47","Behorlegi","aurrideerdi","aurrídeerrdí","au̯r̄íðeer̄ðí"
"48","Beizama","anaitzako","anáitzakó","anái̯tsakó"
"49","Bergara","anaierdi","anaiérrdi","anai̯ér̄ði"
