"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","amearreba","ámearréba","ámear̄éβa"
"2","Ahetze","amagiñarreba","amagínarréba","amaɣínar̄éβa"
"3","Aia","amagiyarreba","amágiyarrebá","amáɣiǰar̄ɛβá"
"4","Aldude","amaiyarre","amaiyárre","amai̯ǰár̄e"
"5","Alkotz","amaiarreba","amáiarréba","amái̯ar̄éβa"
"6","Altzai","amagiharreba","ámagiharrebá","ámaɣihar̄eβá:"
"7","Altzürükü","amagiharreba","amágiharréba","amáɣihar̄éβa"
"8","Amezketa","amaiarreba","amáiarrébá","amái̯ar̄éβá"
"9","Andoain","amayarreba","amáyarrebá","amáǰar̄eβá"
"10","Aniz","amarreba","amárreba","amár̄eβa"
"11","Aramaio","amaiñarreba","amáiñarreba","amái̯ɲar̄eβa"
"12","Araotz (Oñati)","amaiñarreba","amáiñarreba","amái̯ɲar̄eβa"
"13","Arbizu","amaiddarreba","amáiddarrebá","amáiddar̄eβá"
"14","Arboti","belemera","béleméra","bélœméra"
"15","Armendaritze","aminarreba","amínarrebá","amínaReβá"
"16","Armendaritze","aminarreba","amínarrebá","amínar̄eβá"
"17","Arnegi","amaiarreba","amáiarréba","amái̯ar̄éβa"
"18","Arrangoitze","matanta","matantá","matantá"
"19","Arrangoitze","aminarreba","amínarréba","amínar̄éβa"
"20","Arrangoitze","belemera","belemerá","βelemerá"
"21","Arrasate","ama","amá","amá"
"22","Arrazola (Atxondo)","amaiñarreba","amáiñarreba","amái̯ɲar̄eβa"
"23","Arrieta","suegra","suégra","śwéɣra"
"24","Arrieta","amagiñerreba","amagiñérrebá","amaɣiɲér̄eβá"
"25","Arroa (Zestoa)","andrien ama","andríen amá","andríen amá"
"26","Arroa (Zestoa)","gizonen ama","gizónen amá","gisónen amá"
"27","Arrueta","belmera","bélmerá","bélmerá"
"28","Asteasu","amaiarreba","amáiarrebá","amájar̄ɛβá"
"29","Ataun","amaiarreba","amáiarrebá","amái̯ar̄ɛβá"
"30","Azkaine","amaiñarreba","amáiñarréba","amái̯ɲar̄éβa"
"31","Azkoitia","amagiarreba","amágiarréba","amáɣiar̄ɛ́βa"
"32","Azpeitia","amagiyarreba","amágiyarrebá","amágiǰar̄ɛβá"
"33","Baigorri","aminarreba","aminarreba","aminar̄eβa"
"34","Bakio","amagiñarreba","amagiñárreba","amaɣiɲár̄eβa"
"35","Bardoze","aminarreba","amínarreba","amínar̄eβa"
"36","Barkoxe","ama","áma","áma"
"37","Bastida","meme","memé","memé"
"38","Bastida","belemera","belemera","belømera"
"39","Beasain","amaiarreba","amáiarrebá","amájar̄eβá"
"40","Behorlegi","amaiarreba","amáiarrebá","amái̯ar̄eβá"
"41","Beizama","amaiarreba","amáiarrebá","amái̯ar̄ɛβá"
"42","Bergara","amaiñarreba","amáiñarréba","amái̯ɲar̄éβa"
"43","Bermeo","amaiñarraba","amaiñárraba","amai̯ɲár̄aβa"
"44","Berriz","amagiñarreba","amágiñarréba","amáɣiɲar̄éβa"
"45","Beruete","amaiarreba","ámaiarréba","ámai̯ar̄ɛ́βa"
"46","Beskoitze","amaizun","amaizún","amai̯sún"
"47","Beskoitze","belemera","bélemerá","βélemerá"
"48","Bidarrai","amainarreba","amáinarréba","amái̯nar̄éβa"
"49","Bidarrai","amainarraba","amáinárraba","amái̯nár̄aβa"
"50","Bolibar","amagiñaraba","amagiñáraba","amaɣiɲáraβa"
"51","Busturia","amagiñarreba","amagiñárreba","amaɣiɲár̄eβa"
"52","Deba","amañarreba","amáñarréba","amáɲar̄ɛ́βa"
"53","Dima","amexe","améxe","améʃe"
"54","Dima","amaginerraba","amagínerraba","amaɣíner̄aβa"
"55","Domintxaine","aminarreba","áminarreba","áminar̄eβa"
"56","Donamaria","amaiarreba","amáiarréba","amái̯ar̄éβa"
"57","Donibane Lohizune","amainarreba","amáinarreba","amái̯naReβa"
"58","Donostia","amagiyarreba","amágiyarreba","amáɣiǰar̄eβa"
"59","Dorrao / Torrano","amaiyarreba","ámaiyarréba","ámai̯ǰar̄ɛ́βa"
"60","Dorrao / Torrano","amaddarreba","amáddarréba","amáddar̄ɛ́βa"
"61","Eibar","amaiñarreba","amáiñarreba","amái̯ɲar̄eβa"
"62","Elantxobe","amagiñarraba","amagíñarraba","amaɣíɲar̄aβa"
"63","Elduain","amaiarreba","amáiarrebá","amájar̄ɛβá"
"64","Elorrio","amaiñarreba","amáiñarreba","amái̯ɲar̄eβa"
"65","Erratzu","amaiarreba","amáiarreba","amái̯ar̄eβa"
"66","Errezil","amagiarreba","amágiarréba","amáɣjar̄ɛ́βa"
"67","Errigoiti","amagiñarraba","amágiñarrába","amáɣiɲar̄áβa"
"68","Errigoiti","suegra","suégra","śwéɣra"
"69","Etxalar","amagarro","amágarro","amáɣar̄o"
"70","Etxaleku","amaiarreba","ámaiárrebá","ámai̯ár̄eβá"
"71","Etxarri (Larraun)","amaiarreba","ámaiarréba","ámai̯ar̄éβa"
"72","Etxebarri","suegra","suégrra","śwéɣr̄a"
"73","Etxebarri","amagiñarreba","amágiñarreba","amáɣiɲar̄eβa"
"74","Etxebarria","amagiñarreba","amágiñarrebá","amáɣiɲar̄ɛβá"
"75","Eugi","amaiarreba","amáiarréba","amái̯ar̄éβa"
"76","Ezkio-Itsaso","amaiarreba","amáiarrebá","amái̯ar̄ɛβá"
"77","Ezkurra","amaiarreba","amáiarrebá","amái̯ar̄eβá"
"78","Ezterenzubi","amenarreba","aménarreba","aménar̄eβa"
"79","Gaintza","amaiarreba","amáiarrebá","amái̯ar̄ɛβá"
"80","Gamarte","bellmera","bellméra","beʎméra"
"81","Gamiz-Fika","giñerraba","giñérraba","giɲér̄aβa"
"82","Gamiz-Fika","aube","aubé","au̯βé"
"83","Getaria","amagiyarra","amágiyarrá","amáɣiǰar̄á"
"84","Getxo","auba","aubá","au̯βá"
"85","Gizaburuaga","amagiñarraba","amagiñárraba","amaɣiɲár̄aβa"
"86","Goizueta","amaiabarro","amáiabarró","amájaβar̄ó"
"87","Goizueta","amaiabarra","amaiabárra","ama:i̯aβár̄a"
"88","Hendaia","amañarreba","amáñarrebá","amáɲaReβá"
"89","Hernani","amayarreba","amáyarrebá","amáǰar̄ɛβá"
"90","Hondarribia","amasuresko","amasuresko","amaśureśko"
"91","Ibarruri (Muxika)","amagiñarreba","amágiñarreba","amáɣiɲar̄eβa"
"92","Igoa","ama","amá","amá"
"93","Igoa","suegra","suegrá","śweɣrá"
"94","Ikaztegieta","amaiarreba","amáiarreba","amái̯ar̄eβa"
"95","Irisarri","aminarreba","aminárreba","aminár̄eβa"
"96","Itsasu","amainarreba","amáinarréba","amái̯nar̄éβa"
"97","Izturitze","ameinarre","améinarre","améi̯nar̄e"
"98","Jaurrieta","suegra","suégrra","śwéɣr̄a"
"99","Jutsi","amagiñarreba","amaginarreba","amaɣinar̄eβa"
"100","Kortezubi","amagiñarreba","amágiñarreba","amáɣiɲar̄eβa"
"101","Landibarre","aminarreba","amínarrebá","amínar̄ebá"
"102","Larrabetzu","amaixe","amáixe","amái̯ʃe"
"103","Larraine","amagiharreba","ámagiharréba","ámaɣihar̄éβa"
"104","Larzabale","amainarreba","amáinarreba","amái̯nar̄eβa"
"105","Lasarte-Oria","amagiyarreba","amágiyarrebá","amáɣiǰar̄eβá"
"106","Laukiz","suegra","suégrra","śwéɣr̄a"
"107","Laukiz","amagiñarreba","amágiñarréba","amáɣiɲar̄éβa"
"108","Legazpi","amaiñarreba","amaiñarreba","amai̯ɲar̄eβa"
"109","Leintz Gatzaga","amaiñarreba","amáiñarreba","amái̯ɲar̄eβa"
"110","Leioa","eube","eubé","eu̯βé"
"111","Leitza","amagiarreba","amagiárreba","amagiár̄ɛβa"
"112","Lekaroz","amiarreba","amíarreba","amíar̄ɛβa"
"113","Lekeitio","amagiñarreba","amágiñarréba","amáɣiɲar̄éβa"
"114","Lemoa","suegra","suégrra","śwéɣr̄a"
"115","Lemoa","amaiñarreba","amáiñarrebá","amái̯ɲar̄eβá"
"116","Lemoa","amaxe","amáxe","amáʃe"
"117","Lemoiz","amagiñarraba","amágiñarraba","amáɣiɲar̄aβa"
"118","Lemoiz","aube","áube","áu̯βe"
"119","Luzaide / Valcarlos","amaiarreba","amáiarréba","amái̯ar̄éβa"
"120","Makea","aminarre","amínárre","amínár̄e"
"121","Mañaria","amagiñarreba","amáginarréba","amáɣinar̄éβa"
"122","Mendaro","suegra","suégrra","śwéɣr̄a"
"123","Mendaro","amaiñarreba","amáiñarréba","amái̯ɲar̄ɛ́βa"
"124","Mendata","amaiñarreba","amaiñárreba","amai̯ɲár̄eβa"
"125","Mezkiritz","amarreba","amárrebá","amár̄eβá"
"126","Montori","ama","amá","amá"
"127","Mugerre","belmera","belmera","belmera"
"128","Mungia","eube","éubé","éu̯βé"
"129","Mungia","amagiñarreba","amágiñarréba","amáɣiɲar̄éβa"
"130","Oderitz","amarreba","ámarréba","ámar̄ɛ́βa"
"131","Oiartzun","amayarreba","amáyarrebá","amáǰar̄ɛβá"
"132","Oñati","amaiñarreba","amáiñarreba","amái̯ɲar̄eβa"
"133","Ondarroa","amagiñarreba","amagiñárreba","amaɣiɲár̄eβa"
"134","Orexa","amaiarreba","ámaiarréba","ámai̯ar̄éβa"
"135","Orio","amaiarreba","amáiarrebá","amájar̄ɛβá"
"136","Orozko","amaxe","amáxe","amáʃe"
"137","Orozko","amandre","amándrre","amándr̄e"
"138","Orozko","amagiñarreba","amágiñarreba","amáɣiɲar̄eβa"
"139","Otxandio","amagiñarraba","amágiñarraba","amáɣiɲar̄aβa"
