"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"143","Urretxu","anai","anái","anái̯"
"144","Ürrüstoi","anaie","anaie","anaje"
"145","Uztaritze","anaia","anáia","anái̯a"
"146","Zaratamo","neba","néba","néβa"
"147","Zeanuri","neba","néba","néβa"
"148","Zeberio","neba","néba","néβa"
"149","Zegama","anai","anái","anái̯"
"150","Zilbeti","anai","anái","anái̯"
"151","Zollo (Arrankudiaga)","neba","néba","néβa"
"152","Zornotza","neba","néba","néβa"
"153","Zugarramurdi","anai","anái","anái̯"
