"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","ugazaita","ugazáita","uɣasái̯ta"
"2","Ahetze","aitaordain","aitaórrdain","ai̯taór̄ðai̯n"
"3","Aia","attaordeko","attáorrdekó","attáor̄ðekó"
"4","Aldude","aitazun","aitázun","ai̯tásun"
"5","Alkotz","uezaite","úezáite","úesái̯te"
"6","Altzai","aitaxün","áitax´ün","ái̯taʃýn"
"7","Altzai","osaba","osába","ośáβa"
"8","Altzürükü","aitagiharreba","áitagihárreba","ái̯taɣihár̄eβa"
"9","Altzürükü","osaba","osába","ośáβa"
"10","Altzürükü","aitaxün","aitáxün","ai̯táʃyn"
"11","Amezketa","aittordeko","aittórrdekó","ai̯ttɔ́r̄ðekɔ́"
"12","Andoain","guezatta","guézattá","ɣwésattá"
"13","Andoain","aitordeko","aitórrdekó","ai̯tór̄ðekó"
"14","Aramaio","aitteorde","áitteorrde","ái̯tteor̄ðe"
"15","Aramaio","bigarrenaitte","bígarrenaitte","βíɣar̄enai̯tte"
"16","Araotz (Oñati)","aittaordeko","aittáorrdeko","ai̯ttáor̄ðeko"
"17","Arbizu","ubezaitta","úbezaittá","úbesai̯ttá"
"18","Armendaritze","aitaizun","aitaizún","ai̯taisún"
"19","Arnegi","aitaizun","áitaizún","ái̯tai̯sún"
"20","Arnegi","oseba","oséba","ośéβa"
"21","Arrangoitze","osaba","osabá","ośaβá"
"22","Arrasate","bigarrengison","bigárrengison","βiɣár̄eŋgiśon"
"23","Arrasate","aitorde","aitórrde","ai̯tór̄ðe"
"24","Arrazola (Atxondo)","aitteorde","áitteorrde","ái̯tteor̄ðe"
"25","Arrieta","aitteorde","aittéorrdé","ai̯ttéor̄ðé"
"26","Arroa (Zestoa)","attaordeko","attáorrdekó","attáɔr̄ðekó"
"27","Arrueta","otto","otto","otto"
"28","Asteasu","uezatta","uézatta","wɛ́satta"
"29","Asteasu","uazatta","uázattá","uásattá"
"30","Ataun","uazaitte","uazaitté","uasai̯tté"
"31","Azkaine","osaba","osába","ośáβa"
"32","Azkoitia","uezaitte","úezáitte","úesái̯tte"
"33","Azpeitia","uezaitte","uézaitté","uésai̯tté"
"34","Baigorri","aitaizun","aitaizun","ai̯tai̯sun"
"35","Bakio","aitxeorde","áitxeorrde","ái̯tʃeor̄ðe"
"36","Bardoze","bupera","búpera","búpera"
"37","Bardoze","otto","ottó","ottó"
"38","Barkoxe","aitaxün","aitáxün","ai̯táʃyn"
"39","Bastida","bopera","bopéra","bopéra"
"40","Beasain","uazatte","úazatte","úasatte"
"41","Behorlegi","oseba","osebá","ośɛβá"
"42","Behorlegi","aitaizun","aitáizún","ai̯táisún"
"43","Beizama","uezaitta","úezaittá","úesai̯ttá"
"44","Beizama","attaordeko","attáorrdekó","attáor̄ðekó"
"45","Bergara","aittaordezko","aittaorrdézko","ai̯ttaor̄ðésko"
"46","Bergara","ugezaitta","ugezáitta","uɣesái̯tta"
"47","Bermeo","usaitx","usáitx","uśái̯tʃ"
"48","Bermeo","aitxeorde","aitxeórrde","ai̯tʃeór̄ðe"
"49","Berriz","aittorde","aittórrde","ai̯ttór̄ðe"
"50","Beruete","uazatte","úazatté","úasatté"
"51","Beruete","attordeko","áttorrdekó","áttɔr̄ðekó"
"52","Beskoitze","bopera","bopéra","bopéra"
"53","Beskoitze","osaba","osába","ośáβa"
"54","Beskoitze","aitaorde","aitáorrde","ai̯táor̄ðe"
"55","Bidarrai","oseba","oséba","ośéβa"
"56","Bolibar","aitteorde","aittéorrde","ai̯ttéor̄ðe"
"57","Busturia","aitxeorde","aitxéorrde","ai̯tʃéor̄ðe"
"58","Deba","aitxatzako","áitxatzakó","ái̯tʃatsakó"
"59","Dima","aitexe","aitéxe","ai̯téʃe"
"60","Dima","aitorde","aitórrde","ai̯tór̄ðe"
"61","Domintxaine","otto","ótto","ótto"
"62","Domintxaine","aitaizün","aitaiz´üna","ai̯tai̯sýna"
"63","Donamaria","guazatta","guázátta","gwásátta"
"64","Donibane Lohizune","osaba","ósaba","óśaβa"
"65","Donostia","attaordezko","attaorrdezko","attaor̄ðesko"
"66","Dorrao / Torrano","ubezeitta","úbezéitta","úβeséi̯tta"
"67","Eibar","aittaorde","aittaórrde","ai̯ttaór̄ðe"
"68","Elantxobe","aitxeorde","aitxéorrde","ai̯tʃéor̄ðe"
"69","Elduain","atteordeko","attéorrdekó","attɛ́or̄ðekɔ́"
"70","Elduain","uazatte","úazatté","úasatté"
"71","Elgoibar","aittaordego","aittáorrdego","aittáor̄ðeɣo"
"72","Elorrio","aitteorde","aittéorrde","ai̯ttéor̄ðe"
"73","Erratzu","osaba","ósabá","óśaβá"
"74","Errezil","aittaordeko","aittáorrdekó","ai̯ttáor̄ðekó"
"75","Errigoiti","aitteorde","aittéorrde","ai̯ttéor̄ðe"
"76","Eskiula","osaba","osába","ośáβa"
"77","Etxalar","guazatta","guázattá","gwásattá"
"78","Etxaleku","uezaitte","uézaitté","uésai̯tté"
"79","Etxarri (Larraun)","uazatte","úazatté","úasatté"
"80","Etxebarri","aittordeko","aittórrdeko","ai̯ttór̄ðeko"
"81","Etxebarria","aittaorde","aittáorrdé","ai̯ttáor̄ðé"
"82","Eugi","uezaite","uézáite","uésái̯te"
"83","Ezkio-Itsaso","uazaitte","uázaitté","uásai̯tté"
"84","Ezkio-Itsaso","atteordeko","attéorrdekó","attéor̄ðekó"
"85","Ezkurra","ugazatte","ugazatté","uɣasatté"
"86","Ezterenzubi","aitezun","aitézun","ai̯tésun"
"87","Ezterenzubi","aitorde","aitórrde","ai̯tór̄ðe"
"88","Ezterenzubi","oseba","oseba","ośeβa"
"89","Gaintza","atteordeko","atteórrdekó","atteɔ́r̄ðekó"
"90","Gaintza","atteordeko","attéorrdekó","attéor̄ðekó"
"91","Gamarte","otto","ottó","ottó"
"92","Gamiz-Fika","aitteorde","aittéorrdé","ai̯ttéor̄ðé"
"93","Garrüze","oseba","oséba","ośéβa"
"94","Garrüze","aitazun","aitazún","ai̯tasún"
"95","Getaria","attabigarrena","áttabígarrená","áttaβíɣar̄ɛná"
"96","Getaria","attaordeko","attáorrdekó","attáɔr̄ðekó"
"97","Getxo","aitxeostako","aitxéostako","ai̯tʃéośtako"
"98","Getxo","aiteorde","aitéorde","ai̯téorðe"
"99","Gizaburuaga","aitteorde","aitteórrde","ai̯tteór̄ðe"
