"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"100","Goizueta","attaordeko","attáorrdekó","attáɔr̄ðekó"
"101","Hazparne","aitaizun","aitaízun","ai̯taísun"
"102","Hendaia","osaba","osába","ośáβa"
"103","Hernani","uezatta","uézattá","uɛ́sattá"
"104","Hernani","attordego","attórrdegó","attɔ́r̄ðɛɣó"
"105","Hondarribia","attaordesko","attaorrdesko","attaor̄ðeśko"
"106","Ibarruri (Muxika)","aitteorde","aittéorrde","ai̯ttéor̄ðe"
"107","Igoa","goazatte","góazatté","góasatté"
"108","Ikaztegieta","ugazatte","ugazatte","uɣasatte"
"109","Ikaztegieta","atteordeko","atteorrdeko","atteor̄ðeko"
"110","Irisarri","otto","otto","otto"
"111","Irisarri","ttantta","ttantta","ttantta"
"112","Irisarri","aitizun","áitizun","ái̯tisun"
"113","Itsasu","osaba","osába","ośáβa"
"114","Izturitze","aitizun","aitízun","ai̯tísun"
"115","Izturitze","aiteizun","aitéizun","ai̯téisun"
"116","Jaurrieta","ugazaita","ugazáita","uɣasái̯ta"
"117","Jutsi","aitaizun","aitaizun","ai̯tai̯sun"
"118","Kortezubi","aitxeorde","aitxéorrde","ai̯tʃéor̄ðe"
"119","Landibarre","oseba","oséba","ośéba"
"120","Landibarre","aitaizun","aitáizun","ai̯tái̯sun"
"121","Larrabetzu","aiteordeko","aiteórrdeko","ai̯teór̄ðeko"
"122","Larraine","aitaxün","aitáxün","ai̯táʃyn"
"123","Larzabale","aitaizun","aitáizuna","ai̯tái̯suna"
"124","Larzabale","oseba","oseba","ośeβa"
"125","Larzabale","otto","otto","otto"
"126","Lasarte-Oria","aitatzako","aitátzakó","ai̯tátsakó"
"127","Lasarte-Oria","aitaordeko","aitaorrdekó","ai̯taor̄ðekó"
"128","Lasarte-Oria","aitaorde","aitáórrdé","ai̯táór̄ðé"
"129","Laukiz","aitorde","áitorrde","ái̯tor̄ðe"
"130","Legazpi","atteordeko","atteorrdeko","atteor̄ðeko"
"131","Legazpi","attelekuko","attelekuko","attelekuko"
"132","Legazpi","attetzakoa","attetzakoa","attetsakoa"
"133","Leintz Gatzaga","aittaorde","aittáorrde","ai̯ttáor̄ðe"
"134","Leioa","aiteordeko","aitéorrdeko","ai̯téor̄ðeko"
"135","Leitza","guazatte","guázatté","gwásatté"
"136","Lekeitio","aittorde","áittorrde","ái̯ttor̄ðe"
"137","Lemoiz","aitxeorde","aitxéorrde","ai̯tʃéor̄ðe"
"138","Luzaide / Valcarlos","aitaizuna","aitáizúna","ai̯tái̯súna"
"139","Makea","oseba","oséba","ośéβa"
"140","Makea","aitaodre","aitaodrre","ai̯taoðRe"
"141","Mañaria","aitteorde","áitteórrde","ái̯tteór̄ðe"
"142","Mendaro","aitxaorde","aitxáorrdé","ai̯tʃáɔr̄ðé"
"143","Mendata","aittepalastro","aittepalástrro","ai̯ttepaláśtr̄o"
"144","Mendata","aitteorde","aittéorrde","ai̯ttéor̄ðe"
"145","Mezkiritz","ugazaita","úgazáita","úɣasái̯ta"
"146","Mugerre","otto","otto","otto"
"147","Mugerre","osaba","osaba","ośaβa"
"148","Mungia","aitteorde","aittéorrdé","ai̯ttéor̄ðé"
"149","Oderitz","goazatte","goázatté","ɣoásatté"
"150","Oiartzun","uazatta","úazattá","úasattá"
"151","Oñati","ugasaitta","ugásaitta","uɣáśai̯tta"
"152","Ondarroa","aitxeorda","aitxéorrda","ai̯tʃéor̄ða"
"153","Orexa","ugazaita","úgazáita","úɣasái̯ta"
"154","Orio","aitaordeko","aitáorrdekó","ai̯táɔr̄ðekó"
"155","Orio","uazaita","uázaitá","uásai̯tá"
"156","Orozko","aitepunteko","aitépunteko","ai̯tépunteko"
"157","Orozko","aiteponteko","aitéponteko","ai̯téponteko"
"158","Orozko","aiteordesko","aitéorrdesko","ai̯téor̄ðeśko"
"159","Otxandio","aittorde","áittorrde","ái̯ttor̄ðe"
"160","Pagola","osaba","osába","ośáβa"
"161","Pagola","aitaxün","aitaxün","ai̯taʃyn"
"162","Pasaia","guazaita","guázaitá","gwásai̯tá"
"163","Santa Grazi","aitazün","aitázün","ai̯tásyn"
"164","Sara","osaba","ósaba","óśaβa"
"165","Senpere","osaba","ósaba","óśaβa"
"166","Senpere","aitaorde","aitáorrdé","ai̯táor̄ðé"
"167","Sohüta","aitaxün","áitaxün","ái̯taʃyn"
"168","Sondika","aiteorde","aitéorrde","ai̯téor̄ðe"
"169","Suarbe","padrastro","padrástro","paðráśtro"
"170","Suarbe","bigarrenaite","bigarrenáite","βiɣar̄ɛnái̯te"
"171","Sunbilla","guazatta","guázattá","ɣwásattá"
"172","Tolosa","ugasaita","ugásaitá","uɣáśai̯tá"
"173","Tolosa","aitaordeko","aitáorrdekó","ai̯táor̄ðekó"
"174","Uharte Garazi","aitaizun","aitaizún","ai̯tai̯sún"
"175","Uharte Garazi","oseba","oséba","ośéβa"
"176","Urdiain","ubazaita","úbazaitá","úβasai̯tá"
"177","Urdiñarbe","bopera","bopéra","bopéra"
"178","Urdiñarbe","aitaxün","aitaxün","ai̯taʃyn"
"179","Urdiñarbe","aitazün","aitazün","ai̯tasyn"
"180","Urketa","osaba","osába","ośáβa"
"181","Urketa","otto","ótto","ótto"
"182","Urretxu","uezaitta","uézaittá","uésai̯ttá"
"183","Uztaritze","aitaizun","aitaízun","ai̯taísun"
"184","Zaratamo","aiteordesko","aiteórrdeskó","ai̯teɔ́r̄ðeśkó"
"185","Zaratamo","aitexe","aitéxe","ai̯téʃe"
"186","Zeanuri","aitorde","aitórrde","ai̯tór̄ðe"
"187","Zeberio","aitorde","aitórrde","ai̯tór̄ðe"
"188","Zeberio","aitaordeko","aitáorrdeko","ai̯táor̄ðeko"
"189","Zegama","ugazaitte","ugázaitté","uɣásai̯tté"
"190","Zilbeti","uezaita","úezáita","úesái̯ta"
"191","Zollo (Arrankudiaga)","aiterdi","áiterrdi","ái̯ter̄ði"
"192","Zornotza","aitteorde","aittéorrde","ai̯ttéor̄ðe"
"193","Zugarramurdi","aitaerdi","áitaerrdía","ái̯taer̄ðía"
