"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","gaztezutuan","gáztezútuan","ɣástesútwan"
"2","Abaurregaina  / Abaurrea Alta","gaztedenboran","gáztedembóran","gásteðembóran"
"3","Ahetze","gazteri","gázterí","gásterí"
"4","Ahetze","gaztedenbora","gaztédémbora","gastéðémbora"
"5","Aia","gaztedenbo","gaztédembó","ɣastéðembó"
"6","Aldude","gaztedenbora","gaztédemborá","gastéðemborá"
"7","Alkotz","gaztedenborian","gaztédembórian","ɣastéðembórjan"
"8","Alkotz","gaztetasun","gaztétasúne","gastétaśúne"
"9","Altzai","gaztedenboan","gáztedemboán","gásteðemboán"
"10","Altzürükü","gaztedenbo","gaztedembóa","gasteðembóa"
"11","Altzürükü","gaztedenboa","gaztedembóa","gasteðembóa"
"12","Altzürükü","gaztin","gaztin","gastin"
"13","Amezketa","gaztedenbo","gáztedembó","ɣásteðembó"
"14","Andoain","gaztedenbo","gaztédemboá","ɣastéðemboœ́"
"15","Aniz","gaztedenbora","gaztédembora","gastéðembora"
"16","Aramaio","gastesasoi","gástesasoi","ɣáśteśaśoi̯"
"17","Aramaio","gasterixa","gástaro","ɣáśtaro"
"18","Aramaio","gastedenbora","gastédempora","ɣaśtéðempora"
"19","Araotz (Oñati)","gastedenbora","gastédempora","ɣaśtéðempora"
"20","Arbizu","gaztedenbora","gáztedemborá","gásteðemborá"
"21","Arboti","gaztedenboran","gáztedémboran","gásteðémboran"
"22","Armendaritze","gaztedenboran","gaztédemborán","ɣastéðemborán"
"23","Arnegi","gaztetasun","gaztetásun","ɣastetáśun"
"24","Arnegi","gaztedenbora","gáztedembóra","ɣásteðembóra"
"25","Arrangoitze","gaztetasun","gaztétasún","ɣastétaśún"
"26","Arrasate","gastetasun","gastétasun","ɣaśtétaśun"
"27","Arrasate","gasteri¡e","gastéri¡e","ɣaśtériʒe"
"28","Arrasate","gaztedenpora","gaztédempora","ɣastéðempora"
"29","Arrazola (Atxondo)","gastedenbora","gastédempora","ɣaśtéðempora"
"30","Arrieta","gastedenbora","gastédempóra","gaśtéðempóra"
"31","Arroa (Zestoa)","gaztedenbo","gaztédemboá","ɣastéðemboá"
"32","Arroa (Zestoa)","gaztealdi","gaztéaldiyá","gastéaldiǰá"
"33","Arrueta","gazte nintzalaik","gázte níntzalaik","gáste níntsalai̯k"
"34","Arrueta","gaztedenboran","gáztedemboran","gásteðemboran"
"35","Asteasu","gaztedenbo","gaztédemboá","gastéðemboá"
"36","Ataun","gaztedenbora","gaztédemborá","ɣastéðemborá"
"37","Azkaine","gaztedenboran","gaztédemborán","ɣastéðemborán"
"38","Azkoitia","gaztedenpora","gaztédempóra","ɣastéðempóra"
"39","Azkoitia","gaztedenbora","gaztédemborá","ɣastéðemborá:"
"40","Azpeitia","kaztedenbora","kaztédemborá","kastéðemborá"
"41","Azpeitia","gaztedenbora","gaztédemborá","gastéðemborá"
"42","Azpeitia","gaztedenbo","gaztédemboá","gastéðemboá"
"43","Baigorri","gaztedenbora","gaztedembora","gasteðembora"
"44","Bakio","gastedenbora","gastedémpora","ɣaśteðémpora"
"45","Bardoze","gaztedenboran","gáztedémboran","gásteðémboran"
"46","Barkoxe","gaztedenboa","gaztedemboá","gasteðemboá"
"47","Bastida","gaztedenbora","gaztedembora","gasteðembora"
"48","Beasain","gaztedenbo","gaztédemboa","ɣastéðemboa"
"49","Behorlegi","gaxtetasun","gaxtétasun","ɣaʃtétaśun"
"50","Behorlegi","gaztedenboran","gaztédemborán","ɣastéðemborán"
"51","Beizama","gaztedenbora","gaztédemborá","gastéðemborá"
"52","Bergara","gastedenbora","gastédémpora","ɣaśtéðémpora"
"53","Bergara","gasterixa","gasteríxa","ɣaśteríʃa"
"54","Bergara","gazte","gázte","ɣáste"
"55","Bermeo","gastedenbora","gastedémpora","ɣaśteðémpora"
"56","Berriz","gastesasoi","gastésasói","ɣaśtéśaśói̯"
"57","Berriz","gastedenbora","gastedémpora","ɣaśteðémpora"
"58","Beruete","gaztedenbo","gaztédembó","ɣastéðembó"
"59","Beskoitze","gazteria","gaztéría","gastéría"
"60","Beskoitze","gaztedenbora","gaztédémbora","ɣastéðémbora"
"61","Bidarrai","gaztetasun","gaztétasún","ɣastétaśún"
"62","Bidarrai","gaztedenbora","gáztedémbora","ɣásteðémbora"
"63","Bolibar","gastedenbora","gastédempóra","gaśtéðempóra"
"64","Busturia","gastedenbora","gastédempora","ɣaśtéðempora"
"65","Deba","gastedenbora","gastédemporá","ɣaśtéðemporá"
"66","Dima","gastetasun","gastetásun","ɣaśtetáśun"
"67","Dima","gasteri","gastéri","ɣaśtéri"
"68","Dima","gastedenbora","gastedémpora","ɣaśteðémpora"
"69","Domintxaine","gaztedenboran","gáztedémboran","gásteðémboran"
"70","Domintxaine","gaztian","gáztian","gástjan"
"71","Donamaria","gaztedenbora","gaztédembóra","gastéðembóra"
"72","Donibane Lohizune","gaztedenbora","gaztédemborá","gastéðemborá"
"73","Donibane Lohizune","gaztetasun","gaztétasun","gastétaśun"
"74","Donostia","gaztedenbora","gaztedembora","gasteðembora"
"75","Dorrao / Torrano","gaztedenbora","gaztédembóra","ɣastéðembóra"
"76","Eibar","gastedenbora","gastedémpora","ɣaśtɛðémpora"
"77","Elantxobe","gastedenbora","gastedémpora","ɣaśteðémpora"
"78","Elantxobe","gastetasun","gastetásun","ɣaśtetáśun"
"79","Elduain","gaztaro","gaztároá","gastároá"
"80","Elduain","gaztedenbora","gaztédemborá","gastéðemborá"
"81","Elduain","gaztearo","gaztéaró","gastéaró"
"82","Elgoibar","gastedenbora","gastédempora","ɣaśtéðempora"
"83","Elorrio","gastedenbora","gastedémpora","ɣaśteðémpora"
"84","Erratzu","gaztedenbora","gaztédembóra","gastéðembóra"
"85","Errezil","gaztedenbora","gaztédemborá","gastéðemborá"
"86","Errigoiti","gastedenbora","gastédempóra","gaśtéðempóra"
"87","Eskiula","gaztedenboa","gáztedémboa","gásteðémboa"
"88","Eskiula","gaztin","gaztín","gastín"
"89","Etxalar","gaztedenbora","gaztédembóra","ɣastéðembóra"
