"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","gazte","gázte","gáste"
"2","Ahetze","gazte","gázte","gáste"
"3","Aia","gazte","gazté","ɣasté"
"4","Aia","gaztedi","gaztedí","ɣasteðí"
"5","Aia","gaztejende","gaztéjendé","ɣastéxendé"
"6","Aldude","gazteri","gázterí","gásterí"
"7","Alkotz","gazte","gazteák","ɣasteák"
"8","Alkotz","gazte","gaztiák","ɣastják"
"9","Altzai","gazteia","gazteiá","gastejá"
"10","Altzai","gazte","gázte","gáste"
"11","Altzürükü","gazteia","gaztéia","gastéja"
"12","Altzürükü","gaztin","gaztin","gastin"
"13","Amezketa","gazte","gazték","ɣasték"
"14","Amezketa","gaztedi","gaztédí","ɣastéðí"
"15","Amezketa","gaztejende","gaztéjendé","ɣastéxendé"
"16","Andoain","gaztei","gaztéi","gastéi"
"17","Aniz","gaztedi","gaztédi","gastéði"
"18","Aramaio","gaste","gastéak","gaśtéak"
"19","Aramaio","gasteri¡a","gásteri¡a","ɣáśteriʒa"
"20","Araotz (Oñati)","gaste","gastíak","ɣaśtíak"
"21","Arbizu","gaztejende","gáztejénde","ɣástexénde"
"22","Arbizu","gazte","gaztiék","ɣastiék"
"23","Arboti","gazteria","gázteria","gásterja"
"24","Arboti","gaztian","gaztian","gastjan"
"25","Armendaritze","gazteria","gaztéria","gastérja"
"26","Arnegi","gazteria","gaztéria","ɣastéria"
"27","Arnegi","gazte","gázte","ɣáste"
"28","Arrasate","gastetasun","gastétasun","ɣaśtétaśun"
"29","Arrazola (Atxondo)","gaste","gastíek","ɣaśtíek"
"30","Arrazola (Atxondo)","gasteri¡a","gastéri¡a","ɣaśtériʒa"
"31","Arrazola (Atxondo)","gasteri","gasteri","ɣaśteri"
"32","Arrieta","gaste","gáste","gáśte"
"33","Arrieta","gasteri","gastérí","gaśtérí"
"34","Arroa (Zestoa)","gazte","gazté","ɣasté"
"35","Arroa (Zestoa)","gaztejende","gaztéjendé","ɣastéxendé"
"36","Arrueta","gazteria","gazteria","gasteria"
"37","Asteasu","gaztedi","gaztédí","ɣastéðí"
"38","Asteasu","gaztejende","gaztéjendé","ɣastéxendé"
"39","Ataun","gaztejende","gaztéjendé","ɣastéxendé:"
"40","Azkaine","gazte","gaztíak","gastíak"
"41","Azkaine","gazteria","gaztériá","gastériá"
"42","Azkoitia","gaztejente","gaztejénte","ɣastexénte"
"43","Azpeitia","kaztejende","kaztéjendé","kastéxendé"
"44","Azpeitia","gaztejende","gaztéjendé","ɣastéxendé"
"45","Azpeitia","gazte","gazté","ɣasté"
"46","Baigorri","gazteria","gazteria","gasteria"
"47","Bakio","gasteri","gastéri","ɣaśtéri"
"48","Bardoze","gazteria","gázteria","gásterja"
"49","Barkoxe","gazteia","gaztéia","gastéja"
"50","Bastida","gazteria","gazteria","gasteria"
"51","Beasain","gaztejende","gaztéjende","ɣastéxendɛ"
"52","Behorlegi","gazte","gazté","ɣasté"
"53","Behorlegi","gazteria","gazteriá","ɣasteriá"
"54","Beizama","gazte","gazté","gasté"
"55","Beizama","gaztejende","gaztéjendé","gastéxɛndé"
"56","Bergara","gastejende","gastejénde","ɣaśtexénde"
"57","Bermeo","gastei","gastéi","ɣaśtéi̯"
"58","Berriz","gaste","gáste","ɣáśte"
"59","Berriz","gasteri","gastéri","ɣaśtéri"
"60","Beruete","gazte","gazté","ɣasté"
"61","Beruete","gazteyende","gázteyendé","ɣásteǰendé"
"62","Beskoitze","gazte","gázte","ɣáste"
"63","Bidarrai","gazte","gázte","ɣáste"
"64","Bidarrai","gazteria","gaztéria","ɣastéria"
"65","Bolibar","gaste","gáste","gáśte"
"66","Bolibar","gasteri","gastéri","gaśtéri"
"67","Busturia","gasteteri","gastéteri","ɣaśtéteri"
"68","Deba","gaste","gasté","ɣaśté"
"69","Deba","gastejente","gastéjénté","ɣaśtéxɛ́nté"
"70","Dima","gaste","gáste","ɣáśte"
"71","Domintxaine","gazteria","gázteria","gásterja"
"72","Donamaria","gazte","gaztík","ɣastík"
"73","Donamaria","gaztedi","gaztédi","gastéði"
"74","Donibane Lohizune","gazteri","gazterí","gasterí"
"75","Donostia","gaztedi","gaztédi","gastéði"
"76","Donostia","gazteiya","gaztéiya","gastéiǰa"
"77","Dorrao / Torrano","gazte","gázte","ɣáste"
"78","Dorrao / Torrano","gaztejende","gáztejénde","ɣástexénde"
"79","Eibar","gastedixa","gastédixa","ɣaśtéðiʃa"
"80","Elantxobe","gaste","gástiek","ɣáśtiek"
"81","Elantxobe","gasteri","gastéri","ɣaśtéri"
"82","Elduain","gaztedi","gaztédí","gastéðí"
"83","Elduain","gaztejende","gaztéjendé","ɣastéxendé"
"84","Elgoibar","gaste","gastiák","ɣaśtiák"
"85","Elorrio","gasteri¡a","gastéri¡a","ɣaśtériʒa"
"86","Erratzu","gazte","gaztiák","gastják"
"87","Errezil","gazte","gazté","gasté"
"88","Errezil","gaztejende","gaztéjendé","gastéxendé"
"89","Errigoiti","gaste","gáste","gáśte"
"90","Errigoiti","gasteri","gastéri","gaśtéri"
"91","Eskiula","gaztin","gaztín","gastín"
"92","Etxalar","gazte","gaztiák","ɣastiák"
"93","Etxaleku","jendegazte","jéndegázteá","xéndeɣásteá"
"94","Etxaleku","gazte","gázteók","gásteók"
"95","Etxarri (Larraun)","gazte","gazté","ɣasté"
"96","Etxarri (Larraun)","gaztejende","gaztéjendé","ɣastéxendé"
"97","Etxebarri","gasteri","gastéri","ɣaśtéri"
"98","Etxebarria","gaste","gáste","gáśte"
"99","Eugi","gazte","gázteg","gásteɣ"
"100","Ezkio-Itsaso","gazte","gazté","ɣasté"
"101","Ezkio-Itsaso","gaztejende","gaztéjendé","ɣastéxendé"
"102","Ezkurra","gazteri","gazterí","gasterí"
"103","Ezterenzubi","gazteria","gázteria","gásteria"
"104","Gaintza","gazte","gazté","ɣasté"
"105","Gaintza","kaztejende","kaztéjendé","kastéxendé"
"106","Gaintza","gaztejende","gaztéjendé","ɣastéxendé"
"107","Gamiz-Fika","gaste","gasté","gaśté"
"108","Gamiz-Fika","gasteri","gastérí","gaśtérí"
"109","Garrüze","gazteria","gaztéria","gastéria"
"110","Getaria","gaste","gaSZté","ɣas̟té"
"111","Getaria","gastejende","gaSZtéjendé","gas̟téxendé"
"112","Getxo","gasteri","gastéri","gaśtéri"
"113","Gizaburuaga","gasteri","gastéri","ɣaśtéri"
"114","Goizueta","gazteri","gaztéri","gastéri"
