"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"115","Goizueta","gazteyende","gaztéyende","gastéǰende"
"116","Hazparne","gazteri","gázteri","gásteri"
"117","Hendaia","gazteri","gazterí","gasterí"
"118","Hernani","gazte","gaztiák","ɣastiák"
"119","Hernani","gaztei","gaztéi","gastéi"
"120","Hernani","gaztejende","gáztejende","gástexende"
"121","Hondarribia","gaste","gastíak","gaśtíak"
"122","Hondarribia","gastediya","gastédiya","ɣaśtéðiǰa"
"123","Ibarruri (Muxika)","gasteri","gastéri","ɣaśtéri"
"124","Igoa","gazte","gazté","gasté"
"125","Igoa","gaztere","gázteré","gásteré"
"126","Ikaztegieta","gazteri","gazteri","gasteri"
"127","Ikaztegieta","gaztejende","gaztejende","gastexende"
"128","Ikaztegieta","gazte","gaztéak","gastéak"
"129","Irisarri","gazte","gázte","gáste"
"130","Irisarri","gazteria","gaztéria","gastéria"
"131","Itsasu","gazteria","gaztéria","gastéria"
"132","Itsasu","gazte","gázte","ɣáste"
"133","Izturitze","gazteria","gazteria","gasteria"
"134","Jaurrieta","gazte","gázte","gáste"
"135","Jutsi","gazteria","gazteria","gasteria"
"136","Kortezubi","gaste","gástiek","gáśtiek"
"137","Landibarre","gazteria","gaztéria","ɣastéria"
"138","Larrabetzu","gaste","gaste","gaśte"
"139","Larrabetzu","kaskondu","kaskóndu","kaśkóndu"
"140","Larraine","gazteia","gazteiá","gastejá:"
"141","Larzabale","gazteria","gázteria","gásteria"
"142","Lasarte-Oria","gastejende","gastéjendé","gaśtéxendé"
"143","Lasarte-Oria","gasteri","gastéri","gaśtéri"
"144","Lasarte-Oria","gaste","gástiák","gáśtiák"
"145","Laukiz","gasteri","gastéri","ɣaśtéri"
"146","Legazpi","gaztedi","gaztedi","gasteði"
"147","Leintz Gatzaga","gasteri¡a","gastéri¡a","ɣaśtériʒa"
"148","Leioa","gaste","gastéak","gaśtéak"
"149","Leioa","gasteri","gasteri","gaśteri"
"150","Leitza","gaztedi","gaztédi","gastéði"
"151","Leitza","gazte¡ende","gaztéiendé","ɣastéjendé"
"152","Lekaroz","gazte","gázteak","gásteak"
"153","Lekaroz","gaztedi","gaztédi","ɣastédi"
"154","Lekeitio","gasteri","gástéri","ɣáśtéri"
"155","Lemoa","gasteri","gastéri","ɣaśtéri"
"156","Lemoiz","gaste","gástek","ɣáśtek"
"157","Luzaide / Valcarlos","gazteria","gaztéria","gastéria"
"158","Luzaide / Valcarlos","gazte","gázte","ɣáste"
"159","Makea","gazteria","gázteriá","ɣásteriá"
"160","Mañaria","gaste","gáste","ɣáśte"
"161","Mendaro","gaste","gáste","gáśte"
"162","Mendaro","gastejende","gastéjendé","gaśtéxendé"
"163","Mendata","gaste","gástiek","ɣáśtiek"
"164","Mendata","gasteri","gastéri","ɣaśtéri"
"165","Mezkiritz","gazte","gázteak","gásteak"
"166","Mezkiritz","gazteri","gaztéri","ɣastéri"
"167","Mugerre","gazteria","gazteria","gasteria"
"168","Mungia","gasteri","gastéri","gaśtéri"
"169","Oderitz","gazte","gazté","ɣasté"
"170","Oderitz","gaztejende","gáztejende","ɣástexende"
"171","Oiartzun","gazte","gaztiák","ɣastiák"
"172","Oiartzun","gaztedi","gaztédí","ɣastéðí"
"173","Oñati","gastei¡a","gastéi¡a","ɣaśtéi̯ʒa"
"174","Ondarroa","gaste","gáste","ɣáśte"
"175","Ondarroa","gastedi","gastédi","ɣaśtéði"
"176","Orexa","gazteri","gaztéri","ɣastéri"
"177","Orexa","gaztejende","gáztejénde","gástexénde"
"178","Orio","gaztedi","gaztédí","ɣastéðí"
"179","Orio","gaztejende","gaztéjendé","ɣastéxendé"
"180","Orozko","gaste","gastéak","ɣaśtéak"
"181","Orozko","gasteri","gastéri","ɣaśtéri"
"182","Otxandio","gaste","gastíek","ɣaśtíek"
"183","Otxandio","gasteri","gastéri","ɣaśtéri"
"184","Pagola","gazteia","gaztéia","gastéja"
"185","Pagola","gazte","gazté","gasté"
"186","Pasaia","gaztei","gáztéí","gástéí"
"187","Pasaia","gazteri","gaztéri","gastéri"
"188","Pasaia","gaztejende","gaztéjendé","gastéxendé"
"189","Santa Grazi","gazteia","gazteia","gasteja"
"190","Sara","gazteri","gaztéri","ɣastéri"
"191","Sara","gazte","gaztíak","gastíak"
"192","Senpere","gazteri","gaztéri","ɣastéri"
"193","Sohüta","gazte","gázte","gáste"
"194","Sohüta","gazteia","gaztéia","gastéja"
"195","Sondika","gaste","gastéak","ɣaśtéak"
"196","Sondika","gasteri","gasterí","ɣaśterí"
"197","Suarbe","gazte","gázte","ɣáste"
"198","Sunbilla","gazte","gaztík","gastík"
"199","Tolosa","gaztejende","gaztéjendé","gastéxendé"
"200","Tolosa","gazteri","gaztérí","ɣastérí"
"201","Uharte Garazi","gazte","gázte","gáste"
"202","Uharte Garazi","gazteri","gaztéri","gastéri"
"203","Urdiain","gaztejende","gáztejendiá","ɣástexendjá"
"204","Urdiñarbe","gazteia","gaztéia","gastéja"
"205","Urketa","gazte","gázte","gáste"
"206","Urretxu","gazte","gazté","ɣasté"
"207","Urretxu","gaztejende","gaztéjendé","gastéxɛndé"
"208","Ürrüstoi","gazteia","gazteia","gasteja"
"209","Uztaritze","gazte","gázte","ɣáste"
"210","Uztaritze","gazteri","gaztéri","gastéri"
"211","Zaratamo","gaste","gáste","gáśte"
"212","Zaratamo","gasteri","gastéri","gaśtéri"
"213","Zeanuri","gaste","gastéak","gaśtéak"
"214","Zeanuri","gasteri","gastéri","ɣaśtéri"
"215","Zeberio","gasteri","gastéri","ɣaśtéri"
"216","Zeberio","gaste","gastéak","ɣaśtéak"
"217","Zegama","gazte","gazté","ɣasté"
"218","Zegama","gaztejende","gaztéjendé","ɣastéxendé"
"219","Zilbeti","gazteri","gaztéri","gastéri"
"220","Zollo (Arrankudiaga)","gasteri","gásteri","ɣáśteri"
"221","Zornotza","gaste","gastíek","ɣaśtíek"
"222","Zornotza","gasteri","gastéri","ɣaśtéri"
"223","Zugarramurdi","gaztetasuna","gaztétasúna","ɣastétaśúna"
