"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","eiloba","eilóba","ei̯lóβa"
"2","Ahetze","iloba","ilóba","ilóβa"
"3","Aia","illoba","illóba","iʎóβa"
"4","Aldude","iloba","íloba","íloβa"
"5","Alkotz","illeba","illéba","iʎéβa"
"6","Altzai","lloba","llóba","ʎóβa"
"7","Altzürükü","lloba","llóba","ʎóβa"
"8","Amezketa","illoba","íllobá","íʎoβá"
"9","Andoain","illoba","íllobá","íʎoβá"
"10","Aniz","illoba","illóba","iʎóβa"
"11","Aramaio","loba","lóba","lóβa"
"12","Araotz (Oñati)","illoba","illóba","iʎóβa"
"13","Arbizu","illeba","illéba","iʎéβa"
"14","Arboti","illoba","illóba","iʎóβa"
"15","Armendaritze","iloba","ilóba","ilóβa"
"16","Arnegi","illoba","ílloba","íʎoβa"
"17","Arrangoitze","iloba","ilóba","ilóβa"
"18","Arrasate","loba","lóba","lóβa"
"19","Arrazola (Atxondo)","loba","lóba","lóβa"
"20","Arrieta","loba","lobá","loβá"
"21","Arroa (Zestoa)","illoba","illóba","iʎóβa"
"22","Arrueta","illoba","íllobá","íʎoβá"
"23","Asteasu","illoba","illobá","iʎoβá"
"24","Ataun","illoba","illobá","iʎoβá"
"25","Azkaine","illoba","illóba","iʎóβa"
"26","Azkoitia","illoba","illóba","iʎóβa"
"27","Azpeitia","illoba","illóba","iʎóβa"
"28","Baigorri","iloba","iloba","iloβa"
"29","Bakio","loba","lóba","lóβa"
"30","Bardoze","iloba","ilóba","ilóβa"
"31","Barkoxe","lloba","llóba","ʎóβa"
"32","Bastida","iloba","ilobá","iloβá"
"33","Beasain","illoba","illóba","iʎóβa"
"34","Behorlegi","illoba","illobá","iʎoβá"
"35","Beizama","illoba","íllobá","íʎoβá"
"36","Bergara","loiba","lóiba","lói̯βa"
"37","Bermeo","loba","lobá","loβá"
"38","Berriz","loba","lóba","lóβa"
"39","Beruete","illo","illó","iʎó"
"40","Beruete","illoa","illóa","iʎóa"
"41","Beskoitze","iloba","ilóba","ilóβa"
"42","Bidarrai","iloba","ilóba","ilóβa"
"43","Bolibar","loba","lóba","lóβa"
"44","Busturia","loba","lóba","lóβa"
