"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Ahetze","errein","erreín","er̄eín"
"2","Aia","errañ","erráñ","ɛr̄áɲ"
"3","Alkotz","errañe","erráñe","er̄áɲe"
"4","Altzürükü","sühia","sühía","śyhía"
"5","Altzürükü","semin emaztia","semin emaztía","śemjn emastía"
"6","Amezketa","errañe","erráñé","ɛr̄áɲé"
"7","Amezketa","erraiñ","érraiñ","ɛ́r̄ai̯ɲ"
"8","Andoain","erraña","érrañá","ɛ́r̄aɲá"
"9","Aramaio","erran","érran","ér̄an"
"10","Araotz (Oñati)","erran","érran","ér̄an"
"11","Arbizu","erreña","érreñá","ér̄eɲá"
"12","Arboti","belefilla","bélefílla","bélœfíʎa"
"13","Armendaritze","ejen","ején","exén"
"14","Arnegi","errena","érrena","ér̄ena"
"15","Arrangoitze","erregina","erregína","er̄eɣína"
"16","Arrasate","erran","érran","ér̄an"
"17","Arrazola (Atxondo)","erren","érren","ér̄en"
"18","Arrieta","erren","errén","er̄én"
"19","Arroa (Zestoa)","erreñ","erréñ","ɛr̄ɛ́ɲ"
"20","Arrueta","belfilla","belfílla","belfíʎa"
"21","Asteasu","erraña","errañá","ɛr̄aɲá"
"22","Ataun","errañe","errañé","ɛr̄aɲé"
"23","Ataun","errañ","erráñ","ɛr̄áɲ"
"24","Azkaine","erreiñ","erréiñ","er̄éi̯ɲ"
"25","Azkoitia","erreñe","erréñe","ɛr̄ɛ́ɲe"
"26","Azkoitia","erreñ","erréñ","ɛr̄ɛ́ɲ"
"27","Azpeitia","erreñ","erréñ","ɛr̄ɛ́ɲ"
"28","Baigorri","erren","erren","er̄en"
"29","Bakio","erren","érren","ér̄en"
"30","Bardoze","befilla","béfilla","béfiʎa"
"31","Bastida","errena","errena","er̄ena"
"32","Beasain","erraiñ","erraiñ","ɛr̄ai̯ɲ"
"33","Behorlegi","errena","errená","er̄ená"
"34","Beizama","errañ","érrañ","ɛ́r̄aɲ"
"35","Bergara","erraiñ","erráiñ","er̄ái̯ɲ"
"36","Bermeo","erren","errén","er̄én"
"37","Berriz","erren","érren","ér̄en"
"38","Beruete","errañ","erráñ","ɛr̄áɲ"
"39","Beskoitze","belefia","bélefía","bélefía"
"40","Beskoitze","gerren","gérren","ɣér̄en"
"41","Bidarrai","erren","érren","ér̄en"
"42","Bolibar","erreiñ","erréiñ","er̄éi̯ɲ"
