"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","ugazume","úgazúmeak","úɣasúmeak"
"2","Ahetze","aizpaerdi","aizpáerrdí","ai̯spáer̄ðí"
"3","Aldude","aizperdi","áizperrdí","ái̯sper̄ðí"
"4","Alkotz","uezak","uézak","uésak"
"5","Alkotz","uezaizpa","uézáizpak","uésái̯spak"
"6","Altzai","ahizpaerdi","ahízpaérrdi","ahíspaér̄ði"
"7","Amezketa","aizpaordeko","aizpáorrdekó","ai̯spáɔr̄ðekɔ́"
"8","Aramaio","aistaerdi","aistáerrdi","ai̯śtáer̄ði"
"9","Aramaio","aistaorde","aistáorrde","ai̯śtáor̄ðe"
"10","Araotz (Oñati)","aispaordeko","aispáorrdeko","ai̯śpáor̄ðeko"
"11","Arbizu","ubezaizpa","ubézaizpá","ubésai̯spá"
"12","Arnegi","aizpaerdi","aizpáerrdí","ai̯spáer̄ðí"
"13","Arrangoitze","aizpaerdi","aizpaerrdí","ai̯spaer̄ðí"
"14","Arrasate","aistaorde","aistáorrde","ai̯śtáor̄ðe"
"15","Arrazola (Atxondo)","aistaerdi","áistaerrdi","ái̯śtaer̄ði"
"16","Arrazola (Atxondo)","aistaorde","aistaorrde","ai̯śtaor̄ðe"
"17","Arrieta","aisteorde","aistéorrdé","ai̯śtéor̄ðé"
"18","Arroa (Zestoa)","aizpaordeko","aizpáorrdekó","ai̯spáɔr̄ðekó"
"19","Arroa (Zestoa)","aizpatzako","áizpatzakó","ái̯spatsakó"
"20","Asteasu","uazaizpa","uázaizpá","uásai̯spá"
"21","Ataun","uazaizpa","uazaizpá","uasai̯spá"
"22","Azkoitia","aizpetzako","aizpetzáko","ai̯spɛtsáko"
"23","Azkoitia","uezaizpe","uezáizpe","wesái̯spe"
"24","Bakio","aisteorde","aistéorrde","ai̯śtéor̄ðe"
"25","Behorlegi","aizpaerdi","aizpaérrdi","ai̯spaér̄ði"
"26","Beizama","aizpatzako","áizpatzakó","ái̯spatsakó"
"27","Bermeo","usaiste","usáiste","uśái̯śte"
"28","Berriz","aistaerdi","áistaerrdí","ái̯śtaer̄ðí"
"29","Beskoitze","aizpaerdi","aízpaérrdi","aíspaér̄ði"
"30","Bidarrai","aizpaerdi","aizpaérrdi","ai̯spaér̄ði"
"31","Bolibar","eistorde","eístorrde","eíśtor̄ðe"
"32","Busturia","aisteorde","aistéorrde","ai̯śtéor̄ðe"
"33","Deba","aistaerdi","aistáerrdi","ai̯śtáer̄ði"
"34","Donibane Lohizune","aurrideerdi","aurrídeerrdí","au̯RíðeeRðí"
"35","Donostia","aizpaordeko","aizpáorrdeko","ai̯spáor̄ðeko"
"36","Donostia","aizpaordezko","aizpáorrdezko","ai̯spáor̄ðesko"
"37","Dorrao / Torrano","ubezaizpa","úbezáizpa","úβesái̯spa"
"38","Elantxobe","aistaorde","aistáorrde","ai̯śtáor̄ðe"
"39","Elduain","aizpaordeko","aizpáorrdekó","ai̯spáor̄ðekó"
"40","Elorrio","aistaorde","aistáorrde","ai̯śtáor̄ðe"
"41","Errezil","aizpatzakok","aizpátzakók","ai̯spátsakók"
"42","Errigoiti","aistaorde","aistáorrde","ai̯śtáor̄ðe"
"43","Etxalar","seniderdi","seníderrdí","śeníðɛr̄ðí"
"44","Etxaleku","uezaizpa","uézáizpá","uésái̯spá"
"45","Etxebarri","aistaordeko","aistáorrdeko","ai̯śtáor̄ðeko"
"46","Eugi","aizpaerdi","aizpaerrdí","ai̯spaer̄ðí"
"47","Ezkio-Itsaso","aizpaordeko","aízpaorrdekó","aíspaor̄ðekó"
"48","Ezkio-Itsaso","aizpaordeko","áizpaorrdekoá","ái̯spaor̄ðekoá"
"49","Ezkurra","aizpaerdi","áizpaerrdí","ái̯spaer̄ðí"
"50","Ezterenzubi","haurriderdi","haurrídeerrdi","hau̯r̄íðeer̄ði"
"51","Gamarte","aizpaerdi","áizpaerrdí","ái̯spaer̄ðí"
"52","Gamiz-Fika","aisteorde","aistéorrdé","ai̯śtéor̄ðé"
"53","Getaria","aispaordeko","aispáorrdekó","ai̯śpáor̄ðekó"
"54","Getaria","aispatzako","áispatzakó","ái̯śpatsakó"
"55","Gizaburuaga","aistaerdi","áistaerrdi","ái̯śtaer̄ði"
"56","Hazparne","aizpaerdi","aízpaerrdi","aíspaer̄ði"
"57","Hendaia","aizpaerdi","aizpaérrdi","ai̯spaéRði"
"58","Hendaia","haurriderdi","aurridéerrdi","au̯RiðéeRði"
"59","Ibarruri (Muxika)","aistorde","áistorrde","ái̯śtor̄ðe"
"60","Igoa","aizpordeko","áizporrdekó","ái̯spɔr̄ðekó"
"61","Igoa","aizpeordeko","áizpeorrdekoá","ái̯speor̄ðekoá"
"62","Ikaztegieta","ugazaizpa","ugázaizpa","uɣásai̯spa"
"63","Irisarri","aizpaerdi","aízpaerrdí","aíspaer̄ðí"
"64","Itsasu","aizpaerdi","aízpaérrdi","aíspaér̄ði"
"65","Izturitze","haurriderdi","haurrideerrdi","hau̯r̄iðeer̄ði"
"66","Jutsi","haurriderdi","haurrideerrdi","hau̯r̄iðeer̄ði"
"67","Kortezubi","asteorde","astéorrde","aśtéor̄ðe"
"68","Larrabetzu","aistorde","aistórrde","ai̯śtór̄ðe"
"69","Larzabale","haurriderdi","haurriderrdi","hau̯r̄iðer̄ði"
"70","Lasarte-Oria","aizpaordeko","aizpáorrdekó","ai̯spáor̄ðekó"
"71","Laukiz","aistaorde","aistáorrde","ai̯śtáor̄ðe"
"72","Legazpi","ugazaizpa","ugazaizpa","uɣasai̯spa"
"73","Legazpi","aizpatzako","aizpatzako","ai̯spatsako"
"74","Legazpi","aizpaordeko","aizpaorrdeko","ai̯spaor̄ðeko"
"75","Legazpi","aizpalekuko","aizpalekuko","ai̯spalekuko"
"76","Leintz Gatzaga","aistaorde","aistáorrde","ai̯śtáor̄ðe"
"77","Leioa","aisteordeko","aistéorrdeko","ai̯śtéor̄ðeko"
"78","Leitza","senideerdi","sénideerrdí","śéniðeɛr̄ðí"
"79","Lekeitio","aistaorde","aistáorrde","ai̯śtáor̄ðe"
"80","Lemoa","aistorde","aistórrde","ai̯śtór̄ðe"
"81","Lemoiz","aisteorde","aistéorrde","ai̯śtéor̄ðe"
"82","Luzaide / Valcarlos","aizpaerdi","áizpaérrdi","ái̯spaér̄ði"
"83","Makea","ahizperdi","ahízperrdí","ahísper̄ðí"
"84","Mañaria","aistaorde","áistaórrde","ái̯śtaór̄ðe"
"85","Mendaro","aistaerdi","aistáerrdí","ai̯śtáɛr̄ðí"
"86","Mendaro","aistatzako","aistátzakó","ai̯śtátsakó"
"87","Mendata","aisteorde","áisteorrde","ái̯śteor̄ðe"
"88","Mungia","aisteorde","aistéorrde","ai̯śtéor̄ðe"
"89","Oderitz","goazaizpe","goázaizpé","ɣoásai̯spé"
"90","Oiartzun","uazaizpa","uázaizpá","wásai̯spá"
"91","Oñati","aispaerdi","aispáerrdi","ai̯śpáer̄ði"
"92","Ondarroa","aistaerdi","aistaérrdi","ai̯śtaér̄ði"
"93","Orio","aispaordeko","aispáorrdekó","ai̯śpáɔr̄ðekó"
"94","Orozko","aistaerdi","aistaérrdi","ai̯śtaér̄ði"
"95","Orozko","aisteorde","aisteórrde","aiśteór̄ðe"
"96","Otxandio","aistorde","aistórrde","ai̯śtór̄ðe"
"97","Otxandio","aistaerdi","áistaerrdi","ái̯śtaer̄ði"
"98","Pagola","ahizpaerdi","ahízpaerdí","ahíspaerdí"
"99","Santa Grazi","haurrhiderdi","haurrhidérrdi","hau̯r̄hiðér̄ði"
"100","Sara","aizpaerdi","aizpaérrdi","ai̯spaér̄ði"
"101","Senpere","aizpaerdi","aizpáerrdí","ai̯spáer̄ðí"
"102","Sohüta","ahizpaerdi","ahízpaerdi","ahíspaerdi"
"103","Sondika","aisteorde","aistéorrde","ai̯śtéor̄ðe"
"104","Suarbe","ermanastra","errmanástra","ɛr̄manáśtra"
"105","Urdiain","ubazaizpa","úbazaizpá","úβasai̯spá"
"106","Urretxu","uezaizpa","uézaizpá","uésai̯spá"
"107","Uztaritze","aizpaerdi","aizpaérrdi","ai̯spaér̄ði"
"108","Zeanuri","aistorde","aistórrde","ai̯śtór̄ðe"
"109","Zeberio","aistaorde","aistáorrde","ai̯śtáor̄ðe"
"110","Zeberio","aistaordeko","aistaorrdeko","ai̯śtaor̄ðeko"
"111","Zegama","aizpaordeko","aizpáorrdekó","ai̯spáor̄ðekó"
"112","Zollo (Arrankudiaga)","aistaerdi","aistáerrdi","ai̯śtáer̄ði"
"113","Zornotza","aistaorde","aistaórrde","ai̯śtaór̄ðe"
"114","Zornotza","aistaerdi","aistáerrdi","ai̯śtáer̄ði"
