"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","alaba","álabá","álaβá"
"2","Ahetze","alaba","alába","aláβa"
"3","Aia","alaba","alába","aláβa"
"4","Aldude","alaba","álabá","álaβá"
"5","Alkotz","alaba","alába","aláβa"
"6","Altzai","alhaba","alhába","alháβa"
"7","Altzürükü","alhaba","alhába","alháβa"
"8","Amezketa","alaba","álabá","álaβá"
"9","Andoain","alaba","álabá","álaβá"
"10","Aniz","alaba","alabá","alaβá"
"11","Aramaio","alaba","álaba","álaβa"
"12","Araotz (Oñati)","alaba","alába","aláβa"
"13","Arbizu","alaba","alabá","alaβá"
"14","Arboti","alhaba","álhaba","álhaβa"
"15","Armendaritze","alaba","alabá","alaβá"
"16","Arnegi","alaba","álabá","álaβá"
"17","Arrangoitze","alaba","alabá","alaβá"
"18","Arrasate","alaba","alába","aláβa"
"19","Arrazola (Atxondo)","alaba","alába","aláβa"
"20","Arrieta","alaba","álábá","áláβá"
"21","Arroa (Zestoa)","alaba","alabá","alaβá"
"22","Arrueta","alaba","álaba","álaβa"
"23","Asteasu","alaba","alabá","alaβá"
"24","Ataun","alaba","alabá","alaβá"
"25","Azkaine","alaba","alabá","alaβá"
"26","Azkoitia","alaba","álabá","álaβá"
"27","Azpeitia","alaba","alába","aláβa"
"28","Baigorri","alaba","alaba","alaβa"
"29","Bakio","alaba","alába","aláβa"
"30","Bardoze","alaba","álabá","álaβá"
"31","Barkoxe","alhaba","alhába","alháβa"
"32","Bastida","alhaba","alhaba","alhaβa"
"33","Beasain","alaba","alába","aláβa"
"34","Behorlegi","alaba","alabá","alaβá"
"35","Beizama","alaba","álabá","álaβá"
"36","Bergara","alaba","alába","aláβa"
"37","Bermeo","alaba","alabá","alaβá"
"38","Berriz","alaba","alába","aláβa"
"39","Beruete","alaba","alába","aláβa"
"40","Beskoitze","alaba","alába","aláβa"
"41","Bidarrai","alaba","alába","aláβa"
"42","Bolibar","alaba","alába","aláβa"
"43","Busturia","alaba","alába","aláβa"
"44","Deba","alaba","alába","aláβa"
"45","Dima","alaba","alába","aláβa"
"46","Domintxaine","alaba","alába","aláβa"
"47","Donamaria","alaba","alába","aláβa"
"48","Donibane Lohizune","alaba","alába","aláβa"
"49","Donostia","alaba","alába","aláβa"
"50","Dorrao / Torrano","alaba","alába","aláβa"
"51","Eibar","alaba","alába","aláβa"
"52","Elantxobe","alaba","alába","aláβa"
"53","Elduain","alaba","alábá","aláβá"
"54","Elgoibar","alaba","alába","aláβa"
"55","Elorrio","alaba","alába","aláβa"
"56","Erratzu","alaba","álaba","álaβa"
"57","Errezil","alaba","alába","aláβa"
"58","Errigoiti","alaba","alábá","aláβá"
"59","Eskiula","alhaba","alhába","alháβa"
"60","Etxalar","alaba","alába","aláβa"
"61","Etxaleku","alaba","alabá","alaβá"
"62","Etxarri (Larraun)","alaba","álabá","álaβá"
"63","Etxebarri","alaba","alába","aláβa"
"64","Etxebarria","alaba","alába","aláβa"
"65","Eugi","alaba","alába","aláβa"
"66","Ezkio-Itsaso","alaba","alába","aláβa"
"67","Ezkurra","alaba","alabá","alaβá"
"68","Ezterenzubi","alaba","álaba","álaβa"
"69","Gaintza","alaba","alabá","alaβá"
"70","Gamarte","alaba","alába","aláβa"
"71","Gamiz-Fika","alaba","alábá","aláβá"
"72","Garrüze","alaba","alába","aláβa"
"73","Getaria","alaba","alábá","aláβá"
"74","Getxo","alaba","alába","aláβa"
"75","Gizaburuaga","alaba","alába","aláβa"
"76","Goizueta","alaba","alábá","alá:βá"
"77","Hazparne","alaba","alába","aláβa"
"78","Hendaia","alaba","alabá","alaβá"
"79","Hernani","alaba","álabá","álaβá"
"80","Hondarribia","alaba","alába","aláβa"
"81","Ibarruri (Muxika)","alaba","alába","aláβa"
"82","Igoa","alaba","álabá","álaβá"
"83","Ikaztegieta","alaba","alába","aláβa"
"84","Irisarri","alaba","alabá","alaβá"
"85","Itsasu","alaba","alába","aláβa"
"86","Izturitze","alhaba","alhába","alháβa"
"87","Jaurrieta","alaba","alába","aláβa"
"88","Jutsi","alhaba","alhaba","alhaβa"
"89","Kortezubi","alaba","alába","aláβa"
"90","Landibarre","alaba","alabá","alaβá"
"91","Larrabetzu","alaba","alába","aláβa"
"92","Larraine","alhaba","álhaba","álhaβa"
"93","Larzabale","alhaba","alhába","alháβa"
"94","Lasarte-Oria","alaba","alabá","alaβá"
"95","Laukiz","alaba","alába","aláβa"
"96","Legazpi","alaba","alaba","alaβa"
"97","Leintz Gatzaga","alaba","alába","aláβa"
"98","Leioa","alaba","alabá","alaβá"
"99","Leitza","alaba","álabá","álaβá"
"100","Lekaroz","alaba","alaba","alaβa"
"101","Lekeitio","alaba","alába","aláβa"
"102","Lemoa","alaba","alába","aláβa"
"103","Lemoiz","alaba","alabá","alaβá"
"104","Luzaide / Valcarlos","alaba","álaba","álaβa"
"105","Makea","alaba","álaba","álaβa"
"106","Mañaria","alaba","alába","aláβa"
"107","Mendaro","alaba","alába","aláβa"
"108","Mendata","alaba","alába","aláβa"
"109","Mezkiritz","alaba","alába","aláβa"
"110","Montori","alhaba","alhába","alháβa"
"111","Mugerre","alaba","alaba","alaβa"
"112","Mungia","alaba","alábá","aláβá"
"113","Oderitz","alaba","álabá","álaβá"
"114","Oiartzun","alaba","alábá","aláβá"
"115","Oñati","alaba","alába","aláβa"
"116","Ondarroa","alaba","álaba","álaβa"
"117","Orexa","alaba","alába","aláβa"
"118","Orio","alaba","alabá","alaβá"
"119","Orozko","alaba","alába","aláβa"
"120","Otxandio","alaba","alába","aláβa"
"121","Pagola","alhaba","alhába","alháβa"
"122","Pasaia","alaba","álabá","álaβá"
"123","Santa Grazi","alhaba","alhába","alháβa"
"124","Sara","alaba","alába","aláβa"
"125","Senpere","alaba","alába","aláβa"
"126","Sohüta","alhaba","alhába","alháβa"
"127","Sondika","alaba","alába","aláβa"
"128","Suarbe","alaba","alába","aláβa"
"129","Sunbilla","alaba","alába","aláβa"
"130","Tolosa","alaba","alabá","alaβá"
"131","Uharte Garazi","alaba","álaba","álaβa"
"132","Urdiain","alaba","álabá","álaβá"
"133","Urdiñarbe","alhaba","alhába","alháβa"
"134","Urketa","alaba","álaba","álaβa"
"135","Urretxu","alaba","alabá","alaβá"
"136","Ürrüstoi","alhaba","alhába","alháβa"
"137","Uztaritze","alaba","alába","aláβa"
"138","Zaratamo","alaba","alába","aláβa"
"139","Zeanuri","alaba","alába","aláβa"
"140","Zeberio","alaba","alába","aláβa"
"141","Zegama","alaba","alabá","alaβá"
"142","Zilbeti","alaba","alába","aláβa"
"143","Zollo (Arrankudiaga)","alaba","álaba","álaβa"
"144","Zornotza","alaba","alába","aláβa"
"145","Zugarramurdi","alaba","alába","aláβa"
